date,open,high,low,close,volume,adj_close
2021-03-24,99080,99080,99080,99080,100,99080
2021-03-30,99080,96170,96170,99080,8,99080
2021-04-27,99080,93102,92240,99080,7,99080
2021-05-05,99080,94100,94100,99080,1,99080
2021-05-07,99080,96750,96750,99080,1,99080
2021-05-14,99080,95947,95947,99080,4,99080
2021-05-19,99080,95500,95500,99080,2,99080
2021-05-20,99080,95900,95900,99080,12,99080
2021-06-02,99080,98100,98100,99080,1,99080
2021-06-08,99080,96130,96130,99080,1,99080
2021-06-09,99080,95089,95089,99080,12,99080
2021-06-10,99080,94780,94780,99080,1,99080
2021-06-14,99080,94576,94576,99080,6,99080
2021-06-15,99080,94000,94000,99080,1,99080
2021-07-01,99080,114100,114100,99080,4,99080
2021-07-06,99080,118900,118130,118900,104,118900
2021-07-07,118900,120460,120460,118900,2,118900
2021-07-08,118900,121100,121100,118900,2,118900
2021-07-12,118900,121150,120950,118900,33,118900
2021-07-15,118900,123240,122250,118900,5,118900
2021-07-19,118900,120900,120900,118900,2,118900
2021-07-20,118900,121540,121120,118900,28,118900
2021-07-22,118900,121090,121090,118900,1,118900
2021-07-23,118900,126930,126930,118900,1,118900
2021-07-28,118900,127630,127160,118900,8,118900
2021-07-30,118900,127710,127710,118900,8,118900
2021-08-03,118900,132860,132860,118900,2,118900
2021-08-06,118900,137380,137380,118900,10,118900
2021-08-09,118900,136270,136270,136270,26,136270
2021-08-18,136270,135050,135050,136270,14,136270
2021-09-07,136270,127780,127170,127272,60,127272
2021-09-24,127272,119000,119000,127272,5,127272
2021-09-27,127272,117250,117250,127272,2,127272
2021-09-28,127272,117320,117320,127272,10,127272
2021-10-04,127272,118980,118750,127272,2,127272
2021-10-07,127272,124390,124390,127272,1,127272
2021-10-13,127272,127590,127590,127590,100,127590
