date,open,high,low,close,volume,adj_close
2014-03-31,0.31,0.329,0.3,0.31,21214150,0.31
2014-04-01,0.31,0.31,0.31,0.31,1642900,0.31
2014-04-02,0.31,0.329,0.2,0.231,379555500,0.231
2014-04-03,0.231,0.329,0.253,0.32,162152100,0.32
2014-04-04,0.32,0.335,0.31,0.329,110411700,0.329
2014-04-07,0.329,0.4,0.32,0.39,149734800,0.39
2014-04-08,0.39,0.421,0.41,0.41,138473100,0.41
2014-04-09,0.41,0.412,0.39,0.39,96381220,0.39
2014-04-10,0.39,0.4,0.39,0.4,125941700,0.4
2014-04-11,0.4,0.4,0.4,0.4,4625618,0.4
2014-04-14,0.4,0.41,0.401,0.41,132015600,0.41
2014-04-15,0.41,0.42,0.41,0.41,102698000,0.41
2014-04-16,0.41,0.419,0.41,0.419,209603800,0.419
2014-04-17,0.419,0.42,0.419,0.419,13673180,0.419
2014-04-21,0.419,0.419,0.4,0.418,76462940,0.418
2014-04-22,0.418,0.42,0.418,0.42,25028090,0.42
2014-04-23,0.42,0.42,0.4,0.4,59829930,0.4
2014-04-24,0.4,0.49,0.4,0.47,478760600,0.47
2014-04-25,0.47,0.48,0.41,0.47,285013300,0.47
2014-04-28,0.47,0.41,0.35,0.47,1155849000,0.47
2020-08-11,0.176,0.18,0.18,0.176,61062340,0.176
2020-08-12,0.176,0.28,0.181,0.253,222108200,0.253
2020-08-13,0.253,0.45,0.275,0.346,248770900,0.346
2020-08-14,0.346,0.382,0.33,0.347,59594020,0.347
2020-08-17,0.347,0.33,0.3,0.314,68407210,0.314
2020-08-18,0.314,0.28,0.28,0.28,31260020,0.28
2020-08-19,0.268,0.27,0.24,0.25,39267540,0.25
2020-08-20,0.247,0.27,0.23,0.27,75736320,0.27
2020-08-21,0.25,0.255,0.24,0.255,56321980,0.255
2020-08-24,0.249,0.251,0.25,0.251,33629050,0.251
2020-08-25,0.251,0.26,0.23,0.23,349306600,0.23
2020-08-26,0.251,0.24,0.24,0.24,20036940,0.24
2020-08-27,0.249,0.245,0.24,0.245,319602500,0.245
2020-08-28,0.245,0.24,0.24,0.24,7460974,0.24
2020-08-31,0.239,0.22,0.22,0.22,56059350,0.22
2020-09-01,0.22,0.2,0.2,0.2,116351000,0.2
