date,open,high,low,close,volume,adj_close
2009-06-03,7.166425,7.224,7.0288,7.1264,13809350,7.1264
2009-06-04,7.126444,7.3217,7.224,7.2309,10809530,7.2309
2009-06-05,7.230877,7.5169,7.3217,7.4886,19690840,7.4886
2009-06-08,7.488608,7.7122,7.4095,7.5423,31862650,7.5423
2009-06-09,7.54225,7.8976,7.6145,7.8234,47495080,7.8234
2009-06-10,7.907403,8.0734,7.9074,7.9445,24228560,7.9445
2009-06-11,7.944529,8.2979,8.0441,8.2003,27802570,8.2003
2009-06-12,8.200283,8.2003,8.0148,8.0148,7901478,8.0148
2009-06-15,8.014746,8.005,7.8088,7.9181,4042405,7.9181
2009-06-16,7.918155,7.9943,7.7122,7.9943,2734563,7.9943
2009-06-18,7.994308,7.9074,7.6145,7.8879,3468669,7.8879
2009-06-19,7.887889,8.0148,7.9367,7.9367,8581311,7.9367
2009-06-22,7.936716,7.8098,7.5071,7.6253,4421366,7.6253
2009-06-24,7.625249,7.6243,7.5657,7.5657,2755521,7.5657
2009-06-25,7.565711,7.5657,7.5169,7.5169,4335516,7.5169
2009-06-26,7.516902,7.6145,7.3217,7.595,5011178,7.595
2009-06-30,7.595,7.595,7.595,7.595,2048714,7.595
2009-07-01,7.594986,7.5657,7.5169,7.5657,2218101,7.5657
2009-07-02,7.5657,7.5657,7.5657,7.5657,1203039,7.5657
2009-07-03,7.565707,7.8098,7.5169,7.8,1443464,7.8
2009-07-06,7.800015,7.4681,7.4681,7.4681,1873126,7.4681
2009-07-07,7.468054,7.4681,7.224,7.224,9725657,7.224
2009-07-09,7.224011,7.224,7.1752,7.1752,242950000,7.1752
2009-07-10,7.175269,7.3217,6.8336,6.8619,54265110,6.8619
2009-07-13,6.861888,6.9312,6.8628,6.9312,13460050,6.9312
2009-07-14,6.9312,6.9312,6.9312,6.9312,273503,6.9312
2009-07-15,6.931167,7.1264,6.9312,7.0776,25929400,7.0776
2009-07-17,7.077589,7.1264,7.0971,7.1264,31254050,7.1264
2009-07-20,7.126379,7.2533,7.1752,7.224,2489157,7.224
2009-07-21,7.224014,7.2729,7.0678,7.0727,37914960,7.0727
2009-07-23,7.072752,7.0776,6.9312,6.9312,43904250,6.9312
2009-07-24,6.931125,6.9312,6.6871,6.69,8616056000,6.69
2009-07-27,6.690029,6.8336,6.3454,6.3464,103427300,6.3464
2009-07-28,6.346431,6.6383,6.3454,6.5407,270687300,6.5407
2009-07-29,6.540734,6.5407,6.3454,6.3943,3180183000,6.3943
2009-07-30,6.443101,6.4431,6.3454,6.4021,825973600,6.4021
2009-07-31,6.40202,6.4431,6.3259,6.3864,268676000,6.3864
2009-08-03,6.386399,6.6412,6.4626,6.6285,139325900,6.6285
2009-08-04,6.628516,6.9312,6.6285,6.7359,258626200,6.7359
2009-08-05,6.735982,6.7359,6.5709,6.5915,508670200,6.5915
2009-08-06,6.591466,6.6871,6.5895,6.6188,88608000,6.6188
2009-08-07,6.618775,6.735,6.6285,6.6383,84183200,6.6383
2009-08-10,6.638275,6.7359,6.6383,6.6988,226179700,6.6988
2009-08-11,6.698859,6.8326,6.6871,6.7916,103973100,6.7916
2009-08-12,6.791533,6.8824,6.7359,6.7847,248516700,6.7847
2009-08-13,6.784724,7.1254,6.8336,7.0854,534012100,7.0854
2009-08-14,7.085377,7.2533,7.1264,7.224,513898700,7.224
2009-08-17,7.224011,7.1752,7.0288,7.1752,75944780,7.1752
2009-08-18,7.175251,7.4681,7.1752,7.2143,265235200,7.2143
2009-08-19,7.214295,7.3217,7.0991,7.2182,2751783000,7.2182
2009-08-20,7.218224,7.5169,7.224,7.4779,5368056000,7.4779
2009-08-21,7.497365,7.6633,7.4974,7.5452,815662500,7.5452
2009-08-24,7.565716,7.6633,7.4193,7.513,1403325000,7.513
2009-08-25,7.513016,7.6126,7.515,7.5999,377129900,7.5999
2009-08-26,7.599879,7.5999,7.4681,7.5169,290025500,7.5169
2009-08-27,7.516883,7.6145,7.3705,7.43,115345100,7.43
2009-08-28,7.429979,7.5169,7.3217,7.5071,97248250,7.5071
2009-08-31,7.507175,7.5657,7.3705,7.4076,74851500,7.4076
2009-09-01,7.407526,7.4681,7.2807,7.347,102790600,7.347
2009-09-02,7.347017,7.3217,7.2533,7.2533,52916940,7.2533
2009-09-03,7.27282,7.3217,7.0776,7.2367,105548800,7.2367
2009-09-04,7.236768,7.3705,7.0786,7.3217,51508760,7.3217
2009-09-07,7.321653,7.4388,7.3217,7.4388,1016111000,7.4388
2009-09-08,7.438847,7.4583,7.2533,7.3217,302247400,7.3217
2009-09-09,7.321693,7.4193,7.2533,7.3871,294903400,7.3871
2009-09-10,7.387094,7.556,7.3119,7.432,664249700,7.432
2009-09-11,7.431993,7.556,7.4193,7.4974,94738220,7.4974
2009-09-14,7.497419,7.5169,7.4193,7.5023,272960100,7.5023
2009-09-15,7.516898,7.6145,7.4193,7.4388,559696500,7.4388
2009-09-16,7.438813,7.6048,7.4681,7.4681,143756500,7.4681
2009-09-17,7.468102,7.5804,7.4681,7.5462,115164100,7.5462
2009-09-21,7.546207,7.5657,7.4681,7.4808,45897200,7.4808
2009-09-22,7.4681,7.5169,7.429,7.4681,114282200,7.4681
2009-09-23,7.614573,7.5169,7.4193,7.4574,26069300,7.4574
2009-09-24,7.457335,7.4583,7.4095,7.4095,3331008,7.4095
2009-09-25,7.409549,7.4095,7.3705,7.3705,5763013,7.3705
2009-09-28,7.370483,7.4681,7.4095,7.4437,50118300,7.4437
2009-09-29,7.443717,7.4388,7.3705,7.3705,7437030,7.3705
2009-09-30,7.3705,7.4193,7.3607,7.3705,81588670,7.3705
2009-10-01,7.370471,7.4193,7.2719,7.2338,7303933,7.2338
2009-10-02,7.233776,7.2729,7.224,7.2533,21702180,7.2533
2009-10-05,7.253305,7.4095,7.2729,7.4095,37482800,7.4095
2009-10-06,7.409549,7.4681,7.3217,7.3705,83935910,7.3705
2009-10-07,7.370463,7.4085,7.224,7.3197,46338550,7.3197
