date,open,high,low,close,volume,adj_close
2009-06-03,2011.667,2011.667,1962.558,2001.806,942567,2001.806
2009-06-04,2006.736,2051.111,2006.736,2029.91,3329859,2029.91
2009-06-05,2041.25,2075.764,2031.389,2060.775,2263542,2060.775
2009-06-08,2059.986,2059.986,2011.667,2021.429,2425070,2021.429
2009-06-09,2046.181,2068.861,2001.806,2043.419,1410691,2043.419
2009-06-10,2043.419,2154.653,2060.972,2151.399,1812680,2151.399
2009-06-11,2151.399,2208.889,2159.583,2172.896,2372270,2172.896
2009-06-12,2169.346,2194.097,2149.722,2170.628,825635,2170.628
2009-06-15,2158.597,2169.444,2101.403,2168.754,1805713,2168.754
2009-06-16,2179.306,2218.75,2169.444,2203.761,5867255,2203.761
2009-06-17,2199.028,2199.028,2139.861,2160.569,2783652,2160.569
2009-06-18,2169.444,2169.444,2120.139,2122.012,2985509,2122.012
2009-06-19,2200.211,2219.736,2129.901,2130,3482931,2130
2009-06-22,2130,2130,2022.514,2034.15,1865081,2034.15
2009-06-23,2031.389,2051.111,1952.5,1963.051,3163272,1963.051
2009-06-24,1972.222,2031.389,1952.5,1971.236,2040758,1971.236
2009-06-25,1972.222,2041.25,1962.361,2037.404,4020096,2037.404
2009-06-26,2041.25,2090.556,2040.264,2064.325,2992607,2064.325
2009-06-30,1940.667,1971.236,1903.194,1932.778,4040380,1932.778
2009-07-01,1922.917,1957.431,1922.917,1933.074,2728379,1933.074
2009-07-02,1933.074,1903.194,1863.75,1885.642,1955362,1885.642
2009-07-03,1885.642,1903.194,1883.472,1884.261,800076,1884.261
2009-07-06,1873.611,1880.514,1835.153,1872.428,581017,1872.428
2009-07-07,1872.428,1863.75,1814.444,1828.842,1047604,1828.842
2009-07-08,1814.444,1834.167,1779.931,1804.386,1227840,1804.386
2009-07-09,1804.386,1853.889,1804.583,1818.783,1511879,1818.783
2009-07-10,1818.783,1873.611,1819.375,1864.046,874228,1864.046
2009-07-13,1864.046,1927.847,1873.611,1912.957,1515051,1912.957
2009-07-14,1912.957,2001.806,1913.056,1998.847,1521832,1998.847
2009-07-15,1998.847,2060.972,2021.528,2028.036,1513271,2028.036
2009-07-17,2051.111,2051.111,2016.597,2026.162,587969,2026.162
2009-07-20,2027.839,2050.125,2027.839,2045.096,1600655,2045.096
2009-07-21,2051.111,2070.833,2031.389,2044.11,1828330,2044.11
2009-07-22,2044.11,2060.972,2031.389,2051.111,1113357,2051.111
2009-07-23,2051.111,2117.181,2051.111,2106.925,2059539,2106.925
2009-07-24,2106.925,2144.792,2106.333,2139.96,1509320,2139.96
2009-07-27,2139.96,2154.653,2120.139,2133.846,1346596,2133.846
2009-07-28,2133.846,2166.486,2130,2160.175,2141665,2160.175
2009-07-29,2165.5,2198.042,2148.736,2183.151,2081590,2183.151
2009-07-30,2189.167,2212.833,2169.444,2177.826,1713278,2177.826
2009-07-31,2177.826,2179.306,2125.069,2168.36,3930937,2168.36
2009-08-03,2174.375,2208.889,2174.375,2203.86,1296993,2203.86
2009-08-04,2203.958,2257.208,2199.028,2244.882,2433965,2244.882
2009-08-05,2248.333,2267.957,2236.5,2258.194,2123638,2258.194
2009-08-06,2263.125,2263.125,2219.736,2236.894,1329231,2236.894
2009-08-07,2238.472,2248.333,2203.958,2206.818,757357,2206.818
2009-08-10,2203.958,2204.944,2169.444,2189.167,568415,2189.167
2009-08-11,2189.167,2207.903,2169.444,2197.45,818627,2197.45
2009-08-12,2197.45,2238.472,2199.028,2205.438,1074211,2205.438
2009-08-13,2205.438,2238.472,2206.917,2207.804,803094,2207.804
2009-08-14,2207.804,2228.611,2189.167,2226.343,1525253,2226.343
2009-08-17,2199.028,2217.271,2169.444,2215.594,1071487,2215.594
2009-08-18,2215.594,2228.71,2208.889,2217.764,894534,2217.764
2009-08-19,2208.889,2208.889,2170.431,2191.928,1379633,2191.928
2009-08-20,2191.928,2213.819,2189.167,2208.593,1169341,2208.593
2009-08-21,2208.889,2238.472,2207.903,2218.75,905616,2218.75
2009-08-24,2218.75,2228.611,2179.404,2184.236,598327,2184.236
2009-08-25,2184.236,2268.056,2184.236,2262.928,1525048,2262.928
2009-08-26,2263.125,2326.137,2247.347,2319.038,5475466,2319.038
2009-08-27,2327.321,2356.806,2268.056,2310.163,2676579,2310.163
2009-08-28,2317.361,2322.292,2282.847,2310.656,678113,2310.656
2009-08-31,2310.656,2311.444,2268.056,2306.415,1330215,2306.415
2009-09-01,2306.415,2337.083,2272.986,2282.354,1738022,2282.354
2009-09-02,2282.354,2332.153,2245.375,2282.058,691402,2282.058
2009-09-03,2282.847,2366.667,2282.847,2349.41,2040064,2349.41
2009-09-04,2349.41,2366.667,2336.985,2351.086,784527,2351.086
2009-09-07,2351.086,2346.944,2328.208,2336.59,557377,2336.59
2009-09-08,2346.944,2361.736,2327.222,2355.721,1308549,2355.721
2009-09-09,2364.694,2364.694,2322.292,2330.082,460853,2330.082
2009-09-10,2330.082,2346.944,2327.222,2340.633,428469,2340.633
2009-09-11,2343.986,2356.806,2327.222,2354.833,403032,2354.833
2009-09-14,2354.833,2366.667,2342.014,2361.144,600278,2361.144
2009-09-15,2366.667,2366.667,2337.083,2337.182,1507669,2337.182
2009-09-16,2343,2343.986,2317.361,2333.139,472679,2333.139
2009-09-17,2333.139,2341.028,2322.292,2329.392,406583,2329.392
2009-09-21,2329.392,2340.042,2317.361,2329.786,427138,2329.786
2009-09-22,2329.786,2337.083,2289.75,2305.725,3542911,2305.725
2009-09-23,2305.725,2342.014,2291.722,2322.883,2632099,2322.883
2009-09-24,2322.292,2327.222,2302.569,2318.742,400254,2318.742
2009-09-25,2318.742,2346.944,2309.472,2327.419,334432,2327.419
2009-09-28,2327.419,2345.958,2327.124,2331.265,585670,2331.265
2009-09-29,2331.265,2397.236,2332.153,2394.573,1445077,2394.573
2009-09-30,2396.25,2455.417,2380.472,2419.818,2339578,2419.818
2009-10-01,2418.931,2440.132,2342.014,2383.529,7172641,2383.529
2009-10-02,2381.458,2444.569,2356.806,2435.694,1411815,2435.694
2009-10-05,2435.695,2475.139,2435.694,2446.443,1535396,2446.443
2009-10-06,2455.417,2514.583,2455.417,2497.819,2378642,2497.819
2009-10-07,2523.458,2524.444,2480.069,2504.328,1614165,2504.328
2009-10-08,2513.597,2539.236,2489.931,2491.015,775834,2491.015
2009-10-09,2494.861,2593.472,2484.803,2579.765,2413871,2579.765
2009-10-13,2582.625,2662.5,2581.639,2657.767,1647987,2657.767
2009-10-14,2669.403,2741.389,2657.175,2696.126,1761508,2696.126
2009-10-15,2711.313,2711.806,2623.056,2629.564,1611198,2629.564
2009-10-16,2621.083,2637.847,2578.582,2618.322,1552596,2618.322
2009-10-19,2618.322,2706.875,2633.903,2701.649,953018,2701.649
2009-10-20,2712.792,2731.528,2692.083,2722.653,1892658,2722.653
2009-10-21,2721.667,2859.722,2709.833,2834.182,3640664,2834.182
2009-10-22,2810.417,2869.583,2800.556,2842.86,1877033,2842.86
2009-10-23,2840,2841.972,2810.417,2839.704,1235683,2839.704
2009-10-26,2840,2874.514,2771.958,2777.678,574516,2777.678
2009-10-27,2780.833,2780.833,2677.292,2690.407,1443929,2690.407
2009-10-28,2690.407,2751.25,2613.194,2615.561,1058419,2615.561
2009-10-29,2613.194,2741.389,2613.194,2701.55,1525636,2701.55
2009-10-30,2662.5,2741.389,2642.778,2660.232,1027329,2660.232
2009-11-02,2741.389,2721.667,2642.778,2645.835,449106,2645.835
2009-11-03,2645.835,2642.778,2593.374,2625.126,1841344,2625.126
2009-11-04,2625.126,2706.875,2647.708,2694.056,1061570,2694.056
2009-11-05,2701.944,2711.806,2677.292,2699.677,1498751,2699.677
2009-11-06,2699.677,2702.931,2662.5,2666.642,479887,2666.642
2009-11-09,2692.083,2692.083,2647.708,2655.992,1090894,2655.992
2009-11-10,2655.992,2666.444,2565.861,2577.793,1863929,2577.793
2009-11-11,2603.333,2642.778,2583.611,2623.154,27864460,2623.154
2009-11-12,2623.154,2642.778,2583.611,2593.669,1442011,2593.669
2009-11-13,2618.125,2627.986,2583.611,2618.815,2165105,2618.815
2009-11-16,2618.125,2641.792,2613.194,2632.818,1511326,2632.818
2009-11-17,2632.818,2642.778,2603.333,2605.996,1248820,2605.996
2009-11-18,2603.333,2623.056,2573.75,2579.962,713633,2579.962
2009-11-19,2574.736,2593.472,2554.028,2576.906,869484,2576.906
2009-11-20,2576.906,2608.264,2573.75,2599.192,2677073,2599.192
2009-11-23,2632.917,2641.792,2588.542,2598.008,1378592,2598.008
2009-11-24,2598.403,2603.333,2524.444,2554.028,1276732,2554.028
2009-11-25,2558.958,2583.611,2549.097,2563.889,891955,2563.889
2009-11-26,2563.889,2583.611,2504.722,2514.781,916940,2514.781
2009-11-27,2514.781,2583.611,2465.278,2572.468,3522895,2572.468
2009-11-30,2563.889,2593.472,2563.889,2581.738,805215,2581.738
2009-12-01,2583.611,2637.847,2583.611,2625.323,2546283,2625.323
2009-12-02,2625.324,2692.083,2632.917,2685.181,2141974,2685.181
2009-12-03,2685.18,2731.528,2692.083,2698.394,2654523,2698.394
2009-12-04,2692.083,2746.319,2692.083,2721.174,2322439,2721.174
2009-12-07,2741.389,2741.488,2711.806,2713.778,459047,2713.778
2009-12-09,2713.778,2741.389,2702.043,2727.386,1313265,2727.386
2009-12-10,2727.386,2805.486,2741.389,2790.497,1108083,2790.497
2009-12-11,2790.497,2835.069,2763.083,2779.354,1053735,2779.354
2009-12-14,2790.695,2800.556,2760.125,2771.465,956242,2771.465
2009-12-15,2770.972,2775.903,2749.278,2775.212,997629,2775.212
2009-12-16,2775.212,2800.556,2751.25,2751.25,2079993,2751.25
2009-12-17,2751.25,2761.111,2721.667,2751.151,1793241,2751.151
2009-12-18,2751.151,2800.556,2756.181,2792.962,1316604,2792.962
2009-12-21,2792.962,2801.542,2775.903,2785.764,4345462,2785.764
2009-12-22,2785.764,2800.556,2769,2780.143,627451,2780.143
2009-12-23,2785.764,2790.694,2761.111,2764.464,363859,2764.464
2009-12-24,2761.111,2810.318,2761.111,2795.231,1398528,2795.231
2009-12-28,2790.694,2839.901,2785.764,2831.421,1874993,2831.421
2009-12-29,2831.421,2857.75,2831.421,2854.299,3429164,2854.299
2009-12-30,2835.069,2854.792,2835.069,2845.719,481303,2845.719
2010-01-04,2880.924,2953.403,2835.069,2944.133,2104899,2944.133
2010-01-05,2953.403,3012.569,2953.304,2955.375,1846524,2955.375
2010-01-06,2955.375,3004.681,2923.819,2938.611,1478341,2938.611
2010-01-07,2937.625,2938.611,2904.097,2928.553,1761373,2928.553
2010-01-08,2928.75,3002.708,2923.819,2995.313,1865323,2995.313
2010-01-11,2994.82,3054.972,2994.819,3041.956,1648018,3041.956
2010-01-12,3047.083,3076.667,2987.917,3019.078,1389119,3019.078
2010-01-13,3019.078,3047.083,2997.778,3024.501,1063128,3024.501
2010-01-14,3023.417,3032.292,2988.903,3018.585,1106459,3018.585
2010-01-15,3018.585,3017.5,2942.556,2967.997,1814027,2967.997
2010-01-18,3007.639,3056.944,2997.778,3022.233,1164270,3022.233
2010-01-19,3021.444,3076.667,2991.861,3055.761,1424572,3055.761
2010-01-20,3056.944,3064.833,3027.361,3059.212,877618,3059.212
2010-01-21,3066.806,3066.806,2987.917,2992.65,1612169,2992.65
2010-01-22,2989.889,2998.764,2948.472,2952.417,1289630,2952.417
2010-01-25,2952.417,2978.056,2953.403,2975.886,578879,2975.886
2010-01-26,2975.097,3007.639,2969.181,3001.624,519901,3001.624
2010-01-27,2999.75,3002.708,2909.028,2939.696,1313735,2939.696
2010-01-28,2939.597,2997.778,2910.014,2918.889,842626,2918.889
2010-01-29,2918.889,2957.347,2899.167,2899.364,1191632,2899.364
2010-02-01,2901.139,2982.986,2899.167,2972.533,1046031,2972.533
2010-02-02,2972.139,3055.958,2972.139,3043.632,1567239,3043.632
2010-02-03,3047.083,3047.083,3012.569,3022.431,742227,3022.431
2010-02-04,3016.514,3022.431,2918.988,2930.427,1084171,2930.427
2010-02-05,2918.889,2986.931,2899.167,2910.901,1192313,2910.901
2010-02-08,2903.111,2978.056,2903.111,2951.924,895729,2951.924
2010-02-09,2951.924,3017.5,2954.389,2989.198,595241,2989.198
2010-02-10,2987.917,3008.625,2966.222,2967.011,431208,2967.011
