date,open,high,low,close,volume,adj_close
2013-03-22,31.85,31.86,31.85,31.85,276,31.85
2013-04-16,31.85,33.35,33.35,33.35,120,33.35
2013-04-29,33.35,32.3,32.3,32.3,93,32.3
2013-05-09,32.3,33.64,33.64,33.64,249,33.64
2013-07-08,33.64,31.57,31.55,31.57,403,31.57
2013-07-09,31.57,31.45,31.36,31.37,1810,31.37
2013-07-12,31.37,31.57,31.45,31.45,927,31.45
2013-07-15,31.45,32,32,32,316,32
2013-07-17,32,32.38,32.18,32.18,2259,32.18
2013-10-02,32.18,33.39,33.39,33.39,158,33.39
2015-06-18,33.39,41.59,41.59,41.59,1086,41.59
2015-06-19,41.59,42.28,41.84,41.84,1556,41.84
2015-08-28,41.84,37.15,37.15,37.15,470,37.15
2016-06-02,37.15,39,39,39,304,39
2017-01-13,39,39.28,39.28,39.28,2950,39.28
2017-02-13,39.28,41,41,41,304,41
2017-05-11,41,45.36,45.22,45.36,3640,45.36
2017-05-12,45.36,45.06,45.06,45.06,87,45.06
2017-10-02,45.06,48.72,48.72,48.72,82,48.72
2018-01-25,48.72,51.87,51.87,51.87,82,51.87
2018-01-29,51.87,52.68,52.68,52.68,947,52.68
2018-01-30,52.68,51.4,51.4,51.4,113,51.4
2018-07-18,51.4,48.58,48.58,48.58,3220,48.58
2018-08-06,48.58,48.56,48.56,48.56,420,48.56
2018-09-12,48.56,49,49,49,947,49
2019-06-20,49,57.05,57.05,57.05,2950,57.05
2019-07-02,57.05,58.42,58.42,58.42,113,58.42
2019-10-09,58.42,54.6,54.6,54.6,85,54.6
2019-11-05,54.6,55.62,55.62,54.6,2950,54.6
2019-11-06,54.6,55.72,55.72,54.6,85,54.6
2020-06-05,54.6,53.97,53.97,54.6,100,54.6
2020-08-19,54.6,56.46,56.46,54.6,33,54.6
2020-08-20,54.6,55.45,55.45,54.6,75,54.6
2020-09-15,54.6,59.61,59.61,59.61,320,59.61
2020-09-23,59.61,59.8,59.8,59.8,33,59.8
2020-11-10,59.61,56.64,56.64,59.61,76,59.61
2020-12-04,59.61,60.25,60.25,59.61,75,59.61
