date,open,high,low,close,volume,adj_close
2009-06-03,6.7245,6.7245,6.7245,6.7245,1842819,6.7245
2009-06-04,6.724693,6.9073,6.669,6.9073,34331100,6.9073
2009-06-05,6.907186,6.9866,6.7484,6.7746,3478275,6.7746
2009-06-08,6.774664,7.066,6.7484,7.0581,22360890,7.0581
2009-06-09,7.027104,7.1454,7.0271,7.1454,23336230000,7.1454
2009-06-10,7.542367,7.5424,7.1057,7.1454,116327100,7.1454
2009-06-11,7.145319,7.4232,7.2327,7.3438,314231600,7.3438
2009-06-12,7.343884,7.463,7.1454,7.1454,52667530,7.1454
2009-06-15,7.145386,7.1454,6.9073,6.9866,151885500,6.9866
2009-06-16,6.986511,7.1374,6.9866,7.0794,617873200,7.0794
2009-06-17,7.079435,6.9469,6.8357,6.8357,59824170,6.8357
2009-06-18,6.835779,6.9073,6.7579,6.8199,424616000,6.8199
2009-06-19,6.819861,6.9065,6.804,6.8278,195537600,6.8278
2009-06-22,6.827778,6.7484,6.5896,6.5896,2818520,6.5896
2009-06-23,6.589681,6.5896,6.3515,6.3515,21511340,6.3515
2009-06-24,6.446773,6.5817,6.2887,6.3515,4231112000,6.3515
2009-06-25,6.351497,6.4698,6.3515,6.469,9908617,6.469
2009-06-26,6.468997,6.3674,6.3507,6.3507,1776836000,6.3507
2009-06-30,6.350706,6.4706,6.3515,6.3515,633027600,6.3515
2009-07-01,6.3515,6.3515,6.3515,6.3515,543642000,6.3515
2009-07-02,6.351335,6.4309,6.288,6.3037,1486274000,6.3037
2009-07-03,6.303873,6.4706,6.3117,6.4706,1824112000,6.4706
2009-07-06,6.470597,6.4706,6.3912,6.4309,31660300,6.4309
2009-07-07,6.430882,6.5103,6.3912,6.4547,17956110,6.4547
2009-07-08,6.454794,6.5103,6.4309,6.454,302098900,6.454
2009-07-09,6.453835,6.5896,6.4547,6.5499,406392600,6.5499
2009-07-10,6.589611,6.7484,6.5103,6.5126,93528360,6.5126
2009-07-13,6.512673,6.669,6.4309,6.5746,329999800,6.5746
2009-07-14,6.574526,6.7564,6.5896,6.7087,53256250,6.7087
2009-07-15,6.708696,6.7484,6.6293,6.669,21720050,6.669
2009-07-17,6.669,6.677,6.669,6.669,5686516,6.669
2009-07-20,6.668996,6.7167,6.6293,6.6293,10041570,6.6293
2009-07-21,6.629442,6.7087,6.6293,6.6612,69507820,6.6612
2009-07-22,6.661093,6.669,6.5103,6.5817,119279100,6.5817
2009-07-23,6.581682,6.6293,6.5262,6.6055,1239617000,6.6055
2009-07-24,6.605573,6.669,6.6134,6.6413,100359900,6.6413
2009-07-27,6.641167,6.7087,6.5896,6.6499,509818500,6.6499
2009-07-28,6.597411,6.6682,6.5896,6.6641,303628400,6.6641
2009-07-29,6.664321,6.7484,6.5103,6.6802,3140574000,6.6802
2009-07-30,6.680119,6.8278,6.677,6.7087,566927100,6.7087
2009-07-31,6.708714,6.8675,6.7484,6.8675,313807500,6.8675
2009-08-03,6.86751,6.9866,6.9073,6.9866,224565200,6.9866
2009-08-04,6.98659,6.9866,6.9073,6.9461,57286590,6.9461
2009-08-05,6.946224,6.9461,6.9151,6.9232,385866900,6.9232
2009-08-06,6.923149,6.9866,6.8278,6.9033,54612860,6.9033
2009-08-07,6.903351,6.9628,6.8278,6.9232,20218830,6.9232
2009-08-10,6.922956,6.8912,6.8595,6.8912,4140817,6.8912
2009-08-11,6.891281,6.8675,6.8278,6.8365,5430306,6.8365
2009-08-12,6.836557,7.1454,6.8675,7.1057,167913900,7.1057
2009-08-13,7.105611,7.3042,7.1374,7.1985,211082400,7.1985
2009-08-14,7.198597,7.3042,7.1454,7.1851,509384200,7.1851
2009-08-17,7.185009,7.1374,6.8675,7.0556,138616000,7.0556
2009-08-18,7.055695,7.2645,7.1374,7.2645,199902800,7.2645
2009-08-19,7.304142,7.463,7.3042,7.3097,2554585000,7.3097
2009-08-20,7.309665,7.4551,7.3042,7.3835,743049400,7.3835
2009-08-21,7.383389,7.3835,7.3042,7.3429,68867540,7.3429
2009-08-24,7.3438,7.463,7.3429,7.3438,2585359000,7.3438
2009-08-25,7.343778,7.4551,7.3835,7.4454,75198060,7.4454
2009-08-26,7.445422,7.3835,7.3121,7.3438,78260540,7.3438
2009-08-27,7.3835,7.447,7.1454,7.3835,11498040,7.3835
2009-08-28,7.383584,7.447,7.1851,7.1851,5216087,7.1851
2009-08-31,7.185083,7.463,6.9866,6.9866,12499050000,6.9866
2009-09-01,6.986586,7.1454,6.8199,6.8278,15371140,6.8278
