date,open,high,low,close,volume,adj_close
2006-11-21,1,1.01,0.96,1,8487632,1
2006-11-22,1,1.15,1.1,1.1,74313250,1.1
2006-11-23,1.1,1.1,1.1,1.1,4330980,1.1
2006-11-24,1.1,1.1,1.1,1.1,26632720,1.1
2006-11-27,1.1,1.13,1.01,1.01,11798300,1.01
2006-11-28,1.01,1.01,0.95,1.01,10108620,1.01
2006-11-29,1.01,1.01,1,1,34665920,1
2006-11-30,1,1,1,1,368584,1
2006-12-01,1,0.9,0.9,0.9,6061360,0.9
2006-12-04,0.9,0.8,0.8,0.8,634163,0.8
2006-12-05,0.8,0.899,0.82,0.85,7312854,0.85
2006-12-06,0.85,0.849,0.8,0.81,10530890,0.81
2006-12-07,0.81,0.81,0.8,0.8,9998863,0.8
2006-12-11,0.8,0.8,0.8,0.8,304470,0.8
2006-12-12,0.8,0.65,0.65,0.65,3317459,0.65
2006-12-13,0.65,0.65,0.65,0.65,18677740,0.65
2006-12-14,0.65,0.7,0.65,0.7,7056050,0.7
2006-12-15,0.7,0.7,0.7,0.7,9318834,0.7
2006-12-18,0.7,0.8,0.7,0.8,8596087,0.8
2006-12-19,0.8,0.85,0.75,0.8,57683610,0.8
2006-12-20,0.8,0.8,0.8,0.8,2206466,0.8
2007-08-02,0.8,0.8,0.75,0.8,66105820,0.8
2007-08-03,0.8,0.82,0.8,0.8,14656360,0.8
2007-08-06,0.8,0.82,0.79,0.8,10589490,0.8
2007-08-07,0.8,0.8,0.8,0.8,1238305,0.8
2007-08-08,0.8,0.75,0.7,0.749,19119650,0.749
2007-08-09,0.749,0.7,0.64,0.64,6254903,0.64
2007-08-10,0.64,0.64,0.64,0.64,634554,0.64
2007-08-13,0.64,0.65,0.6,0.6,66298040,0.6
2007-08-14,0.6,0.5,0.5,0.5,4534603,0.5
2007-08-16,0.5,0.5,0.4,0.5,20649350,0.5
2007-08-17,0.5,0.48,0.48,0.48,4183927,0.48
2007-08-20,0.48,0.5,0.48,0.48,8147745,0.48
2007-08-21,0.48,0.479,0.402,0.403,7438716,0.403
2007-08-22,0.403,0.48,0.4,0.48,113988500,0.48
2007-08-23,0.48,0.5,0.45,0.5,78088220,0.5
2007-08-24,0.5,0.5,0.429,0.5,33984470,0.5
2007-08-27,0.5,0.5,0.487,0.488,30527710,0.488
2007-08-28,0.488,0.502,0.4,0.5,52811610,0.5
2007-08-29,0.5,0.6,0.411,0.5,168283800,0.5
2007-08-30,0.5,0.51,0.48,0.5,39645280,0.5
2009-03-10,0.2,0.2,0.2,0.2,7418555,0.2
2009-03-11,0.2,0.21,0.18,0.181,21887430,0.181
2009-03-12,0.181,0.145,0.1,0.145,42814630,0.145
2009-03-13,0.145,0.15,0.135,0.137,37082160,0.137
2009-03-16,0.137,0.137,0.137,0.137,2459000,0.137
2009-03-17,0.137,0.137,0.137,0.137,972037,0.137
2009-03-18,0.137,0.137,0.137,0.137,2000000,0.137
2009-03-19,0.137,0.137,0.137,0.137,2020000,0.137
2009-03-20,0.137,0.15,0.15,0.15,9949284,0.15
2009-03-23,0.15,0.2,0.2,0.2,14886980,0.2
2009-03-24,0.2,0.25,0.16,0.158,11251230,0.158
2009-03-25,0.158,0.2,0.15,0.2,17338770,0.2
2009-03-26,0.2,0.22,0.15,0.15,101072400,0.15
2009-03-27,0.15,0.17,0.15,0.15,29278370,0.15
