date,open,high,low,close,volume,adj_close
2015-03-09,2000,2000,2000,2000,1034,2000
2015-03-12,2000,2000,2000,2000,202,2000
2015-03-16,2000,2000,2000,2000,130,2000
2015-03-19,2000,2050,2000,2000,5352,2000
2015-03-23,2000,2050,2050,2050,550,2050
2015-03-25,2050,2050,2050,2050,574,2050
2015-04-06,2050,2100,2100,2100,1114,2100
2015-04-08,2100,2126.1,2125,2126.1,1524,2126.1
2015-04-15,2126.1,2200,2200,2200,566,2200
2015-04-21,2200,2231,2231,2231,642,2231
2015-04-22,2231,2231,2231,2231,208,2231
2015-05-04,2231,2300,2300,2300,524,2300
2015-05-25,2300,2300,2300,2300,204,2300
2015-06-10,2300,2251,2250,2250,4045,2250
2015-06-12,2250,2300,2300,2300,1892,2300
2015-07-23,2300,2300,2300,2300,156,2300
2015-07-28,2300,2300,2300,2300,531,2300
2015-07-31,2300,2300,2300,2300,90,2300
2015-08-21,2300,2300,2300,2300,248,2300
2015-08-26,2300,2300,2300,2300,96,2300
2015-08-28,2300,2300,2300,2300,188,2300
2015-09-08,2300,2300,2300,2300,28,2300
2015-09-29,2300,2350,2350,2350,1452,2350
2015-10-30,2350,2350,2350,2350,101,2350
2015-11-06,2350,2362,2360,2360,1548,2360
2015-11-09,2360,2360,2360,2360,96540,2360
2015-11-10,2360,2360,2360,2360,307,2360
2015-11-17,2360,2360,2360,2360,228,2360
2015-12-04,2360,2360,2360,2360,30,2360
2016-01-07,2360,2360,2360,2360,2000,2360
2016-01-26,2360,2250,2250,2250,270,2250
2016-04-06,2250,2450,2450,2450,450,2450
2016-05-04,2450,2450,2450,2450,100,2450
2016-05-06,2450,2450,2450,2450,382,2450
2016-05-25,2450,2450,2450,2450,5938,2450
2016-06-01,2450,2450,2450,2450,261,2450
2016-06-09,2450,2550,2550,2550,378,2550
2016-06-23,2550,2660,2660,2660,4721,2660
2016-07-01,2660,2700,2700,2700,256,2700
2016-07-08,2700,2707,2707,2707,3000,2707
2016-07-15,2707,3100,2900,3100,1950,3100
2016-08-02,3100,3100,3100,3100,480,3100
2016-08-23,3100,3100,3100,3100,568,3100
2016-10-06,3100,3100.1,3100.1,3100.1,1588,3100.1
2016-10-17,3100.1,3200,3200,3200,261,3200
2016-10-19,3200,3201,3201,3201,480,3201
2016-10-26,3201,3201,3201,3201,555,3201
2016-11-03,3201,3201.1,3201.1,3201.1,672,3201.1
2016-11-18,3201.1,3201.1,3201.1,3201.1,286,3201.1
2016-11-24,3201.1,3201.1,3201.1,3201.1,1076,3201.1
2016-12-01,3201.1,3350,3350,3350,582,3350
2016-12-14,3350,3350,3350,3350,378,3350
2016-12-29,3350,3350,3350,3350,538,3350
2017-01-12,3350,3300,3300,3300,378,3300
2017-02-13,3300,3300,3300,3300,100,3300
2017-02-16,3300,3303,3300,3300,6543,3300
2017-02-17,3300,3350,3350,3350,500,3350
2017-03-09,3350,3420,3420,3420,458,3420
2017-03-13,3420,3421,3421,3421,937,3421
2017-04-04,3421,4105,4105,4105,1093,4105
2017-04-18,4105,4500,4500,4500,892,4500
2017-04-21,4500,4900,4900,4900,404,4900
2017-04-24,4900,4900,4900,4900,500,4900
2017-04-25,4900,4900,4900,4900,500,4900
2017-04-26,4900,4900,4900,4900,70,4900
2017-04-27,4900,5000,4900,5000,348,5000
2017-05-09,5000,5000,5000,5000,56,5000
2017-05-12,5000,4900,4900,4900,670,4900
2017-05-15,4900,4900,4900,4900,80,4900
2017-05-22,4900,4900,4900,4900,469,4900
2017-05-24,4900,4800,4800,4800,218,4800
2017-05-25,4800,4800,4800,4800,112,4800
2017-05-26,4800,5000,4900,5000,805,5000
2017-05-30,5000,5000,5000,5000,1533,5000
2017-06-05,5000,5000,5000,5000,504,5000
2017-06-06,5000,5000,5000,5000,1000,5000
2017-06-07,5000,5000,5000,5000,1000,5000
2017-06-08,5000,5000,5000,5000,100,5000
2017-06-12,5000,5200,5200,5200,800,5200
2017-06-14,5200,5400,5400,5400,100,5400
2017-06-19,5400,5100,5100,5100,756,5100
2017-06-20,5100,5100,5100,5100,544,5100
2017-07-03,5100,5400,5350,5400,1784,5400
2017-07-04,5400,5500,5500,5500,1300,5500
2017-07-05,5500,5500,5500,5500,1200,5500
2017-07-06,5500,5500,4500,4500,611,4500
2017-07-07,4500,5200,5200,5200,804,5200
2017-07-10,5200,5200,5200,5200,171,5200
2017-07-11,5200,5200,5200,5200,752,5200
