date,open,high,low,close,volume,adj_close
2009-06-03,463.2716,463.2814,455.3958,460.7285,476878,460.7285
2009-06-04,460.7285,463.2814,458.3529,458.3529,673432,458.3529
2009-06-05,458.3529,492.8526,468.2099,473.1385,871742,473.1385
2009-06-08,469.1957,492.8526,469.1956,491.0389,743626,491.0389
2009-06-09,502.7096,512.5667,501.7239,506.6524,425118,506.6524
2009-06-10,506.6525,527.3523,512.5667,525.3809,974681,525.3809
2009-06-11,525.3807,541.1522,527.3523,537.1008,1058186,537.1008
2009-06-12,537.1008,537.2093,527.3523,529.3236,1219764,529.3236
2009-06-15,529.3237,522.4237,507.6381,517.4952,275510,517.4952
2009-06-16,517.4952,522.4237,512.3695,512.3695,755253,512.3695
2009-06-17,512.3695,507.6381,495.8097,502.7096,815659,502.7096
2009-06-18,502.7097,505.6668,497.7812,497.7812,515294,497.7812
2009-06-19,497.7811,510.5953,499.7624,510.0038,921376,510.0038
2009-06-22,510.0039,499.7525,489.8955,489.8955,488960,489.8955
2009-06-23,489.8955,492.961,468.2099,481.8423,452609,481.8423
2009-06-24,481.8422,502.7096,482.9956,483.9812,182014,483.9812
2009-06-25,483.9813,492.8526,483.9812,488.2494,196931,488.2494
2009-06-26,488.2494,492.8723,487.9241,492.8526,780450,492.8526
2009-06-30,492.8526,497.7812,487.9241,487.9241,136972,487.9241
2009-07-01,487.9241,492.8526,487.9241,488.0227,82273,488.0227
2009-07-02,488.0226,487.9241,468.2199,473.1385,1860758,473.1385
2009-07-03,473.1385,474.1242,468.2099,473.1385,193351,473.1385
2009-07-06,473.1385,466.2386,463.2814,466.2386,486844,466.2386
2009-07-07,466.2386,466.2386,449.4816,453.0499,884951,453.0499
2009-07-08,453.0497,458.3529,453.4243,453.4243,1423445,453.4243
2009-07-09,453.4243,453.4343,443.5674,453.4243,3711898,453.4243
2009-07-10,453.4243,453.4243,447.5101,453.4243,1611318,453.4243
2009-07-13,453.4243,456.2829,449.4816,456.2829,1188023,456.2829
2009-07-14,456.283,476.0956,458.3529,474.3608,3350247,474.3608
2009-07-15,474.3608,492.754,480.137,482.9956,840208,482.9956
2009-07-17,482.9955,487.8255,484.9669,487.8255,55107,487.8255
2009-07-20,487.8255,490.8812,488.9098,489.8955,425104,489.8955
2009-07-21,489.8954,492.8526,490.3884,491.8668,601326,491.8668
2009-07-22,491.8669,497.7812,487.9142,487.9241,985410,487.9241
2009-07-23,487.9241,487.9241,482.9956,482.9956,1084292,482.9956
2009-07-24,482.9956,496.7856,483.0941,487.9241,253588,487.9241
2009-07-27,487.924,500.7382,487.9241,500.7382,230791,500.7382
2009-07-28,500.7382,499.7525,491.374,491.374,943063,491.374
2009-07-29,491.3741,492.8526,488.9098,489.8462,331383,489.8462
2009-07-30,489.8462,499.7525,495.8097,496.7954,2097744,496.7954
2009-07-31,496.7954,502.7096,499.7525,499.7525,1279070,499.7525
2009-08-03,499.7526,506.5539,502.6998,504.3558,780850,504.3558
2009-08-04,507.6381,509.6096,504.6811,507.7367,632009,507.7367
2009-08-05,507.7368,507.7466,503.5968,503.6954,181137,503.6954
2009-08-06,503.6954,508.6239,504.6811,504.6811,62203,504.6811
2009-08-07,506.6525,509.6096,506.5539,509.6096,225789,509.6096
2009-08-10,509.6096,512.5667,504.6811,504.6811,167757,504.6811
2009-08-11,504.681,507.6381,504.6811,507.6381,381945,507.6381
2009-08-12,507.6382,510.1024,507.6185,507.6185,634161,507.6185
2009-08-13,507.6185,512.5667,507.6381,511.581,432372,511.581
2009-08-14,511.581,513.5524,507.6381,508.6239,436066,508.6239
2009-08-17,508.6239,507.6381,503.6954,503.6954,33948,503.6954
2009-08-18,503.6954,512.5667,503.6954,512.34,317765,512.34
