date,open,high,low,close,volume,adj_close
2009-06-03,5785,5792,5792,5792,826,5792
2009-06-05,5792,5795,5795,5795,1178,5795
2009-06-11,5795,5797,5797,5797,1308,5797
2009-06-18,5797,5797,5797,5797,22,5797
2009-06-25,5797,6100,6100,6100,15676,6100
2009-07-06,6100,6100,6100,6100,1782,6100
2009-07-13,6100,6100,6100,6100,280,6100
2009-07-17,6100,6100,6100,6100,500,6100
2009-07-20,6100,6100,6100,6100,500,6100
2009-07-27,6100,6100,6100,6100,1002,6100
2009-07-30,6100,6100,6100,6100,1301,6100
2009-08-03,6100,6120,6120,6120,810,6120
2009-08-06,6120,6150,6150,6150,2950,6150
2009-08-10,6150,6151,6151,6151,1580,6151
2009-08-11,6151,6151,6150,6151,956,6151
2009-08-17,6151,6160,6160,6160,159,6160
2009-08-18,6160,6162,6162,6162,625,6162
2009-08-26,6162,6161,6160,6160,502,6160
2009-09-02,6160,6161,6161,6161,870,6161
2009-09-08,6161,6160,6160,6160,530,6160
2009-09-17,6160,6170,6160,6160,17058,6160
2009-09-21,6160,6170,6170,6170,500,6170
2009-09-22,6170,6185,6185,6185,828,6185
2009-09-23,6185,6500,6500,6500,3665,6500
2009-09-28,6500,7000,7000,7000,600,7000
2009-09-29,7000,7000,7000,7000,828,7000
2009-10-02,7000,7100,7100,7100,3100,7100
2009-10-05,7100,7201,7200,7200.1,515401,7200.1
2009-10-08,7200.1,7300,7300,7300,1000,7300
2009-10-13,7300,7300,7300,7300,609,7300
2009-10-15,7300,7201,7201,7201,8949,7201
2009-10-22,7201,7200,7200,7200,1064,7200
2009-10-27,7200,7300,7300,7300,600,7300
2009-10-28,7300,7300,7200,7300,18827,7300
2009-10-29,7300,7300,7300,7300,1650,7300
2009-10-30,7300,7300,7300,7300,680,7300
2009-11-16,7300,7300,7300,7300,1000,7300
2009-11-18,7300,7200,7200,7200,8000,7200
2009-11-19,7200,7300,7300,7300,14958,7300
2009-11-20,7300,7300,7300,7300,781,7300
2009-11-23,7300,7300,7300,7300,2693,7300
2009-11-30,7300,7300,7300,7300,4493,7300
2009-12-01,7300,7300,7300,7300,600,7300
2009-12-02,7300,7300,7300,7300,900,7300
2009-12-03,7300,7300,7300,7300,1127,7300
2009-12-04,7300,7300,7300,7300,170,7300
2009-12-09,7300,7200,7200,7200,1638,7200
2009-12-10,7200,7300,7200,7300,4981,7300
2009-12-11,7300,7355,7355,7355,4272,7355
2009-12-16,7355,7355,7355,7355,444,7355
2009-12-22,7355,7355,7355,7355,18093,7355
2009-12-23,7355,7350,7350,7350,4160,7350
2009-12-24,7350,7350,7350,7350,15000,7350
2009-12-28,7350,7350,7350,7350,2500,7350
2009-12-29,7350,7350,7350,7350,2968,7350
2010-01-06,7350,7350,7350,7350,2824,7350
2010-01-07,7350,7350,7350,7350,700,7350
2010-01-08,7350,7250,7250,7250,193,7250
2010-01-12,7250,7160,7160,7160,7000,7160
2010-01-18,7160,7250,7250,7250,105,7250
2010-01-20,7250,7220,7220,7220,171,7220
2010-02-01,7220,7400,7350,7400,1030,7400
2010-02-02,7400,7610,7500,7610,26120,7610
2010-02-03,7610,7800,7800,7800,303580,7800
2010-02-04,7800,7800,7800,7800,702,7800
2010-02-05,7800,7800,7800,7800,1491,7800
2010-02-08,7800,7800,7800,7800,2057,7800
2010-02-09,7800,7860,7860,7860,449878,7860
2010-02-15,7860,7800,7800,7800,823,7800
2010-02-26,7800,7877,7877,7877,100,7877
2010-03-03,7877,7875,7875,7875,7000,7875
2010-03-10,7875,7820,7800.1,7800.1,76121,7800.1
2010-03-11,7800.1,7800,7800,7800,1500,7800
2010-03-22,7800,7850,7850,7850,5000,7850
2010-03-24,7850,7850,7850,7850,8000,7850
2010-03-30,7850,7850,7850,7850,188,7850
2010-03-31,7850,7850,7850,7850,80,7850
2010-04-13,7850,7800.1,7800,7800,2002,7800
2010-04-15,7800,7800,7800,7800,25,7800
2010-04-16,7800,7810,7810,7810,166,7810
2010-04-23,7810,7850,7850,7850,1562,7850
2010-04-26,7850,7850,7850,7850,622,7850
2010-04-27,7850,7850,7850,7850,5333,7850
2010-04-29,7850,7850,7850,7850,198,7850
2010-04-30,7850,7850,7850,7850,2600,7850
2010-05-06,7850,7750,7750,7750,3099,7750
2010-05-07,7750,7750,7750,7750,1666,7750
2010-05-10,7750,7760,7760,7760,2290,7760
2010-05-12,7760,7800,7800,7800,798,7800
2010-05-13,7800,7950,7950,7950,37903,7950
2010-05-17,7950,7900,7900,7900,4725,7900
2010-05-24,7900,8000,8000,8000,1288,8000
2010-06-02,8000,8000,8000,8000,2638,8000
2010-06-03,8000,8000,8000,8000,232,8000
2010-06-04,8000,8000,8000,8000,5125,8000
2010-06-07,8000,7900,7850,7850,637,7850
2010-06-10,7850,7850,7850,7850,191,7850
2010-06-11,7850,7850.1,7850,7850.1,4594,7850.1
2010-06-14,7850.1,7850,7800,7850,930,7850
2010-06-21,7850,7850,7850,7850,1748,7850
2010-06-22,7850,7850,7850,7850,27,7850
2010-07-06,7850,7851,7850,7851,760,7851
2010-07-08,7851,7851,7851,7851,20,7851
2010-07-09,7851,8000,8000,8000,2349,8000
2010-07-13,8000,8150,8150,8150,685,8150
2010-07-14,8150,8000,8000,8000,352,8000
2010-07-19,8000,8004,8001,8004,465,8004
2010-07-20,8004,8200,8200,8200,318,8200
2010-07-21,8200,8200,8200,8200,250,8200
2010-07-23,8200,8201,8201,8201,2147,8201
2010-07-26,8201,8300,8250,8250,3601,8250
2010-07-29,8250,8300,8256,8256,2542,8256
2010-07-30,8256,8321,8271,8321,160,8321
2010-08-03,8321,8300,8300,8300,1003,8300
2010-08-04,8300,8300,8300,8300,974,8300
2010-08-05,8300,8300,8300,8300,1300,8300
2010-08-06,8300,8350,8300,8350,771,8350
2010-08-10,8350,8350,8350,8350,1000,8350
