date,open,high,low,close,volume,adj_close
2009-06-03,234.6175,235.4342,228.4841,231.9591,1046036,231.9591
2009-06-04,231.9591,241.5155,231.9591,240.6467,609755,240.6467
2009-06-05,240.6467,246.7281,240.6467,244.9905,710324,244.9905
2009-06-08,244.9905,248.4656,238.9092,248.3787,264804,248.3787
2009-06-09,248.3787,250.2031,241.5155,244.9905,510288,244.9905
2009-06-10,244.9906,250.2031,243.253,244.5475,668624,244.5475
2009-06-11,244.5474,245.8593,240.6467,244.9297,505942,244.9297
2009-06-12,244.9905,246.2937,234.5654,237.2846,671170,237.2846
2009-06-15,237.2847,246.2937,225.8778,232.7845,737846,232.7845
2009-06-16,232.7845,243.2443,225.7909,229.8915,550547,229.8915
2009-06-17,229.8914,229.3528,217.1902,220.6652,1699530,220.6652
2009-06-18,220.6653,220.2309,212.8464,217.9895,1185810,217.9895
2009-06-19,217.9895,225.8778,221.534,224.0013,909375,224.0013
2009-06-22,229.7872,230.2216,212.9333,215.5917,1113491,215.5917
2009-06-23,215.5917,216.7558,204.1588,208.4157,195292,208.4157
2009-06-24,208.4157,212.8464,211.5433,211.9776,410497,211.9776
2009-06-25,212.8463,212.8464,208.5026,210.7092,72842,210.7092
2009-06-26,210.7092,219.7965,208.5026,214.5144,233458,214.5144
2009-06-30,214.5145,221.534,215.8871,215.8871,296680,215.8871
2009-07-01,215.8871,225.8778,215.8871,217.1902,515600,217.1902
2009-07-02,217.1902,222.4028,217.1902,222.4028,164097,222.4028
2009-07-03,222.4028,221.534,217.6333,221.534,55402,221.534
2009-07-06,221.534,225.8778,217.1902,222.6808,432347,222.6808
2009-07-07,227.1809,227.1809,221.534,225.8778,277679,225.8778
2009-07-08,225.009,224.1403,208.5895,217.1902,164335,217.1902
2009-07-09,217.1902,221.534,216.3214,216.3214,96068,216.3214
2009-07-10,216.3215,216.3214,212.8464,212.8551,197374,212.8551
2009-07-13,212.8551,217.1902,212.8464,217.1902,463217,217.1902
2009-07-14,217.1902,217.1902,212.8464,217.1815,733293,217.1815
2009-07-15,217.1815,217.1902,213.7152,213.7152,72163,213.7152
2009-07-17,213.7151,217.1902,213.7152,216.7558,176671,216.7558
2009-07-20,216.7558,216.3214,213.7152,215.4527,114644,215.4527
2009-07-21,215.4526,217.1902,215.0183,217.1641,889310,217.1641
2009-07-22,217.1642,217.1902,212.8551,215.4527,1972240,215.4527
2009-07-23,217.1033,217.1033,215.0183,216.3214,61174,216.3214
2009-07-24,216.3214,217.1815,215.4527,217.1815,227378,217.1815
