date,open,high,low,close,volume,adj_close
2009-06-03,3150,3150,3100,3150,15455,3150
2009-06-04,3150,3250,3150,3250,21386,3250
2009-06-05,3250,3450,3300,3400,37445,3400
2009-06-08,3400,3440,3400,3410,11076,3410
2009-06-09,3410,3420,3400,3400,2523,3400
2009-06-10,3400,3400,3400,3400,2980,3400
2009-06-11,3400,3400,3399,3400,14412,3400
2009-06-12,3400,3400,3400,3400,11940,3400
2009-06-15,3400,3375,3375,3375,296,3375
2009-06-16,3375,3375,3364,3370,8956,3370
2009-06-17,3370,3380,3350,3350,6664,3350
2009-06-18,3350,3450,3370,3370,10843,3370
2009-06-19,3370,3400,3370,3398,12328,3398
2009-06-22,3398,3370,3370,3370,575,3370
2009-06-23,3370,3360,3360,3360,4000,3360
2009-06-24,3360,3360,3360,3360,12892,3360
2009-06-25,3360,3360,3360,3360,859,3360
2009-06-26,3360,3360,3360,3360,5407,3360
2009-06-30,3360,3340,3310,3310,3000,3310
2009-07-01,3310,3300,3000,3089.3,31236,3089.3
2009-07-06,3089.3,3100,3100,3100,7665,3100
2009-07-07,3100,3125,3121,3121,6241,3121
2009-07-08,3121,3131,3120,3120,7485,3120
2009-07-13,3120,3200,3120,3200,10880,3200
2009-07-14,3200,3250,3200,3250,165265,3250
2009-07-15,3250,3300,3255,3299,38301,3299
2009-07-20,3299,3300,3300,3300,2500,3300
2009-07-21,3300,3300,3300,3300,4500,3300
2009-07-22,3300,3300,3300,3300,3000,3300
2009-07-23,3300,3300,3100,3300,69365,3300
2009-07-24,3300,3295,3250,3250,9435,3250
2009-07-28,3250,3300,3299,3299.9,3850,3299.9
2009-07-29,3299.9,3300,3300,3300,1240,3300
2009-07-30,3300,3300,3285,3300,180715,3300
2009-07-31,3300,3300,3300,3300,285,3300
2009-08-03,3300,3275,3250,3250,12552,3250
2009-08-04,3250,3250,3250,3250,761,3250
2009-08-05,3250,3239.9,3238,3238,2385,3238
2009-08-06,3238,3200,3200,3200,3738,3200
2009-08-07,3200,3200,3200,3200,540,3200
2009-08-10,3200,3200,3200,3200,1446,3200
2009-08-11,3200,3200,3200,3200,90,3200
2009-08-13,3200,3190,3185,3190,3100,3190
2009-08-14,3190,3190,3190,3190,3119,3190
2009-08-17,3190,3185,3185,3185,200,3185
2009-08-18,3185,3190,3180,3185,3455,3185
2009-08-19,3185,3200,3190,3200,2593,3200
2009-08-20,3200,3190,3185,3185,7100,3185
2009-08-21,3185,3185,3170,3170,6625,3170
2009-08-24,3170,3100,3100,3100,2986,3100
2009-08-25,3100,3100,3100,3100,100,3100
2009-08-26,3100,3100,3100,3100,3404,3100
2009-08-27,3100,3100,3100,3100,3000,3100
2009-09-01,3100,3050,3050,3050,2000,3050
2009-09-03,3050,3100,3100,3100,6630,3100
2009-09-04,3100,3100,3099.9,3100,71600,3100
2009-09-07,3100,3100,3090,3090,4900,3090
2009-09-08,3090,3080,3080,3080,1629,3080
2009-09-09,3080,3080,3080,3080,3020,3080
2009-09-10,3080,3081,3080,3080,2929,3080
2009-09-11,3080,3080,3080,3080,1040,3080
2009-09-14,3080,3080,3080,3080,3000,3080
2009-09-15,3080,3080,3040,3040,110263,3040
2009-09-16,3040,3050,3050,3050,13050,3050
2009-09-17,3050,3050,3050,3050,680,3050
2009-09-21,3050,3050,3050,3050,5150,3050
2009-09-23,3050,3050,3050,3050,1192,3050
2009-09-24,3050,3055,3050,3050,5000,3050
2009-09-25,3050,3060,3060,3060,1600,3060
2009-09-28,3060,3060,3060,3060,1400,3060
2009-09-29,3060,3060,3050,3050,13753,3050
2009-09-30,3050,3060,3050,3060,2726,3060
2009-10-01,3060,3061,3060,3060,8605,3060
2009-10-02,3060,3070,3055,3070,14654,3070
2009-10-05,3070,3100,3070,3100,11194,3100
2009-10-06,3100,3094,3090,3090,3683,3090
2009-10-08,3090,3090,3075,3075,16685,3075
2009-10-09,3075,3200,3075,3200,11586,3200
2009-10-14,3200,3160,3155,3160,130873,3160
2009-10-16,3160,3160,3154,3154,7801,3154
2009-10-19,3154,3145,3139,3139,6300,3139
2009-10-20,3139,3039,3039,3039,4326,3039
2009-10-21,3039,3040,3039,3039,438,3039
2009-10-23,3039,3050,3039,3050,2729,3050
2009-10-26,3050,3055,3050,3050,10919,3050
2009-10-27,3050,3045,3000,3000,8770,3000
2009-10-29,3000,3000,2975,2999.9,8269,2999.9
2009-10-30,2999.9,2970,2970,2970,145,2970
2009-11-02,2970,3000,2990,2990,7500,2990
2009-11-03,2990,2990,2950,2990,6191,2990
2009-11-04,2990,2990,2990,2990,111,2990
2009-11-05,2990,2979,2979,2978.3,600,2978.3
2009-11-06,2978.3,2970,2970,2970,3400,2970
2009-11-09,2970,2950,2950,2950,2945,2950
2009-11-10,2950,2966,2950,2950,3637,2950
2009-11-11,2950,2970,2970,2970,3026,2970
2009-11-12,2970,2970,2970,2970,397,2970
2009-11-13,2970,3000,2970,2970,1024,2970
2009-11-16,2970,2970,2970,2970,505,2970
2009-11-17,2970,2970,2940,2940,2120,2940
2009-11-18,2940,2970,2970,2970,150,2970
2009-11-20,2970,2970,2970,2970,3260,2970
2009-11-23,2970,3000,2970,2970,4499,2970
2009-11-24,2970,2940,2940,2940,627,2940
2009-11-25,2940,2940,2940,2940,1700,2940
2009-11-26,2940,2940,2780,2780,6470,2780
2009-11-30,2780,2980,2980,2980,150,2980
2009-12-01,2980,2980,2980,2980,1262,2980
2009-12-02,2980,2970,2970,2970,1806,2970
2009-12-03,2970,2990,2990,2990,3120,2990
2009-12-04,2990,2990,2980,2980,4243,2980
2009-12-07,2980,2980,2980,2980,6643,2980
2009-12-09,2980,2981,2980,2980,18016,2980
2009-12-10,2980,2980,2970,2970,11572,2970
2009-12-11,2970,3050,3040,3050,7000,3050
2009-12-14,3050,3050,3000,3000,4586,3000
2009-12-15,3000,3000,2970,2970,12165,2970
2009-12-16,2970,3000,2980,2980,16510,2980
2009-12-17,2980,2980,2980,2980,13970,2980
2009-12-18,2980,3050,3000,3050,76239,3050
2009-12-21,3050,3050,3050,3050,6154,3050
2009-12-22,3050,3100,3050,3100,52184,3100
2009-12-23,3100,3100,3099,3100,20735,3100
2009-12-24,3100,3130,3130,3130,2100,3130
2009-12-28,3130,3140,3135,3140,1910,3140
2009-12-29,3140,3150,3100,3110,42439,3110
2009-12-30,3110,3130,3100,3100,3364,3100
2010-01-04,3100,3105,3090,3100,36881,3100
2010-01-05,3100,3100,3090,3090,11003,3090
2010-01-06,3090,3150,3140,3140,2288,3140
2010-01-07,3140,3175,3096,3100,24759,3100
2010-01-08,3100,3102,3100,3100,19600,3100
2010-01-11,3100,3125,3125,3125,17300,3125
2010-01-12,3125,3150,3110,3140,7012,3140
2010-01-13,3140,3140,3115,3140,165702,3140
2010-01-14,3140,3140,3139,3139,10935,3139
2010-01-15,3139,3090,3060,3060,2124,3060
2010-01-18,3060,3070,3050,3069.9,2505,3069.9
2010-01-19,3069.9,3050,2950,2951.7,70667,2951.7
2010-01-20,2951.7,3001,3000,3000,96272,3000
2010-01-21,3000,3049,3000,3000,16542,3000
2010-01-22,3000,3000,3000,3000,11260,3000
2010-01-25,3000,3000,2990,3000,50866,3000
2010-01-26,3000,3000,2990,3000,41557,3000
2010-01-27,3000,3000,2990,3000,16812,3000
2010-01-28,3000,2980,2970,2980,14707,2980
2010-01-29,2980,2975,2975,2975,15000,2975
2010-02-01,2975,3000,2980,2980,6906,2980
2010-02-02,2980,3000,2980,2990,12999,2990
2010-02-03,2990,2990,2990,2990,12163,2990
2010-02-04,2990,2989,2952,2952,4159,2952
2010-02-05,2952,2952,2940,2940,94694,2940
2010-02-08,2940,2945,2930,2945,106700,2945
2010-02-09,2945,2950,2950,2950,2650,2950
2010-02-10,2950,2960,2950,2950,10800,2950
2010-02-12,2950,2975,2950,2975,26096,2975
2010-02-16,2975,2990,2970,2990,8482,2990
2010-02-17,2990,2980,2980,2980,11505,2980
2010-02-18,2980,2980,2969.9,2969.9,8233,2969.9
2010-02-19,2969.9,2960,2960,2960,1260,2960
2010-02-22,2960,2971,2965,2965,8975,2965
