date,open,high,low,close,volume,adj_close
2013-04-17,79.32,79.32,79.32,79.32,150,79.32
2013-04-18,79.32,82.91,82.91,82.91,150,82.91
2013-04-29,82.91,82.77,82.77,82.77,48,82.77
2013-05-22,82.77,83.36,83.36,83.36,48,83.36
2013-05-30,83.36,81,81,81,182,81
2013-06-24,81,79.82,79.82,79.82,182,79.82
2014-02-13,79.82,79.82,79.82,79.82,218,79.82
2014-02-26,79.82,78.97,78.97,78.97,113,78.97
2014-03-13,78.97,81.7,81.7,81.7,331,81.7
2014-03-18,81.7,82,82,82,272,82
2014-05-22,82,85.65,85.65,85.65,116,85.65
2014-07-31,85.65,88.68,88.68,88.68,272,88.68
2014-08-11,88.68,91.26,91.26,91.26,325,91.26
2014-08-13,91.26,91.65,91.65,91.65,100,91.65
2014-08-18,91.65,92.25,92.25,92.25,160,92.25
2014-10-01,92.25,92.6,92.6,92.6,325,92.6
2014-10-20,92.6,93.38,93.38,93.38,299,93.38
2014-10-24,93.38,94.47,94.47,94.47,299,94.47
2014-10-28,94.47,94.69,94.69,94.69,358,94.69
2014-11-28,94.69,99.94,99.94,99.94,100,99.94
2015-01-28,99.94,96.61,96.61,96.61,358,96.61
2015-03-16,96.61,95,95,95,116,95
2015-06-15,95,93.2,93.2,93.2,580,93.2
2015-07-13,93.2,97.17,97.17,97.17,580,97.17
2015-08-25,97.17,92.64,92.64,92.64,610,92.64
2015-10-06,92.64,97.5,97.5,97.5,610,97.5
2016-03-15,97.5,101.37,101.37,101.37,160,101.37
2017-09-25,101.37,111.82,111.82,111.82,695,111.82
2017-09-27,111.82,111.79,111.79,111.79,1240,111.79
2017-10-02,111.79,109.6,109.6,109.6,2720,109.6
2017-10-13,109.6,112.7,112.7,112.7,2720,112.7
2017-11-14,112.7,115,115,115,1935,115
2018-02-06,115,112.5,112.5,112.5,18,112.5
2019-03-05,112.5,116.56,116.56,116.56,1,116.56
2020-01-28,116.56,142.71,142.71,116.56,18,116.56
2020-02-19,116.56,145.95,145.95,116.56,34,116.56
2020-02-20,116.56,145.09,145.09,116.56,10,116.56
2020-03-16,116.56,122.6,122.6,116.56,10,116.56
2020-04-24,116.56,131.7,131.7,116.56,8,116.56
2020-07-10,116.56,133.86,133.72,133.85,112,133.85
2020-08-04,133.85,137.16,137.16,133.85,40,133.85
2020-08-18,133.85,138,138,133.85,45,133.85
2020-08-21,133.85,136.4,136.4,133.85,40,133.85
2020-08-26,133.85,138.35,138.35,133.85,44,133.85
2020-08-27,133.85,139.2,138.1,133.85,23,133.85
2020-09-28,133.85,137.46,137.46,137.46,10,137.46
2020-12-07,133.85,145.06,145.06,145.06,34,145.06
2020-12-21,133.85,144.9,144.9,133.85,10,133.85
