date,open,high,low,close,volume,adj_close
2012-05-24,21.96,21.96,21.96,21.96,100,21.96
2012-05-31,21.96,22.07,22.07,22.07,450,22.07
2012-06-07,22.07,22.09,22.09,22.09,100,22.09
2012-06-20,22.09,22.7,22.7,22.7,450,22.7
2012-08-31,22.7,23.89,23.8,23.8,820,23.8
2012-09-21,23.8,24.6,24.6,24.6,252,24.6
2012-09-25,24.6,24.99,24.99,24.99,568,24.99
2012-09-27,24.99,24.97,24.97,24.97,200,24.97
2012-10-01,24.97,25.14,25.14,25.14,403,25.14
2012-10-31,25.14,24.97,24.97,24.97,408,24.97
2012-11-08,24.97,24.25,24.2,24.25,1779,24.25
2012-12-11,24.25,25.6,25.6,25.6,387,25.6
2013-01-02,25.6,25.44,25.44,25.44,1050,25.44
2013-01-07,25.44,25.9,25.9,25.9,948,25.9
2013-01-15,25.9,26.55,26.55,26.55,2072,26.55
2013-01-16,26.55,26.57,26.57,26.57,110,26.57
2013-02-04,26.57,27.33,27.33,27.33,200,27.33
2013-02-06,27.33,27.39,27.39,27.39,108,27.39
2013-02-07,27.39,27,27,27,370,27
2013-03-05,27,27.8,27.8,27.8,370,27.8
2013-03-06,27.8,28.01,28.01,28.01,274,28.01
2013-03-14,28.01,28.09,28.01,28.09,1152,28.09
2013-03-20,28.09,28.22,28.22,28.22,350,28.22
2013-04-01,28.22,28.75,28.72,28.75,663,28.75
2013-04-18,28.75,30.81,30.81,30.81,108,30.81
2013-04-26,30.81,29.92,29.92,29.92,174,29.92
2013-05-14,29.92,29.45,29.45,29.45,579,29.45
2013-05-15,29.45,29.47,29.47,29.47,322,29.47
2013-05-23,29.47,29.11,29.07,29.11,989,29.11
2013-05-28,29.11,29.44,29.19,29.3,2379,29.3
2013-05-31,29.3,27.74,27.5,27.5,904,27.5
2013-06-03,27.5,28,28,28,45,28
2013-06-05,28,27.63,27.63,27.63,180,27.63
2013-06-06,27.63,27.44,27.44,27.44,364,27.44
2013-06-07,27.44,28.5,28.5,28.5,364,28.5
2013-06-13,28.5,28.78,28.78,28.78,1050,28.78
2013-06-14,28.78,29.15,29.15,29.15,180,29.15
2013-06-20,29.15,28.74,28.74,28.74,182,28.74
2013-06-27,28.74,28.49,28.49,28.49,489,28.49
2013-07-05,28.49,27.92,27.87,27.87,727,27.87
2013-07-11,27.87,28.95,28.8,28.86,786,28.86
2013-07-12,28.86,29.6,28.61,28.61,526,28.61
2013-07-17,28.61,28.79,28.78,28.79,552,28.79
2013-08-02,28.79,29.3,29.3,29.3,339,29.3
2013-08-21,29.3,28.38,28.38,28.38,1338,28.38
2013-08-22,28.38,28.19,28.19,28.19,948,28.19
2013-09-10,28.19,28.4,28.4,28.4,214,28.4
2013-10-02,28.4,28.71,28.71,28.71,177,28.71
2013-10-24,28.71,30.75,30.75,30.75,350,30.75
2013-10-25,30.75,30.63,30.63,30.63,282,30.63
2013-11-15,30.63,31.8,31.8,31.8,364,31.8
2013-11-25,31.8,32.38,32.38,32.38,182,32.38
2013-11-26,32.38,32.17,32.17,32.17,275,32.17
2013-11-27,32.17,31.97,31.83,31.83,2748,31.83
2013-12-16,31.83,30.35,30.35,30.35,1183,30.35
2013-12-19,30.35,30.99,30.99,30.99,1183,30.99
2013-12-27,30.99,30.59,30.59,30.59,326,30.59
2014-01-07,30.59,30.98,30.93,30.93,1203,30.93
2014-01-15,30.93,31.26,31.17,31.17,739,31.17
2014-01-23,31.17,31.18,31.11,31.11,373,31.11
2014-02-04,31.11,31.32,31.32,31.32,1203,31.32
2014-03-14,31.32,31.18,31.18,31.18,408,31.18
2014-04-21,31.18,30.79,30.56,30.64,567,30.64
2014-04-23,30.64,30.88,30.88,30.88,730,30.88
2014-04-28,30.88,31.65,31.65,31.65,1338,31.65
2014-04-29,31.65,31.55,31.55,31.55,326,31.55
2014-05-22,31.55,29.76,29.76,29.76,350,29.76
2014-06-10,29.76,29.36,29.36,29.36,730,29.36
2014-07-07,29.36,30.43,30.43,30.43,339,30.43
2014-07-10,30.43,29.9,29.9,29.9,390,29.9
2014-07-31,29.9,28.86,28.86,28.86,861,28.86
2014-08-26,28.86,29.08,29.05,29.08,861,29.08
2014-09-25,29.08,30.02,30.02,30.02,390,30.02
2014-09-29,30.02,29.74,29.74,29.74,54,29.74
2014-12-23,29.74,31.32,31.32,31.32,579,31.32
2015-01-06,31.32,31.28,31.28,31.28,57,31.28
2015-01-13,31.28,32.97,32.97,32.97,151,32.97
2015-01-23,32.97,32.65,32.65,32.65,910,32.65
2015-01-27,32.65,33.1,33.1,33.1,242,33.1
2015-02-09,33.1,33.21,33.21,33.21,120,33.21
2015-02-11,33.21,34,34,34,242,34
2015-02-12,34,34.44,34.44,34.44,910,34.44
2015-02-13,34.44,34.84,34.84,34.84,120,34.84
2015-03-16,34.84,34.37,34.37,34.37,350,34.37
2015-03-24,34.37,34.89,34.89,34.89,50,34.89
2015-04-23,34.89,35.34,35.34,35.34,390,35.34
2015-06-01,35.34,35.35,35.35,35.35,47,35.35
2015-06-02,35.35,34.59,34.59,34.59,84,34.59
2015-07-08,34.59,33.65,33.65,33.65,296,33.65
2015-07-21,33.65,34.99,34.99,34.99,540,34.99
2015-07-24,34.99,34.3,34.3,34.3,47,34.3
2015-08-28,34.3,32.95,32.95,32.95,300,32.95
2015-08-31,32.95,32.2,32.2,32.2,240,32.2
2015-09-01,32.2,31.67,31.67,31.67,100,31.67
2015-09-04,31.67,32,32,32,90,32
2015-09-15,32,33.03,33.03,33.03,75,33.03
2015-10-05,33.03,33.6,33.6,33.6,240,33.6
2015-10-22,33.6,33.07,33.07,33.07,360,33.07
2015-10-23,33.07,33.89,33.89,33.89,175,33.89
2015-11-02,33.89,34.98,34.98,34.98,550,34.98
2015-11-09,34.98,33.5,33.5,33.5,1200,33.5
2015-11-10,33.5,33.55,33.55,33.55,90,33.55
2015-11-17,33.55,33.24,33.24,33.24,150,33.24
2015-11-27,33.24,32.95,32.95,32.95,19,32.95
2015-12-11,32.95,32,32,32,300,32
2015-12-14,32,31.96,31.96,31.96,120,31.96
2016-01-08,31.96,31.46,31.46,31.46,50,31.46
2016-02-17,31.46,29.91,29.91,29.91,525,29.91
2016-03-10,29.91,29.83,29.83,29.83,695,29.83
2016-03-14,29.83,30.28,30.28,30.28,161,30.28
2016-03-22,30.28,30.5,30.5,30.5,689,30.5
2016-04-12,30.5,31.83,31.83,31.83,40,31.83
2016-04-13,31.83,32.21,32.21,32.21,100,32.21
2016-05-03,32.21,33.95,33.94,33.94,420,33.94
2016-05-04,33.94,33.8,33.8,33.8,695,33.8
2016-05-17,33.8,33.02,33.02,33.02,115,33.02
2016-05-20,33.02,33.78,33.78,33.78,689,33.78
2016-05-27,33.78,34.67,34.64,34.67,279,34.67
2016-06-17,34.67,34.36,34.36,34.36,146,34.36
2016-07-01,34.36,35.57,35.57,35.57,35,35.57
2016-07-21,35.57,36.6,36.6,36.6,300,36.6
2016-08-24,36.6,35.36,35.16,35.16,1105,35.16
2016-08-25,35.16,35.17,35.1,35.17,586,35.17
2016-08-26,35.17,35.06,34.85,34.93,1152,34.93
2016-08-30,34.93,34.96,34.93,34.93,1062,34.93
2016-09-02,34.93,34.68,34.68,34.68,79,34.68
2016-09-08,34.68,34.69,34.69,34.69,860,34.69
2016-09-09,34.69,34.37,34.37,34.37,72,34.37
2016-09-13,34.37,34.01,34.01,34.01,115,34.01
2016-09-21,34.01,33.92,33.92,33.92,58,33.92
2016-09-26,33.92,33.73,33.73,33.73,82,33.73
2016-10-18,33.73,32.79,32.79,32.79,483,32.79
2016-10-20,32.79,32.66,32.56,32.66,1081,32.66
2016-10-24,32.66,32.2,32.2,32.2,265,32.2
2016-10-26,32.2,32.38,32.27,32.38,379,32.38
2016-12-07,32.38,30.92,30.92,30.92,1700,30.92
2016-12-12,30.92,32.5,32.48,32.48,200,32.48
2016-12-15,32.48,32.78,32.78,32.78,50,32.78
2016-12-16,32.78,32.65,32.65,32.65,860,32.65
2017-02-23,32.65,34.03,33.87,34.03,656,34.03
2017-03-14,34.03,34.2,34.2,34.2,1700,34.2
2017-04-10,34.2,34.15,34.08,34.13,2543,34.13
2017-05-09,34.13,33.47,33.47,33.47,195,33.47
2017-05-26,33.47,32.22,32.22,32.22,3200,32.22
2017-07-07,32.22,33.2,33.2,33.2,50,33.2
2017-07-17,33.2,33.39,33.39,33.39,100,33.39
2017-07-18,33.39,33.31,33.31,33.31,1040,33.31
2017-07-20,33.31,33.54,33.54,33.54,150,33.54
2017-08-01,33.54,33.13,33.13,33.13,213,33.13
2017-08-04,33.13,33.69,33.69,33.69,61,33.69
2017-08-10,33.69,33.44,33.44,33.44,200,33.44
2017-09-05,33.44,33.85,33.85,33.85,54,33.85
2017-09-20,33.85,35.87,35.87,35.87,715,35.87
2017-10-05,35.87,35.85,35.85,35.85,58,35.85
2017-10-10,35.85,36.1,36.1,36.1,75,36.1
2017-10-19,36.1,35.92,35.92,35.92,112,35.92
2017-12-19,35.92,37.11,37.11,37.11,81,37.11
2018-01-10,37.11,36.33,36.33,36.33,72,36.33
2018-01-17,36.33,36.97,36.97,36.97,100,36.97
2018-02-06,36.97,34.9,34.9,34.9,100,34.9
2018-02-16,34.9,36.19,36.19,36.19,150,36.19
2018-02-22,36.19,35.95,35.95,35.95,50,35.95
2018-03-08,35.95,36.15,36.15,36.15,25,36.15
2018-03-09,36.15,36.63,36.63,36.63,79,36.63
2018-03-22,36.63,35.98,35.98,35.98,300,35.98
2018-06-21,35.98,36.25,36.25,36.25,115,36.25
2018-06-29,36.25,36.65,36.65,36.65,50,36.65
2018-08-31,36.65,41.37,41.37,41.37,428,41.37
2018-09-04,41.37,41.45,41.27,41.32,2115,41.32
2018-09-13,41.32,42.56,42.56,42.56,112,42.56
2019-02-22,42.56,43.12,43.12,43.12,2000,43.12
2019-03-27,43.12,41.7,41.7,41.7,146,41.7
2019-04-24,41.7,39.43,39.43,39.43,2000,39.43
2019-06-04,39.43,42.37,42.37,42.37,50,42.37
2019-08-02,42.37,38.09,38.09,38.09,150,38.09
2019-08-29,38.09,35.48,35.48,35.48,846,35.48
2019-11-04,35.48,38.41,38.41,35.48,82,35.48
2019-11-27,35.48,38.39,38.39,35.48,27,35.48
2019-12-06,35.48,38.3,38.3,38.3,296,38.3
2020-01-22,38.3,40.37,40.37,40.37,256,40.37
2020-02-04,40.37,38.03,38.03,40.37,48,40.37
2020-02-19,40.37,36.45,36.45,40.37,27,40.37
2020-02-25,40.37,34.51,34.51,34.51,500,34.51
2020-03-02,34.51,33.85,33.85,33.85,1700,33.85
2020-03-13,33.85,31.03,31.03,33.85,65,33.85
2020-03-19,33.85,31.08,31.08,31.08,1700,31.08
2020-03-24,31.08,29.25,29.25,31.08,10,31.08
2020-03-30,31.08,31.2,31.2,31.08,27,31.08
2020-04-23,31.08,37.4,37.4,37.4,532,37.4
2020-04-24,37.4,37.06,37.06,37.06,500,37.06
2020-04-30,37.06,37.8,37.8,37.06,6,37.06
2020-05-06,37.06,38.8,38.8,37.06,40,37.06
2020-05-20,37.06,37.96,37.96,37.96,1060,37.96
2020-06-01,37.96,35,35,35,250,35
2020-06-17,35,33.7,33.7,33.7,250,33.7
2020-06-22,33.7,33.11,33.11,33.7,30,33.7
2020-07-01,33.7,34.44,34.44,34.44,725,34.44
2020-07-02,34.44,34.66,34.48,34.66,585,34.66
2020-07-09,34.66,33.44,33.44,33.44,540,33.44
2020-07-14,33.44,35.29,35.14,35.2,354,35.2
2020-07-24,35.2,37.43,37.43,35.2,187,35.2
2020-07-28,35.2,38.12,38.12,35.2,64,35.2
2020-07-29,35.2,38.82,38.82,38.82,200,38.82
2020-08-04,38.82,38.38,38.38,38.82,100,38.82
2020-08-13,38.82,38,38,38.82,160,38.82
2020-08-19,38.82,38.51,38.51,38.82,113,38.82
2020-08-25,38.82,38.19,38.19,38.82,29,38.82
2020-08-26,38.82,37.9,37.9,37.9,300,37.9
2020-09-08,37.9,36.07,36.07,36.07,2817,36.07
2020-09-09,36.07,36.51,36.51,36.51,2411,36.51
2020-09-10,36.51,35.99,35.99,36.51,100,36.51
2020-09-28,36.51,36.43,36.43,36.43,170,36.43
2020-09-29,36.51,36.48,36.48,36.48,347,36.48
2020-10-01,36.48,36.45,36.45,36.45,52,36.45
2020-10-02,36.48,36.2,36.2,36.2,52,36.2
2020-10-22,36.48,37.07,37.07,36.48,84,36.48
2020-10-23,36.48,38,38,36.48,140,36.48
2020-10-26,36.48,38,37.61,37.66,460,37.66
2020-10-27,37.66,37.41,37.41,37.66,133,37.66
2020-10-28,37.66,36.84,36.84,37.66,10,37.66
2020-11-02,37.66,35.81,35.81,37.66,138,37.66
2020-11-04,37.66,38.1,38.1,37.66,40,37.66
2020-11-09,37.66,40.35,38.93,40.03,669,40.03
2020-11-10,40.03,40.56,38.83,38.83,1590,38.83
2020-11-11,38.83,38.1,38.1,38.1,256,38.1
2020-11-12,38.1,38.33,37.54,37.54,580,37.54
2020-11-13,37.54,38.39,38.39,38.39,5029,38.39
2020-11-16,38.39,37.17,37.17,37.17,945,37.17
2020-11-20,37.17,36.85,36.75,37.17,183,37.17
2020-11-25,37.17,36.51,36.51,37.17,27,37.17
2020-11-27,37.17,37.3,37.3,37.17,26,37.17
2020-11-30,37.17,38.41,38.41,38.41,260,38.41
2020-12-01,38.41,40.11,39.3,40.11,1256,40.11
2020-12-02,40.11,40.8,40.8,40.11,61,40.11
2020-12-03,40.11,40.68,40.66,40.66,1691,40.66
2020-12-04,40.66,40.37,40.18,40.66,142,40.66
2020-12-14,40.66,41.55,40.95,41,479,41
2020-12-15,41.03,39.1,39.1,39.1,96,39.1
2020-12-17,41.03,37.84,37.49,37.49,265,37.49
2020-12-22,37.79,37.35,37.35,37.35,40,37.35
2021-01-15,37.79,36.84,36.84,36.84,272,36.84
2021-01-29,36.84,36.5,36.5,36.5,1346,36.5
2021-02-12,36.5,34.88,34.88,34.88,2870,34.88
2021-02-16,34.88,34.78,34.78,34.78,430,34.78
2021-03-23,34.78,35.61,35.61,34.78,35,34.78
2021-03-26,34.78,35.84,35.84,35.84,256,35.84
2021-05-04,35.84,40.2,40.01,40.2,861,40.2
2021-05-05,40.2,40.71,40.65,40.67,323,40.67
2021-05-06,40.67,38.51,38.51,40.67,85,40.67
2021-05-13,40.67,40.2,40.01,40.18,459,40.18
2021-05-18,40.18,39.89,39.89,40.18,166,40.18
2021-05-19,40.18,39.8,39.8,40.18,30,40.18
2021-05-24,40.18,39.86,39.86,39.86,271,39.86
2021-05-25,39.86,39.5,39.5,39.5,1447,39.5
2021-06-09,39.5,39.53,39.53,39.53,900,39.53
2021-06-10,39.53,40.5,40.5,39.53,120,39.53
