date,open,high,low,close,volume,adj_close
2020-12-02,30955,31146,30740,30955,319,30955
2020-12-03,30955,30760,30755,30955,5,30955
2020-12-04,30955,30290,30290,30955,100,30955
2020-12-08,30955,30754,30754,30955,106,30955
2020-12-11,30955,30353,30350,30353,55,30353
2020-12-14,30337,29412,29412,30337,20,30337
2020-12-15,30337,28998,28998,30337,10,30337
2020-12-16,30337,28100,27984,28100,151,28100
2020-12-17,30337,27460,27408,30337,6,30337
2020-12-18,30337,27759,27512,30337,22,30337
2020-12-21,30337,27639,27283,30337,67,30337
2020-12-23,30337,27065,26825,30337,30,30337
2020-12-24,30337,26582,26582,30337,10,30337
2020-12-28,30337,26780,26755,30337,24,30337
2020-12-29,30337,26442,26004,30337,160,30337
2020-12-30,30337,26638,26580,30337,49,30337
2021-01-05,30337,26000,26000,30337,5,30337
2021-01-11,30337,26953,26765,26953,183,26953
2021-01-12,30337,27486,27486,30337,2,30337
2021-01-13,30337,27640,27640,30337,15,30337
2021-01-14,30337,27015,27011,27011,32,27011
2021-01-15,30337,27188,27188,30337,1,30337
2021-01-25,30337,26901,26901,26901,300,26901
2021-01-28,26901,26827,26827,26901,7,26901
2021-01-29,26901,26937,26937,26901,4,26901
2021-02-01,26901,26552,26552,26901,20,26901
2021-02-03,26901,25850,25750,26901,28,26901
2021-02-04,26901,25830,25830,26901,2,26901
2021-02-17,26901,25139,25050,25139,140,25139
2021-02-18,26901,24862,24862,24862,119,24862
