date,open,high,low,close,volume,adj_close
2012-05-24,62.26,62.26,62.26,62.26,100,62.26
2012-06-07,62.26,62.17,62.17,62.17,100,62.17
2012-06-21,62.17,60.32,60.32,60.32,159,60.32
2012-07-12,60.32,64.16,64.16,64.16,159,64.16
2012-08-10,64.16,66.65,66.65,66.65,145,66.65
2012-09-28,66.65,68.75,68.75,68.75,73,68.75
2012-10-16,68.75,69,69,69,145,69
2013-02-08,69,76.46,76.46,76.46,142,76.46
2013-02-27,76.46,75.97,75.97,75.97,73,75.97
2013-04-29,75.97,77.61,77.61,77.61,64,77.61
2013-05-09,77.61,78.58,78.58,78.58,64,78.58
2013-07-09,78.58,79.76,79.76,79.76,62,79.76
2013-07-17,79.76,80.36,80.36,80.36,98,80.36
2013-10-25,80.36,79.54,79.54,79.54,109,79.54
2013-11-20,79.54,84.37,84.37,84.37,179,84.37
2013-11-21,84.37,84.57,84.57,84.57,128,84.57
2013-11-26,84.57,85.55,85.55,85.55,98,85.55
2014-01-15,85.55,80.85,80.85,80.85,15,80.85
2014-02-13,80.85,77.34,77.34,77.34,226,77.34
2014-02-26,77.34,78.05,78.05,78.05,115,78.05
2014-03-13,78.05,79.27,79.27,79.27,341,79.27
2014-10-28,79.27,86.39,86.39,86.39,393,86.39
2015-01-28,86.39,85.85,85.85,85.85,393,85.85
2015-03-10,85.85,81.96,81.96,81.96,119,81.96
2015-03-11,81.96,81.25,81.25,81.25,62,81.25
2015-03-24,81.25,84.7,84.7,84.7,179,84.7
2015-06-30,84.7,78.69,78.69,78.69,25,78.69
2015-07-30,78.69,77.78,77.78,77.78,25,77.78
2017-03-06,77.78,90.32,90.32,90.32,15,90.32
2019-02-20,90.32,99.35,99.35,99.35,100,99.35
2019-03-14,99.35,103.56,103.56,103.56,3,103.56
2019-08-09,103.56,116.71,116.71,116.71,10,116.71
2019-08-20,116.71,119.18,119.18,119.18,8,119.18
2019-08-26,119.18,119.4,119.4,119.4,100,119.4
2019-09-11,119.4,120.31,120.31,120.31,8,120.31
2019-11-04,120.31,121.37,121.37,120.31,16,120.31
2019-11-19,120.31,121.9,121.9,121.9,521,121.9
2019-11-27,121.9,121.48,121.48,121.9,8,121.9
2020-01-08,121.9,122.39,122.39,121.9,8,121.9
2020-01-23,121.9,125.11,125.11,121.9,33,121.9
2020-03-20,121.9,108.8,108.8,108.8,271,108.8
2020-03-30,108.8,114.5,114.5,108.8,8,108.8
2020-03-31,108.8,110.4,110.4,108.8,5,108.8
2020-04-20,108.8,122.9,122.9,108.8,17,108.8
2020-04-23,108.8,119,119,119,167,119
2020-04-30,119,117.38,117.38,119,5,119
2020-09-14,119,138.78,138.78,119,25,119
2020-10-28,119,140.25,138.4,119,20,119
2020-12-14,119,137,137,137,39,137
2021-01-08,119,137.4,137.4,137.4,6,137.4
