date,open,high,low,close,volume,adj_close
2009-06-26,2000000,1750000,1750000,2000000,1,2000000
2009-07-01,2000000,1750000,1750000,2000000,2,2000000
2009-07-06,2000000,1800000,1800000,2000000,1,2000000
2009-07-07,2000000,1750000,1750000,1750000,4,1750000
2009-07-13,1750000,1900000,1900000,1750000,1,1750000
2009-07-14,1750000,1900000,1900000,1750000,2,1750000
2009-07-28,1750000,1850000,1850000,1750000,1,1750000
2009-07-29,1750000,1850000,1850000,1850000,5,1850000
2009-08-05,1850000,1800000,1750000,1850000,4,1850000
2009-08-06,1850000,1750000,1750000,1750000,8,1750000
2009-08-10,1750000,1750000,1750000,1750000,2,1750000
2009-08-13,1750000,1750000,1750000,1750000,4,1750000
2009-08-27,1750000,1790000,1790000,1750000,1,1750000
2009-08-28,1750000,1760000,1760000,1750000,1,1750000
2009-09-11,1750000,1750000,1750000,1750000,1,1750000
2009-09-24,1750000,1750000,1750000,1750000,1,1750000
2009-09-30,1750000,1750000,1750000,1750000,4,1750000
2009-10-19,1750000,1751000,1750000,1750000,2,1750000
2009-10-28,1750000,1760000,1760000,1750000,1,1750000
2009-11-04,1750000,1680000,1680000,1750000,1,1750000
2009-11-11,1750000,1740000,1740000,1750000,1,1750000
2009-11-18,1750000,1850000,1840000,1750000,4,1750000
2009-11-23,1750000,1850000,1850000,1750000,1,1750000
2009-11-30,1750000,1850000,1850000,1850000,4,1850000
2009-12-01,1850000,1850000,1850000,1850000,4,1850000
2009-12-11,1850000,1880000,1880000,1880000,4,1880000
2010-01-06,1880000,1905000,1905000,1880000,1,1880000
2010-01-22,1880000,1911000,1911000,1880000,1,1880000
2010-03-02,1880000,2000000,2000000,1880000,3,1880000
2010-03-15,1880000,2100000,2100000,1880000,2,1880000
2010-03-18,1880000,2060000,2060000,1880000,2,1880000
2010-03-19,1880000,2080000,2060000,2080000,11,2080000
2010-04-05,2080000,2015000,2015000,2080000,1,2080000
2010-04-13,2080000,2080000,2080000,2080000,1,2080000
2010-04-14,2080000,2081000,2081000,2080000,1,2080000
2010-05-05,2080000,2081000,2081000,2080000,1,2080000
2010-05-07,2080000,2080000,2080000,2080000,1,2080000
2010-05-13,2080000,2100000,2100000,2080000,3,2080000
2010-05-19,2080000,2100000,2100000,2080000,2,2080000
2010-06-03,2080000,2100000,2100000,2080000,2,2080000
2010-06-04,2080000,2050000,2050000,2050000,4,2050000
2010-06-09,2050000,2100000,2100000,2050000,2,2050000
2010-06-11,2050000,2100000,2100000,2100000,4,2100000
2010-06-15,2100000,2100000,2100000,2100000,1,2100000
2010-07-26,2100000,2100000,2100000,2100000,1,2100000
2010-07-29,2100000,2100000,2100000,2100000,2,2100000
2010-08-16,2100000,2900000,2900000,2900000,4,2900000
2010-08-19,2900000,2900000,2900000,2900000,4,2900000
2010-08-23,2900000,3100000,3100000,3100000,4,3100000
2010-08-24,3100000,3100000,3100000,3100000,4,3100000
2010-08-26,3100000,3100000,3100000,3100000,1,3100000
2010-09-10,3100000,3100000,3100000,3100000,1,3100000
2010-10-01,3100000,3000000,3000000,3000000,4,3000000
2010-10-12,3000000,3000000,3000000,3000000,1,3000000
2010-10-15,3000000,3000000,3000000,3000000,4,3000000
2010-10-28,3000000,3000000,3000000,3000000,4,3000000
2010-11-17,3000000,2800000,2800000,2800000,4,2800000
2010-12-06,2800000,3000000,3000000,3000000,4,3000000
2010-12-09,3000000,3000000,3000000,3000000,2,3000000
2010-12-20,3000000,3000000,3000000,3000000,1,3000000
2010-12-23,3000000,3000000,3000000,3000000,1,3000000
2010-12-27,3000000,3000000,3000000,3000000,1,3000000
2011-01-03,3000000,3000000,3000000,3000000,2,3000000
2011-01-07,3000000,3000000,3000000,3000000,2,3000000
2011-01-12,3000000,3000000,3000000,3000000,2,3000000
2011-01-17,3000000,3000000,3000000,3000000,1,3000000
2011-01-26,3000000,3000000,3000000,3000000,1,3000000
2011-02-03,3000000,3000000,3000000,3000000,1,3000000
2011-02-23,3000000,3000000,3000000,3000000,1,3000000
2011-03-03,3000000,3000000,3000000,3000000,4,3000000
2011-03-08,3000000,3000000,3000000,3000000,1,3000000
2011-03-09,3000000,3000000,3000000,3000000,2,3000000
2011-03-18,3000000,3000000,3000000,3000000,1,3000000
2011-03-23,3000000,3000000,3000000,3000000,1,3000000
2011-03-28,3000000,3000000,3000000,3000000,1,3000000
2011-04-06,3000000,3000000,3000000,3000000,3,3000000
2011-04-07,3000000,3000000,3000000,3000000,1,3000000
2011-04-08,3000000,3000000,3000000,3000000,4,3000000
2011-04-19,3000000,3000000,3000000,3000000,1,3000000
2011-04-20,3000000,3000000,3000000,3000000,1,3000000
2011-05-02,3000000,3000000,3000000,3000000,4,3000000
2011-05-06,3000000,3000000,3000000,3000000,4,3000000
2011-05-10,3000000,3000000,3000000,3000000,1,3000000
2011-05-11,3000000,3000000,3000000,3000000,4,3000000
2011-05-16,3000000,3000000,3000000,3000000,1,3000000
2011-05-23,3000000,3000000,3000000,3000000,3,3000000
2011-05-26,3000000,3000000,3000000,3000000,1,3000000
2011-05-27,3000000,3000000,3000000,3000000,3,3000000
2011-06-01,3000000,3000000,3000000,3000000,1,3000000
2011-06-10,3000000,3000000,3000000,3000000,5,3000000
2011-06-16,3000000,3000000,3000000,3000000,1,3000000
2011-07-01,3000000,3000000,3000000,3000000,4,3000000
2011-07-05,3000000,3000000,3000000,3000000,8,3000000
2011-07-06,3000000,3000000,3000000,3000000,1,3000000
2011-07-11,3000000,3000000,3000000,3000000,4,3000000
2011-09-22,3000000,2935000,2935000,2935000,6,2935000
2011-09-27,2935000,2935000,2935000,2935000,1,2935000
2011-09-29,2935000,2935000,2935000,2935000,1,2935000
2011-09-30,2935000,2935000,2935000,2935000,2,2935000
2011-10-18,2935000,2935000,2935000,2935000,1,2935000
2011-10-26,2935000,2935000,2935000,2935000,3,2935000
2011-11-04,2935000,2410000,2410000,2410000,4,2410000
2011-11-17,2410000,2410000,2410000,2410000,1,2410000
2011-11-21,2410000,2410000,2410000,2410000,1,2410000
2011-11-23,2410000,2300000,2300000,2410000,41,2410000
2011-12-05,2410000,2410000,2410000,2410000,1,2410000
2011-12-07,2410000,2351000,2351000,2351000,4,2351000
2011-12-13,2351000,2351000,2351000,2351000,2,2351000
2012-01-03,2351000,2351000,2351000,2351000,1,2351000
2012-01-04,2351000,2600000,2600000,2600000,4,2600000
2012-01-16,2600000,2600000,2600000,2600000,1,2600000
2012-01-31,2600000,2600000,2600000,2600000,1,2600000
2012-02-10,2600000,2600000,2600000,2600000,1,2600000
2012-02-13,2600000,2600000,2600000,2600000,2,2600000
2012-02-14,2600000,2600000,2600000,2600000,1,2600000
2012-03-19,2600000,2650000,2500000,2500000,25,2500000
2012-03-20,2500000,2500000,2500000,2500000,4,2500000
2012-03-26,2500000,2500000,2500000,2500000,47,2500000
2012-04-26,2500000,2500000,2500000,2500000,8,2500000
2012-05-03,2500000,2500000,2500000,2500000,1,2500000
2012-05-31,2500000,2500000,2500000,2500000,2,2500000
2012-06-14,2500000,2500000,2500000,2500000,2,2500000
2012-07-04,2500000,2500000,2500000,2500000,1,2500000
2012-07-24,2500000,2500000,2500000,2500000,1,2500000
2012-07-25,2500000,2500000,2500000,2500000,1,2500000
2012-08-17,2500000,2500000,2500000,2500000,4,2500000
2012-08-20,2500000,2500000,2500000,2500000,3,2500000
2012-08-24,2500000,2500000,2500000,2500000,3,2500000
2012-09-06,2500000,2500000,2500000,2500000,2,2500000
2012-09-13,2500000,2500000,2500000,2500000,1,2500000
2012-09-24,2500000,2500000,2500000,2500000,2,2500000
2012-10-11,2500000,2500000,2500000,2500000,2,2500000
2012-10-12,2500000,3000000,3000000,3000000,4,3000000
2012-10-26,3000000,3000000,3000000,3000000,1,3000000
2012-11-07,3000000,3000000,3000000,3000000,1,3000000
2012-12-13,3000000,2500000,2500000,2500000,4,2500000
2012-12-17,2500000,2500000,2500000,2500000,1,2500000
2012-12-19,2500000,2500000,2500000,2500000,4,2500000
2012-12-26,2500000,2500000,2500000,2500000,1,2500000
2012-12-27,2550000,2500000,2500000,2500000,1,2500000
2013-02-06,2500000,2500000,2500000,2500000,1,2500000
2013-02-19,2500000,2500000,2500000,2500000,1,2500000
2013-02-25,2500000,2550000,2550000,2550000,4,2550000
2013-03-07,2550000,2550000,2550000,2550000,2,2550000
2013-03-22,2550000,2550000,2550000,2550000,4,2550000
2013-04-05,2550000,2550000,2550000,2550000,1,2550000
2013-04-29,2550000,2550000,2550000,2550000,2,2550000
2013-04-30,2550000,2550000,2550000,2550000,2,2550000
2013-05-23,2550000,2550000,2550000,2550000,2,2550000
2013-06-04,2550000,2550000,2550000,2550000,2,2550000
2013-06-13,2550000,2500000,2500000,2500000,5,2500000
2013-06-14,2500000,2500000,2500000,2500000,1,2500000
2013-06-27,2500000,2500000,2500000,2500000,2,2500000
2013-07-02,2500000,2700000,2700000,2700000,4,2700000
2013-08-06,2700000,2700000,2700000,2700000,1,2700000
2013-08-09,2700000,2700000,2700000,2700000,1,2700000
2013-09-10,2700000,2700000,2700000,2700000,1,2700000
2013-10-22,2525000,2700000,2700000,2700000,2,2700000
2013-11-06,2700000,2700000,2700000,2700000,4,2700000
2013-11-28,2700000,2700000,2700000,2700000,1,2700000
2013-12-06,2700000,2700000,2700000,2700000,1,2700000
2013-12-12,2700000,2700000,2700000,2700000,2,2700000
2014-01-27,2700000,2700000,2700000,2700000,1,2700000
2014-01-28,2700000,2700000,2700000,2700000,1,2700000
2014-04-01,2700000,2700000,2700000,2700000,1,2700000
2014-04-24,2700000,2700000,2700000,2700000,1,2700000
2014-06-10,2700000,2700000,2700000,2700000,1,2700000
2014-06-18,2700000,2700000,2700000,2700000,1,2700000
2014-07-07,2700000,2700000,2700000,2700000,1,2700000
2014-07-18,2700000,2700000,2700000,2700000,1,2700000
2014-07-28,2700000,2700000,2700000,2700000,4,2700000
2014-08-21,2700000,2700000,2700000,2700000,2,2700000
2014-09-08,2700000,2700000,2700000,2700000,4,2700000
2014-09-10,2700000,2700000,2700000,2700000,2,2700000
2014-10-28,2700000,2700000,2700000,2700000,4,2700000
2014-11-07,2700000,2800000,2800000,2800000,4,2800000
2014-11-12,2800000,2800000,2800000,2800000,6,2800000
