date,open,high,low,close,volume,adj_close
2009-06-03,7000,7000,7000,7000,35,7000
2009-06-22,7000,7000,7000,7000,923,7000
2009-10-01,7000,7000,7000,7000,50,7000
2009-10-05,7000,7000,7000,7000,275,7000
2009-10-13,7000,6800,6800,6800,135,6800
2009-10-15,6800,6800,6800,6800,18,6800
2009-11-03,6800,6800,6800,6800,275,6800
2009-11-04,6800,6900,6900,6900,701,6900
2009-12-11,6900,6900,6500,6900,5418,6900
2010-01-21,6900,6900,6900,6900,12,6900
2010-02-04,6900,6900,6900,6900,5583,6900
2010-03-01,6900,7700,7700,7700,430,7700
2010-03-02,7700,13000,8500,11100,32135,11100
2010-03-03,11500,13000,10000,10600,39420,10600
2010-03-04,10600,10600,9260,9260,8914,9260
2010-03-05,9260,10500,9300,10100,5490,10100
2010-03-08,10100,10500,10200,10400,5003,10400
2010-03-09,10400,10600,10400,10400,8813,10400
2010-03-10,10400,10410,10400,10400,761,10400
2010-03-12,10400,10400,10390,10390,373,10390
2010-03-15,10400,10400,10400,10400,3834,10400
2010-03-16,10390,10390,9999,10000,705,10000
2010-03-17,10000,9950,9750,9950,1257,9950
2010-03-18,9950,10000,9950,10000,2291,10000
2010-03-19,10000,10250,9500,10216,2486,10216
2010-03-22,10216,10400,10250,10250,2192,10250
2010-03-23,10250,10255,10250,10250,1958,10250
2010-03-24,10250,10000,10000,10000,94,10000
2010-03-25,10000,10000,9990,10000,589,10000
2010-03-26,9999,9999,9400,9900,3149,9900
2010-03-29,9900,9900,9900,9900,20,9900
2010-04-08,9900,9500,9000,9500,1763,9500
2010-04-09,9500,9800,9000,9800,2241,9800
2010-04-12,9800,9800,9800,9800,53,9800
2010-04-13,9800,9850,9800,9850,801,9850
2010-04-15,9850,9850,9849,9850,2000,9850
2010-04-19,9850,9800,9800,9800,500,9800
2010-04-20,9800,9700,9700,9700,513,9700
2010-04-22,9700,9200,9200,9200,50,9200
2010-04-23,9200,9500,9500,9500,177,9500
2010-04-27,9500,9500,9450,9450,2019,9450
2010-05-10,9450,9050,9000,9050,525,9050
2010-05-11,9050,9000,8950,8950,221,8950
2010-05-12,8950,8900,8700,8700,239,8700
2010-05-13,8700,8500,8500,8500,623,8500
2010-05-17,8500,8280,8275,8275,1624,8275
2010-05-20,8275,8000,7990,8000,1764,8000
2010-05-25,8000,7980,7980,7980,80,7980
2010-05-26,7980,7510,7500,7500,1852,7500
2010-05-27,7500,7800,7480,7800,38709,7800
2010-05-31,7800,7800,7800,7800,637,7800
2010-06-03,7800,7800,7800,7800,142,7800
2010-06-04,7800,7800,7800,7800,158,7800
2010-06-07,7800,7800,7800,7800,72,7800
2010-06-08,7800,7800,7800,7800,976,7800
2010-06-16,7800,7800,7700,7800,5558,7800
2010-06-17,7800,7800,7800,7800,5000,7800
2010-06-21,7800,7900,7900,7900,141,7900
2010-06-22,7900,8000,8000,8000,350,8000
2010-06-23,8000,8000,8000,8000,1107,8000
2010-07-07,8000,8000,8000,8000,62,8000
2010-07-21,8000,7400,7200,7200,1471,7200
2010-07-22,7200,7500,7500,7500,5439,7500
2010-07-23,7500,7500,7500,7500,457,7500
2010-07-26,7500,7500,7500,7500,1463,7500
2010-07-27,7500,8000,7900,8000,120,8000
2010-07-28,8000,8100,8000,8000,784,8000
2010-07-29,8000,8000,8000,8000,186,8000
2010-08-02,8000,8000,8000,8000,308,8000
2010-08-03,8000,7800,7800,7800,4808,7800
2010-08-06,7800,7750,7500,7523.7,6139,7523.7
2010-08-09,7523.7,7600,7524,7600,2094,7600
2010-08-10,7600,7600,7600,7600,9,7600
2010-08-12,7600,7600,7600,7600,412,7600
2010-08-16,7600,7676,7676,7676,108,7676
2010-08-17,7676,7750,7650,7750,400,7750
2010-08-18,7750,7600,7600,7600,188,7600
2010-08-19,7600,7600,7600,7600,119,7600
2010-08-23,7600,7600,7600,7600,30,7600
2010-08-24,7600,7700,7600,7700,5079,7700
2010-08-25,7700,7710,7710,7710,907,7710
2010-08-26,7710,7850,7750,7850,3098,7850
2010-09-01,7850,7700,7650,7650,1676,7650
2010-09-03,7650,7700,7650,7700,1394,7700
2010-09-07,7700,7700,7700,7700,38,7700
2010-09-14,7700,7700,7700,7700,188,7700
2010-09-15,7700,7700,7700,7700,295,7700
2010-09-16,7700,7700,7700,7700,612,7700
2010-09-24,7700,7700,7700,7700,1427,7700
2010-09-27,7700,7700,7700,7700,354,7700
2010-09-28,7700,8000,7850,7999,945,7999
2010-09-29,7999,8500,8000,8500,1450,8500
2010-09-30,8500,8690,8690,8690,60,8690
2010-10-01,8690,9700,8900,9600,2742,9600
2010-10-04,9600,11370,9700,9990,11616,9990
2010-10-05,9990,9990,9550,9550,2612,9550
2010-10-06,9550,9550,9500,9500,6310,9500
2010-10-07,9500,9499,9300,9300,2120,9300
2010-10-13,9300,9000,9000,9000,369,9000
2010-10-14,9000,9000,9000,9000,73,9000
2010-10-15,9000,9700,9000,9700,329,9700
2010-10-18,9700,9700,9700,9700,104,9700
2010-10-20,9700,9350,9350,9350,636,9350
2010-10-21,9350,9200,9200,9200,163,9200
2010-10-22,9200,9200,9200,9200,412,9200
2010-10-25,9200,9155,9155,9155,7610,9155
2010-10-26,9155,9150,9150,9150,110,9150
2010-10-29,9845,9845,9670,9670,693,9670
2010-11-02,9670,9670,9670,9670,51,9670
2010-11-04,9670,9600,9600,9600,1090,9600
2010-11-08,9600,9600,9600,9600,400,9600
2010-11-10,9600,9600,9600,9600,41,9600
2010-11-22,9600,9300,9200,9200,3512,9200
2010-11-23,9200,9200,9000,9000,6820,9000
2010-11-24,9000,9150,9000,9150,1345,9150
2010-11-25,9150,9599,9150,9550,5174,9550
2010-11-26,9550,9350,9300,9350,2035,9350
2010-12-02,9350,9100,9100,9100,4084,9100
2010-12-06,9100,9100,9100,9100,30,9100
2010-12-07,9100,9050,9050,9050,132,9050
2010-12-09,9050,9000,9000,9000,1035,9000
2010-12-10,9000,8900,8900,8900,1000,8900
2010-12-13,8900,8900,8900,8900,1500,8900
2010-12-14,8900,8900,8900,8900,167,8900
2010-12-20,8900,8000,8000,8000,966,8000
2010-12-21,8000,8100,8100,8100,200,8100
2010-12-22,8100,8000,8000,8000,60,8000
2010-12-23,8000,8000,8000,8000,3847,8000
2010-12-24,8000,7500,7500,7500,739,7500
2010-12-28,7500,7600,7350,7500,7453437,7500
2010-12-29,7500,7540,7450,7540,7290,7540
2010-12-30,7540,7534,7500,7534,45943,7534
2011-01-03,7534,7520,7500,7500,105700,7500
2011-01-04,7500,7550,7500,7550,187586,7550
2011-01-05,7550,7590,7550,7590,6393,7590
2011-01-06,7590,7600,7550,7599,29603,7599
2011-01-07,7600,7600,7547,7550,8664,7550
2011-01-10,7550,7500,7500,7500,20057,7500
2011-01-11,7500,7550,7500,7500,64152,7500
