date,open,high,low,close,volume,adj_close
2011-12-21,200,200,200,200,10000,200
2011-12-23,200,200,200,200,9950,200
2011-12-26,200,190,170,175,64191,175
2011-12-27,175,180,180,180,6240807,180
2011-12-28,180,180,180,180,601613,180
2012-01-03,180,180,180,180,1,180
2012-01-04,180,190,190,190,13790,190
2012-01-05,190,210.2,200,210.15,29975,210.15
2012-01-06,210.15,235,220.01,235,25065,235
2012-01-09,235,245,240,240,142587,240
2012-01-10,240,240,235,235,35000,235
2012-01-11,235,235,235,235,15000,235
2012-01-12,235,230,230,230,14583,230
2012-01-20,230,224,224,224,4500,224
2012-01-23,221,221,221,221,6500,221
2012-01-24,221,221,221,221,3400,221
2012-02-07,221,221,221,221,2162,221
2012-02-10,221,221,221,221,938,221
2012-02-14,221,220,220,220,5000,220
2012-02-17,220,215,211,211,13500,211
2012-02-22,211,211,210,211,25000,211
2012-02-24,211,211,211,211,28685,211
2012-02-27,211,211,211,211,232,211
2012-02-29,211,230,215,230,21727,230
2012-03-02,230,215,215,215,23609,215
2012-03-06,215,215,215,215,2405,215
2012-03-07,215,215,215,215,11600,215
2012-03-16,215,215,215,215,1000,215
2012-03-19,215,214,214,214,10000,214
2012-03-20,214,214,214,214,1000,214
2012-03-29,214,213.9,213.9,213.9,2500,213.9
2012-03-30,213.9,213.9,213.9,213.9,2000,213.9
2012-04-04,213.9,212,212,212,505729,212
2012-04-05,212,209.9,190,209.9,342000,209.9
2012-04-09,209.9,212,195,212,410371,212
2012-04-11,212,212,204.99,212,124348,212
2012-04-12,212,212,211.99,212,152299,212
2012-04-13,212,212,212,212,55000,212
2012-04-16,212,218,212,212,92301,212
2012-04-17,212,215,215,215,11098,215
2012-04-18,215,214,214,214,115000,214
2012-04-19,214,212,208,208,75000,208
2012-04-23,208,202.5,202.5,202.5,48327,202.5
2012-04-24,202.5,197,197,197,16339,197
2012-04-25,197,197,197,197,1000,197
2012-04-26,197,192,192,192,10000,192
2012-04-30,192,190,190,190,5244,190
2012-05-03,190,186,186,186,8903,186
2012-05-07,186,186,186,186,72000,186
2012-05-11,186,181,181,181,63500,181
2012-05-14,181,181,181,181,30,181
2012-05-16,181,180.5,180.5,180.5,73708,180.5
2012-05-17,180.5,180.5,180.5,180.5,203,180.5
2012-05-18,180.5,175,175,175,5283,175
2012-05-22,175,175,175,175,13075,175
2012-05-23,175,170.1,170,170,61036,170
2012-05-25,170,170,170,170,10,170
2012-05-28,170,170,170,170,2536,170
2012-05-30,170,155.8,155.8,155.8,6190,155.8
2012-05-31,155.8,155.8,155.8,155.8,150000,155.8
2012-06-05,155.8,155.8,155.8,155.8,1752,155.8
2012-06-06,155.8,155.8,155.8,155.8,1593,155.8
2012-06-11,155.8,152,151.4,151.46,36968,151.46
2012-06-13,151.46,151.4,151.4,151.4,80000,151.4
2012-06-22,151.4,146,146,146,23859,146
2012-06-25,146,146,146,146,6353,146
2012-06-26,146,142,142,142,17782,142
2012-06-28,142,138.05,134,134,102899,134
2012-06-29,134,134,134,134,746,134
2012-07-03,134,134,133.99,133.99,23946,133.99
2012-07-04,133.99,132,132,132,50000,132
2012-07-05,132,131,131,131,7700,131
2012-07-09,131,131,131,131,602,131
2012-07-10,131,141.99,131,141.99,259370,141.99
2012-07-11,141.99,141.5,136,136,166175,136
2012-07-12,136,136,136,136,90,136
2012-07-13,136,132,132,132,6717,132
2012-07-19,132,132,132,132,12300,132
2012-07-24,132,130.02,130.02,130.02,10000,130.02
2012-07-25,130.02,129.89,127.94,127.94,68875,127.94
2012-07-27,127.94,126.02,126.02,126.02,5918,126.02
2012-07-30,126.02,124.13,124.13,124.13,11240,124.13
2012-08-01,124.13,124.13,124.13,124.13,2955,124.13
2012-08-02,124.13,122.27,122.27,122.27,3831,122.27
2012-08-03,122.27,122.06,120.43,121.99,116027,121.99
2012-08-06,121.99,120.16,118.36,118.36,150560,118.36
2012-08-07,118.36,116.58,116.58,116.58,5000,116.58
2012-08-08,116.58,116.58,116.58,116.58,3120,116.58
2012-08-09,116.58,116.58,116.58,116.58,1168,116.58
2012-08-14,116.58,114.83,114.83,114.83,6110,114.83
2012-08-20,114.83,113.11,113.11,113.11,10000,113.11
2012-08-21,113.11,113.11,113.11,113.11,7,113.11
2012-08-23,113.11,111.41,111.41,111.41,36677,111.41
2012-08-24,111.41,111.41,111.41,111.41,9881,111.41
2012-08-27,111.41,111.41,111.41,111.41,19707,111.41
2012-08-28,111.41,109.74,104.87,106.29,146306,106.29
2012-08-29,106.29,106.29,106.29,106.29,5000,106.29
2012-08-31,106.29,107.73,107.73,107.73,20000,107.73
2012-09-03,107.73,112.5,109.19,112.5,225634,112.5
2012-09-04,112.5,112.5,112.5,112.5,780,112.5
2012-09-05,112.5,115.58,114.03,115.58,196910,115.58
2012-09-06,115.58,123.5,123,123.5,86484,123.5
2012-09-07,123.5,130,120,130,414600,130
2012-09-10,130,126.3,126.3,126.3,90000,126.3
2012-09-11,126.3,128.72,127,128.71,187355,128.71
2012-09-12,128.71,128.72,128.72,128.72,100645,128.72
2012-09-14,128.72,128.72,128.72,128.72,300000,128.72
2012-09-21,128.72,135.6,129.6,129.6,204601,129.6
2012-09-24,129.6,127.66,127.66,127.66,13300,127.66
2012-09-28,127.66,127,125.1,125.1,59339,125.1
2012-10-02,125.1,123.22,123.22,123.22,8153,123.22
2012-10-03,123.22,123.22,123.22,123.22,1000,123.22
2012-10-05,123.22,122,122,122,10940,122
2012-10-08,122,120.17,120.17,120.17,11791,120.17
2012-10-10,120.17,118.37,118.37,118.37,7500,118.37
2012-10-17,118.37,118.37,118.37,118.37,90,118.37
2012-10-24,118.37,118.37,118.37,118.37,2940,118.37
2012-10-29,118.37,116.59,116.59,116.59,38284,116.59
2012-11-06,116.59,114.85,114.85,114.85,16500,114.85
2012-11-07,114.85,113.13,113.13,113.13,8480,113.13
2012-11-08,113.13,111.44,111.44,111.44,18867,111.44
2012-11-12,111.44,109.77,109.77,109.77,16245,109.77
