date,open,high,low,close,volume,adj_close
2011-12-29,119,119,118,119,56218,119
2012-01-03,119,125,125,125,4289,125
2012-01-05,125,118,118,118,6642,118
2012-01-16,118,118,118,118,654,118
2012-01-23,118,118,118,118,16348,118
2012-01-31,118,118,118,118,2189,118
2012-02-17,118,118,118,118,102,118
2012-05-07,118,118,118,118,1325,118
2012-05-10,118,118,118,118,208,118
2012-05-17,118,118,118,118,19,118
2012-05-24,118,118,118,118,26,118
2012-09-04,118,118,118,118,478,118
2012-09-21,118,103,103,103,9184,103
2013-01-22,103,103,103,103,2006,103
2013-02-20,103,103,103,103,800,103
2013-05-15,103,103,103,103,1526,103
2013-07-12,103,103,103,103,500,103
2013-08-27,103,103,103,103,200,103
2014-05-23,103,103,103,103,4013,103
2014-05-26,103,103,103,103,1098,103
2014-10-10,103,103,103,103,709859,103
2015-04-24,103,103,103,103,1083,103
2015-10-26,103,103,103,103,540,103
2016-01-08,103,103,103,103,540,103
2016-07-28,103,103,103,103,839,103
2016-08-25,103,103,103,103,1000,103
2016-08-26,103,100,100,100.12,8671,100.12
2016-08-29,100.12,100.12,100.12,100.12,3854,100.12
2016-12-15,100.12,100.12,100.12,100.12,2575,100.12
2017-04-05,100.12,100.12,100.12,100.12,2242,100.12
2017-05-17,100.12,100.12,100.12,100.12,3603,100.12
2017-06-19,100.12,100.12,100.12,100.12,1022,100.12
2017-08-28,100.12,100.12,100.12,100.12,1096,100.12
2017-08-29,100.12,100.12,100.12,100.12,314,100.12
2017-08-30,100.12,100.12,100.12,100.12,4833,100.12
2017-09-05,100.12,70,70,70,11459,70
2017-09-21,70,70,70,70,4546,70
2017-09-22,70,70,70,70,1000,70
2017-09-25,70,100,100,100,10500,100
2017-10-06,100,100,100,100,229,100
2017-10-12,100,100,100,100,55346,100
2017-10-25,100,100,100,100,936,100
2017-11-20,100,100,100,100,6629,100
2017-11-29,100,100,100,100,1448,100
2017-12-05,100,100,100,100,1828,100
2017-12-19,100,100,100,100,1448,100
2018-01-04,100,95,95,95,7000,95
2018-01-08,95,95,95,95,5237,95
2018-01-18,95,115,115,115,7000,115
2018-01-19,115,115,115,115,3960,115
2018-01-23,115,115,115,115,1019,115
2018-01-29,115,115,115,115,3544,115
2018-02-14,115,115,115,115,4906,115
2018-02-21,115,115,115,115,318,115
2018-05-31,115,115,115,115,1069,115
2018-07-06,115,115,115,115,236,115
2018-12-28,115,115,115,115,2188,115
2019-01-02,115,115,115,115,256,115
2019-03-18,115,95,95,95,5975,95
2019-03-20,95,95,95,95,4833,95
2019-03-26,95,95,95,95,766,95
2019-04-17,95,95,95,95,155,95
2019-04-24,95,95,95,95,5408,95
2019-10-22,95,95,95,95,0,95
2019-11-19,95,95,95,95,0,95
2019-11-20,95,95,95,95,0,95
2019-11-21,95,95,95,95,0,95
2019-11-23,95,95,95,95,0,95
2019-12-20,95,95,95,95,0,95
2020-04-09,95,95,95,95,0,95
2020-04-18,95,95,95,95,0,95
2020-09-11,93.31,93.31,93.31,93.31,209,93.31
2020-11-12,93.31,103,103,93.31,10817,93.31
2020-11-13,93.31,113.5,113.5,93.31,11315,93.31
