date,open,high,low,close,volume,adj_close
2010-04-05,590,590,590,590,835,590
2010-04-09,590,560,560,560,3888,560
2010-04-12,560,560,560,560,1176,560
2010-04-13,560,560,560,560,3000,560
2010-06-11,560,560,560,560,270,560
2010-07-15,560,500,500,500,2296,500
2010-07-21,500,500,500,500,148,500
2010-10-08,500,500,500,500,90,500
2010-10-12,500,500,500,500,40,500
2010-10-14,500,465,450,450,4394,450
2010-11-11,450,450,450,450,200,450
2010-11-15,450,450,450,450,180,450
2010-11-17,450,450,450,450,370,450
2011-01-28,450,450,450,450,250,450
2011-02-25,450,450,450,450,960,450
2011-03-04,450,450,450,450,1000,450
2011-03-29,450,400,400,400,1977,400
2011-04-20,400,400,400,400,10000,400
2011-05-03,400,400,400,400,627054,400
2011-07-25,400,400,400,400,1015,400
2011-09-22,400,400,400,400,407,400
2011-11-29,400,400,400,400,500,400
2012-01-02,400,405,405,405,6698,405
2012-01-26,405,405,405,405,1000,405
2012-03-23,405,405,405,405,250,405
2012-05-04,405,400.1,400.1,400.1,2688,400.1
2012-07-17,400.1,400.1,400.1,400.1,430,400.1
2012-11-05,400.1,400.1,400.1,400.1,7046,400.1
2012-11-12,400.1,400.1,400.1,400.1,51,400.1
2012-11-23,400.1,400.1,400.1,400.1,121,400.1
2012-11-27,400.1,400.1,400.1,400.1,199,400.1
2012-11-29,400.1,400.1,400.1,400.1,111,400.1
2012-12-28,400.1,400.1,400.1,400.1,405,400.1
2013-01-02,400.1,428,428,428,6000,428
2013-01-03,428,428,428,428,595,428
2013-02-01,428,428,428,428,10,428
2013-02-04,428,500,500,500,2990,500
2013-02-19,500,500,500,500,579,500
2013-02-22,500,500,500,500,10,500
2013-03-26,500,550,550,550,5000,550
2013-03-27,550,550,550,550,990,550
2013-04-10,550,550,550,550,1266,550
2013-06-18,550,550,550,550,750,550
2013-06-28,550,550,550,550,201,550
2013-07-01,550,550,550,550,199,550
2013-07-04,550,550,550,550,537,550
2013-07-08,550,550,550,550,99,550
2013-07-10,550,550,550,550,1000,550
2013-07-24,550,550,550,550,1381,550
2013-09-09,550,550,550,550,300,550
2013-09-10,550,550,550,550,205,550
2013-10-07,550,550,550,550,750,550
2014-01-22,550,550,550,550,245,550
2014-03-17,550,550,550,550,537,550
2014-04-08,550,562,562,562,2000,562
2014-04-21,562,562,562,562,1650,562
2014-05-06,562,562,562,562,750,562
2014-05-12,562,562,562,562,750,562
2014-08-19,562,562,562,562,1301,562
2014-08-21,562,562,562,562,3525,562
2014-11-20,562,562,562,562,1472,562
2015-03-27,562,562,562,562,736,562
2015-05-07,562,562,562,562,180,562
2015-05-08,562,562,562,562,6550,562
2015-05-14,562,562,562,562,1428,562
2016-01-14,562,560,560,560,4079,560
2016-01-18,560,560,560,560,750,560
2016-04-01,560,560,560,560,323,560
2016-06-01,560,560,560,560,500,560
2016-06-14,560,560,560,560,430,560
2017-02-21,560,560,560,560,120,560
2018-02-02,560,560,560,560,2040,560
2018-04-18,560,560,560,560,200,560
2018-07-12,560,560,560,560,1360,560
2019-04-30,560,560,560,560,815,560
2019-10-22,560,560,560,560,0,560
2019-11-19,560,560,560,560,0,560
2019-11-20,560,560,560,560,0,560
