date,open,high,low,close,volume,adj_close
2015-09-07,2500,2500,2500,2500,756,2500
2015-09-08,2500,2600,2500,2600,5894,2600
2015-09-09,2600,2650,2650,2650,11826,2650
2015-09-10,2650,2650,2650,2650,18100,2650
2015-09-11,2650,2670,2650,2670,5861,2670
2015-09-14,2670,2665,2665,2665,4265,2665
2015-09-15,2665,2800,2800,2800,1280,2800
2015-09-16,2800,2800,2800,2800,200,2800
2015-09-17,2800,2700,2680,2686.7,3000,2686.7
2015-09-21,2686.7,2800,2800,2800,1755,2800
2015-09-24,2800,2700,2700,2700,1550,2700
2015-09-28,2700,2700,2700,2700,111,2700
2015-09-29,2700,2680,2680,2680,4520,2680
2015-09-30,2680,2680,2680,2680,3000,2680
2015-10-01,2680,2680,2680,2680,22195,2680
2015-10-02,2680,2677,2677,2677,1975,2677
2015-10-05,2677,2677,2677,2677,10,2677
2015-10-07,2677,2680,2680,2680,13095,2680
2015-10-09,2680,2680,2680,2680,1710,2680
2015-10-15,2680,2680,2680,2680,13426,2680
2015-10-16,2680,2680,2680,2680,1,2680
2015-10-19,2680,2680,2680,2680,10,2680
2015-10-20,2680,2680,2680,2680,121,2680
2015-10-22,2680,2680,2680,2680,400,2680
2015-10-23,2680,2680,2680,2680,1,2680
2015-10-26,2680,2680,2680,2680,4080,2680
2015-10-27,2680,2680,2680,2680,1,2680
2015-10-28,2680,2680,2680,2680,1,2680
2015-10-29,2680,2680,2680,2680,18003,2680
2015-11-03,2680,2680,2680,2680,1,2680
2015-11-09,2680,2680,2680,2680,22,2680
2015-11-10,2680,2680,2680,2680,500,2680
2015-11-11,2680,2680,2680,2680,3700,2680
2015-11-12,2680,2685,2680,2685,6213,2685
2015-11-13,2685,2685,2685,2685,9195,2685
2015-11-17,2685,2680,2680,2680,3956,2680
2015-11-25,2680,2680,2680,2680,2787,2680
2015-11-26,2680,2750,2750,2750,349,2750
2015-11-27,2750,2750,2750,2750,45,2750
2015-11-30,2750,2750,2750,2750,1,2750
2015-12-02,2750,2750,2750,2750,1,2750
2015-12-03,2750,2750,2750,2750,1,2750
2015-12-07,2750,2750,2700,2750,35547,2750
2015-12-10,2750,2750,2750,2750,4201,2750
2015-12-11,2750,2760,2680,2680,3137,2680
2015-12-15,2680,2800,2800,2800,3100,2800
2015-12-28,2800,2800,2800,2800,1527,2800
2015-12-29,2800,2800,2755,2755,3403,2755
2016-01-04,2755,2755,2755,2755,500,2755
2016-01-05,2755,2780,2780,2780,1600,2780
2016-01-06,2780,2780,2780,2780,716,2780
2016-01-07,2780,2755,2755,2755,7274,2755
2016-01-08,2755,2780,2780,2780,400,2780
2016-01-12,2780,2800,2800,2800,900,2800
2016-01-13,2800,2800,2800,2800,106,2800
2016-01-15,2800,2800,2800,2800,2878,2800
2016-01-18,2800,2800,2800,2800,554,2800
2016-01-20,2800,2801,2801,2801,13926,2801
2016-01-22,2801,2801,2801,2801,20,2801
2016-01-25,2801,2850,2850,2850,3150,2850
2016-01-26,2850,2850,2850,2850,4139,2850
2016-01-27,2850,2850,2800,2850,15330,2850
2016-02-02,2850,2850,2850,2850,500,2850
2016-02-11,2850,2850,2850,2850,40000,2850
2016-02-12,2850,2851,2851,2851,2298,2851
2016-02-15,2851,2860,2860,2860,300,2860
2016-02-16,2860,2851,2851,2851,6500,2851
2016-02-17,2851,2865,2851,2865,654,2865
2016-02-18,2865,2875,2860,2875,3337,2875
2016-02-23,2875,2850,2850,2850,188,2850
2016-03-02,2850,2885,2880,2885,5000,2885
2016-03-03,2885,2885,2885,2885,519,2885
2016-03-10,2885,2860,2850,2860,5875,2860
2016-03-15,2860,2860,2860,2860,85,2860
2016-03-28,2860,2865,2865,2865,5000,2865
2016-03-29,2865,2865,2865,2865,16800,2865
2016-03-31,2865,2865,2865,2865,18,2865
2016-04-05,2865,2865,2865,2865,2165,2865
2016-04-08,2865,2865,2865,2865,2473,2865
2016-04-20,2865,2950.1,2950,2950.1,81659,2950.1
2016-04-21,2950.1,3100,3100,3100,318,3100
2016-04-25,3100,3200,3200,3200,1220,3200
2016-04-26,3200,3155,3101,3101,16145,3101
2016-04-27,3101,3101,3101,3101,70,3101
