date,open,high,low,close,volume,adj_close
2009-06-03,2800,3000,2900,2958.7,7024,2958.7
2009-06-04,2958.7,2955,2895,2899,12043,2899
2009-06-05,2899,2900,2850,2850,6855,2850
2009-06-08,2850,2820,2800,2820,1117,2820
2009-06-09,2820,2900,2860.1,2900,12234,2900
2009-06-10,2900,3000,3000,3000,5092,3000
2009-06-11,3000,3100,3100,3100,14007,3100
2009-06-12,3100,3250,3200,3245.4,4656,3245.4
2009-06-15,3245.4,3215,3215,3215,1033,3215
2009-06-16,3215,3215,3215,3215,1180,3215
2009-06-17,3215,3201,3150,3201,6224,3201
2009-06-18,3201,3200,3150,3200,7723,3200
2009-06-22,3200,3200,3200,3200,3330,3200
2009-06-25,3150,3150,3100,3110,4534,3110
2009-06-26,3110,3200,3150,3200,2206,3200
2009-06-30,3200,3200,3200,3200,50,3200
2009-07-03,3200,3130,3130,3130,200,3130
2009-07-08,3130,3080,3080,3080,1273,3080
2009-07-09,3080,3049.9,3049.9,3049.9,43000,3049.9
2009-07-15,3049.9,3050,3000,3050,3856,3050
2009-07-17,3050,3130,3130,3130,5300,3130
2009-07-20,3130,3149,3149,3149,7117,3149
2009-07-22,3149,3149.1,3149.1,3149.1,1035,3149.1
2009-07-23,3149.1,3200,3180,3200,13526,3200
2009-07-24,3200,3200,3200,3200,6230,3200
2009-07-27,3200,3200,3200,3200,482,3200
2009-07-28,3200,3190,3190,3190,3470,3190
2009-07-30,3190,3100,3090,3100,19240,3100
2009-08-03,3100,3190,3100,3190,7369,3190
2009-08-04,3190,3202,3201,3202,1242,3202
2009-08-06,3202,3230,3230,3230,646,3230
2009-08-07,3230,3400,3400,3400,460,3400
2009-08-10,3400,3400,3400,3400,7831,3400
2009-08-11,3400,3350,3350,3350,1646,3350
2009-08-12,3350,3300,3300,3300,3334,3300
2009-08-13,3300,3350,3350,3350,3130,3350
2009-08-14,3350,3400,3400,3400,1645,3400
2009-08-18,3400,3400,3400,3400,2010,3400
2009-08-19,3400,3400,3400,3400,2920,3400
2009-08-20,3400,3400,3350,3350.4,151751,3350.4
2009-08-24,3350.4,3350.2,3350,3350.1,7230,3350.1
2009-08-25,3350.1,3400,3400,3400,291,3400
2009-08-27,3400,3400,3400,3400,880,3400
2009-08-28,3400,3450,3400,3450,1619,3450
2009-09-01,3450,3450,3450,3450,550,3450
2009-09-04,3450,3440,3439,3440,3000,3440
2009-09-07,3440,3440,3440,3440,355,3440
2009-09-08,3440,3360,3360,3360,3000,3360
2009-09-09,3360,3360,3360,3360,2500,3360
2009-09-10,3360,3360,3360,3360,1298,3360
2009-09-11,3360,3360,3360,3360,315,3360
2009-09-15,3360,3360,3360,3360,55,3360
2009-09-16,3360,3360,3360,3360,100,3360
2009-09-17,3360,3350,3350,3350,1520,3350
2009-09-23,3350,3202,3201,3202,64111,3202
2009-09-24,3202,3200,3200,3200,472,3200
2009-09-25,3200,3200,3200,3200,1690,3200
2009-09-29,3200,3150,3150,3150,1288,3150
2009-09-30,3150,3150,3150,3150,1000,3150
2009-10-01,3150,3155,3150,3150,2537,3150
2009-10-05,3150,3150,3150,3150,47,3150
