date,open,high,low,close,volume,adj_close
2009-06-24,570.3923,570.3923,570.3923,570.3923,36,570.3923
2009-07-15,570.3923,570.3923,570.3923,570.3923,2736,570.3923
2009-07-21,570.3923,570.3923,570.3923,570.3923,1104,570.3923
2009-08-31,570.3923,570.3923,570.3923,570.3923,9540,570.3923
2009-09-10,570.3923,570.3923,570.3923,570.3923,591,570.3923
2009-09-14,570.3923,580.06,580.06,580.06,1382,580.06
2009-09-25,580.06,580.06,580.06,580.06,541,580.06
2009-10-06,580.0601,589.7277,589.7277,589.7277,36491,589.7277
2009-10-07,589.7277,589.7277,589.7277,589.7277,1210,589.7277
2009-10-13,589.7277,589.7277,589.7277,589.7277,92,589.7277
2009-10-20,589.7277,589.7277,589.7277,589.7277,157,589.7277
2009-10-26,589.7277,589.7277,589.7277,589.7277,1406,589.7277
2009-10-27,589.7277,589.7277,589.7277,589.7277,9540,589.7277
2009-12-30,589.7277,571.3591,571.3591,571.3591,2073,571.3591
2010-01-05,571.3591,571.3591,571.3591,571.3591,179,571.3591
2010-01-08,571.3591,589.7277,589.7277,589.7277,12702,589.7277
2010-01-18,589.7277,589.7277,589.7277,589.7277,4836,589.7277
2010-01-21,589.7277,571.3591,571.3591,571.3591,926,571.3591
2010-01-22,571.3591,571.3591,571.3591,571.3591,1140,571.3591
2010-02-01,571.3591,571.3591,571.3591,571.3591,2553,571.3591
2010-02-10,571.3591,580.06,580.06,580.06,1655,580.06
2010-03-03,580.06,580.06,580.06,580.06,2069,580.06
2010-04-21,580.06,580.06,580.06,580.06,595,580.06
2010-04-22,580.06,580.06,580.06,580.06,1567,580.06
2010-05-11,580.06,580.06,580.06,580.06,5756,580.06
2010-05-31,580.06,580.06,580.06,580.06,2345,580.06
2010-06-02,580.06,580.06,580.06,580.06,1758,580.06
2010-06-17,580.06,580.06,580.06,580.06,197,580.06
2010-06-21,580.06,580.06,580.06,580.06,47,580.06
2010-07-08,580.06,580.06,580.06,580.06,459,580.06
2010-07-12,580.06,580.1567,580.1567,580.1567,12067,580.1567
2010-07-20,580.1567,580.1567,580.1567,580.1567,111,580.1567
2010-08-10,580.1567,580.1567,580.1567,580.1567,6735,580.1567
2010-08-16,580.1567,580.1567,580.1567,580.1567,2713,580.1567
2010-08-24,580.1567,580.1567,580.1567,580.1567,1978,580.1567
2010-09-03,580.1567,580.1567,580.1567,580.1567,565,580.1567
2010-09-07,580.1567,580.1567,580.1567,580.1567,72,580.1567
2010-09-09,580.1567,580.1567,580.1567,580.1567,4023,580.1567
2010-09-24,580.1567,580.1567,580.1567,580.1567,407,580.1567
2010-11-02,580.1567,580.1567,580.1567,580.1567,4195,580.1567
2010-11-03,580.1566,584.8938,584.8938,584.8938,6148,584.8938
2010-11-04,584.8938,584.8938,584.8938,584.8938,11894,584.8938
2010-11-11,584.8939,589.7277,589.7277,589.7277,1729,589.7277
2010-11-22,589.7277,589.7277,589.7277,589.7277,1328,589.7277
2010-12-16,589.7277,589.7277,589.7277,589.7277,1935,589.7277
2010-12-21,589.7277,589.7277,589.7277,589.7277,6210,589.7277
2011-01-12,589.7277,589.7277,589.7277,589.7277,47,589.7277
2011-01-26,589.7277,589.7277,589.7277,589.7277,34,589.7277
2011-02-10,589.7277,584.8938,584.8938,584.8938,1036,584.8938
2011-02-28,584.8938,584.8938,584.8938,584.8938,19605,584.8938
2011-04-01,584.8938,584.8938,584.8938,584.8938,178,584.8938
2011-04-04,584.8939,580.06,580.06,580.06,1342,580.06
2011-04-11,580.06,580.06,580.06,580.06,4281,580.06
2011-04-12,580.06,580.06,580.06,580.06,82404,580.06
2011-04-21,580.06,580.06,580.06,580.06,36491,580.06
2011-04-29,580.06,580.06,580.06,580.06,2114,580.06
2011-05-10,580.06,580.06,580.06,580.06,851,580.06
2011-05-17,580.0599,584.8938,584.8938,584.8938,2382,584.8938
2011-05-26,584.8938,584.8938,584.8938,584.8938,441,584.8938
2011-05-30,584.8939,580.06,580.06,580.06,2069,580.06
2011-06-02,580.06,580.06,580.06,580.06,693,580.06
2011-06-06,580.06,580.06,580.06,580.06,668,580.06
2011-06-14,580.06,580.06,580.06,580.06,26312,580.06
2011-07-07,580.06,580.1567,580.1567,580.1567,16322,580.1567
2011-07-13,580.1567,580.1567,580.1567,580.1567,249,580.1567
2011-08-09,580.1567,580.1567,580.1567,580.1567,71,580.1567
2011-08-22,580.1567,580.06,580.06,580.06,2069,580.06
2011-08-29,580.06,580.06,580.06,580.06,6887,580.06
2011-09-06,580.06,580.06,580.06,580.06,6492,580.06
2011-09-14,580.06,580.06,580.06,580.06,4138,580.06
2011-09-22,580.06,580.06,580.06,580.06,2069,580.06
2011-12-16,580.06,570,570,570,1949,570
2011-12-21,570,570,570,570,9750,570
2012-01-30,570,570,570,570,2830,570
2012-02-20,570,570,570,570,4009,570
2012-02-21,570,570,570,570,1265,570
2012-02-22,570,600,600,600,12764,600
2012-03-05,600,600,600,600,321,600
2012-03-07,600,600,600,600,71,600
2012-03-12,600,600,600,600,53,600
2012-03-15,600,600,600,600,1587,600
2012-03-22,600,570,570,570,38736,570
2012-03-26,570,570,570,570,21449,570
2012-04-12,570,570,570,570,43881,570
2012-04-20,570,570,570,570,3000,570
