date,open,high,low,close,volume,adj_close
2013-04-29,62.83,62.83,62.83,62.83,20,62.83
2013-05-13,62.83,64.96,64.96,64.96,694,64.96
2013-05-14,64.96,65.2,65.2,65.2,327,65.2
2013-05-23,65.2,63.99,63.99,63.99,468,63.99
2013-06-03,63.99,63.9,63.9,63.9,22,63.9
2013-08-21,63.9,66.75,66.75,66.75,581,66.75
2013-10-14,66.75,67.71,67.71,67.71,324,67.71
2013-10-16,67.71,68.9,68.9,68.9,140,68.9
2013-10-25,68.9,68.08,68.08,68.08,126,68.08
2013-12-20,68.08,72.92,72.92,72.92,55,72.92
2014-01-15,72.92,73.99,73.99,73.99,16,73.99
2014-01-30,73.99,72.79,72.64,72.64,222,72.64
2014-02-06,72.64,73.25,72.8,73.25,458,73.25
2014-02-10,73.25,74.55,74.55,74.55,274,74.55
2014-02-12,74.55,76,75.88,76,406,76
2014-03-14,76,75.45,75.45,75.45,140,75.45
2014-03-18,75.45,77.3,77.3,77.3,289,77.3
2014-03-19,77.3,77.48,77.48,77.48,55,77.48
2014-03-21,77.48,78.18,78.18,78.18,63,78.18
2014-04-22,78.18,81.19,81.05,81.05,55,81.05
2014-04-23,81.05,80.3,80.3,80.3,324,80.3
2014-04-25,80.3,77.47,77.47,77.47,63,77.47
2014-05-16,77.47,79.14,79.14,79.14,522,79.14
2014-06-11,79.14,79,79,79,327,79
2014-07-29,79,75.83,75.83,75.83,1103,75.83
2014-07-31,75.83,73.95,73.95,73.95,289,73.95
2014-08-11,73.95,74.78,74.78,74.78,66,74.78
2014-11-06,74.78,68.41,68.35,68.41,66,68.41
2014-11-10,68.41,69.94,69.94,69.94,70,69.94
2014-12-03,69.94,74.67,74.48,74.48,266,74.48
2014-12-19,74.48,73.28,73.28,73.28,266,73.28
2015-05-28,73.28,71,71,71,15,71
2015-06-02,71,70.96,70.96,70.96,16,70.96
2015-09-22,70.96,53.58,53.58,53.58,16,53.58
2015-10-06,53.58,54.28,54.28,54.28,15,54.28
2017-02-16,54.28,56.56,56.56,56.56,53,56.56
2017-02-21,56.56,56.84,56.84,56.84,200,56.84
2017-05-19,56.84,57.08,57.08,57.08,39,57.08
2017-09-15,57.08,52.17,52.17,52.17,100,52.17
2017-11-06,52.17,64.45,64.45,64.45,53,64.45
2017-11-14,64.45,66.25,66.25,66.25,1050,66.25
2017-11-15,66.25,66.01,66.01,66.01,60,66.01
2017-11-27,66.01,68.73,68.73,68.73,1050,68.73
2018-02-28,68.73,65.52,65.52,65.52,75,65.52
2019-02-22,65.52,52.89,52.89,52.89,100,52.89
2019-03-19,52.89,57.55,57.55,57.55,100,57.55
2019-04-16,57.55,67.07,67.07,67.07,200,67.07
2019-05-02,67.07,87.52,87.52,87.52,41,87.52
2019-05-10,87.52,84.8,84.8,84.8,100,84.8
2019-05-16,84.8,84.27,84.27,84.27,100,84.27
2019-09-10,84.27,78.12,78.12,78.12,100,78.12
2019-11-07,78.12,91.45,91.45,78.12,43,78.12
2020-01-09,78.12,90.5,90.5,78.12,55,78.12
2020-02-12,78.12,91.94,91.94,91.94,88,91.94
2020-02-19,91.94,89.66,89.66,91.94,11,91.94
2020-03-10,91.94,75.1,75.1,91.94,50,91.94
2020-04-09,91.94,73.3,73.3,91.94,3,91.94
2020-04-29,91.94,77.9,77.9,91.94,3,91.94
2020-05-18,91.94,79.19,79.04,79.19,185,79.19
2020-06-04,79.19,85.8,85.8,79.19,32,79.19
2020-06-05,79.19,89.07,89.07,79.19,60,79.19
2020-06-10,79.19,91.8,91.8,91.8,108,91.8
2020-06-11,91.8,86.26,86.26,91.8,38,91.8
2020-06-24,91.8,87.85,87.85,91.8,41,91.8
2020-07-28,91.8,91.72,91.72,91.8,40,91.8
2020-08-03,91.8,110.99,110.99,91.8,50,91.8
2020-08-04,91.8,110.26,110.26,91.8,30,91.8
2020-08-12,91.8,115.91,115.46,115.61,162,115.61
2020-08-31,115.61,118.86,118.86,115.61,40,115.61
2020-09-04,115.61,114.11,114.11,115.61,40,115.61
2020-09-10,115.61,114.46,114.46,115.61,30,115.61
2020-09-21,115.61,109,109,109,10,109
2020-11-04,115.61,129.75,129.75,115.61,10,115.61
2020-11-18,115.61,152.85,152.85,115.61,15,115.61
2020-11-19,115.61,146.88,146.88,115.61,48,115.61
2020-11-30,115.61,145.23,145.23,145.23,150,145.23
2020-12-02,145.23,151.2,151.2,151.2,68,151.2
2020-12-03,151.2,152,152,151.2,12,151.2
2020-12-09,151.2,160.7,160.7,160.7,62,160.7
2020-12-15,160.7,147.56,147.56,147.56,41,147.56
2021-01-08,160.7,156.2,156.2,156.2,325,156.2
2021-01-20,156.2,167.68,167.68,167.68,19,167.68
2021-02-08,156.2,146.66,146.1,146.66,195,146.66
2021-02-17,146.66,144.12,144.12,144.12,300,144.12
2021-02-18,144.12,143.35,143.35,143.35,40,143.35
2021-02-22,144.12,142.8,141.67,141.67,45,141.67
2021-02-23,141.76,137.12,137.12,137.12,175,137.12
