date,open,high,low,close,volume,adj_close
2009-06-10,834.9094,834.9094,834.9094,834.9094,525,834.9094
2009-06-11,834.9094,834.9094,834.9094,834.9094,441,834.9094
2009-06-17,834.9094,834.9094,834.9094,834.9094,256,834.9094
2009-06-19,834.9094,834.9094,834.9094,834.9094,1689,834.9094
2009-08-03,834.9094,834.9094,834.9094,834.9094,31931,834.9094
2009-08-05,834.9094,834.9094,834.9094,834.9094,11537,834.9094
2009-10-01,834.9094,833.9272,833.9272,833.9272,999,833.9272
2009-12-02,833.9272,824.1047,824.1047,824.1047,605,824.1047
2009-12-15,824.1047,824.1047,824.1047,824.1047,509037,824.1047
2009-12-18,824.1047,823.1225,823.1225,823.1225,509037,823.1225
2009-12-23,823.1224,822.1402,822.1402,822.1402,447953,822.1402
2010-01-20,822.1402,822.1402,822.1402,822.1402,56,822.1402
2010-01-21,822.1402,822.1402,822.1402,822.1402,112,822.1402
2010-01-25,822.1402,822.1402,822.1402,822.1402,163,822.1402
2010-02-15,822.1403,784.8149,784.8149,784.8149,973,784.8149
2010-04-16,784.8149,784.8149,784.8149,784.8149,536,784.8149
2010-05-10,784.8149,784.8149,784.8149,784.8149,1018,784.8149
2010-05-12,784.8149,784.8149,784.8149,784.8149,246,784.8149
2010-06-09,784.8148,746.5072,746.5072,746.5072,2036,746.5072
2010-06-15,746.5073,829.9982,829.9982,829.9982,560,829.9982
2010-07-21,829.9982,785.7971,785.7971,785.7971,1260,785.7971
2010-07-29,785.7971,785.7971,780.8859,785.7971,4039,785.7971
2010-08-09,785.7971,884.0217,884.0217,884.0217,4072,884.0217
2010-08-16,884.0217,884.0217,884.0217,884.0217,5635,884.0217
2010-08-24,884.0218,888.933,888.933,888.933,17307,888.933
2010-08-25,888.933,888.933,888.933,888.933,81,888.933
2010-08-27,888.933,888.933,888.933,888.933,1544181,888.933
2010-09-07,888.933,888.933,888.933,888.933,88,888.933
2010-09-15,888.933,918.4004,918.4004,918.4004,1527,918.4004
2010-10-28,918.4003,972.4239,972.4239,972.4239,912,972.4239
2010-11-18,972.4239,972.4239,972.4239,972.4239,20,972.4239
2010-12-20,972.4239,972.4239,972.4239,972.4239,85,972.4239
2010-12-23,972.424,971.4417,971.4417,971.4417,7330,971.4417
2011-03-18,971.4417,687.5725,687.5725,687.5725,2346,687.5725
2011-03-21,687.5724,589.3478,589.3478,589.3478,1018,589.3478
2011-03-24,589.3478,590.3301,590.3301,590.3301,1475,590.3301
2011-04-04,590.3301,590.3301,590.3301,590.3301,370,590.3301
2011-04-14,590.33,682.6612,682.6612,682.6612,2419,682.6612
2011-04-28,682.6613,677.75,677.75,677.75,2036,677.75
2011-05-06,677.75,690,690,690,2800,690
2011-05-11,690,680,680,680,1500,680
2011-05-26,680,675,675,675,748,675
2011-08-05,675,675,675,675,755059,675
2011-09-06,675,655,655,655,841,655
2011-10-21,655,655,655,655,55,655
2011-12-20,655,250,250,250,332852,250
2011-12-21,250,250,250,250,600,250
2012-01-20,250,250,250,250,748,250
2012-01-24,250,250,250,250,1000,250
2012-02-03,250,250,250,250,1000,250
2012-02-15,250,250,250,250,600,250
2012-02-24,250,250,250,250,1399,250
2012-03-05,250,250,250,250,2730,250
2012-03-13,250,250,250,250,1620,250
2012-03-30,250,250,250,250,20,250
2012-04-02,250,250,250,250,9278,250
2012-04-03,250,250,250,250,270,250
2012-04-12,250,250,250,250,333,250
2012-04-16,250,250,250,250,1620,250
2012-04-17,250,250,250,250,2336,250
2012-04-24,250,250,250,250,1001,250
2012-04-26,250,750,750,750,131616,750
2012-05-02,750,750,750,750,150,750
2012-05-03,750,750.1,750.1,750.1,2631,750.1
2012-05-07,750.1,755.1,755.1,755.1,1000,755.1
2012-05-09,755.1,756,756,756,15171,756
2012-05-10,756,755,755,755,3888,755
2012-05-11,755,760,755,760,434270,760
2012-05-16,760,755,755,755,42686,755
2012-05-18,755,755,755,755,53230,755
2012-05-23,755,755,755,755,100,755
2012-05-28,755,750,750,750,46334090,750
2012-10-30,750,700,700,700,15000,700
2012-10-31,700,700,700,700,2867,700
2012-11-08,700,700,700,700,3288,700
2012-12-06,700,700,700,700,20,700
2013-10-23,700,700,700,700,416,700
2014-01-17,700,500,500,500,1000,500
2014-01-21,500,500,500,500,118,500
2014-04-09,500,500,500,500,7029,500
2014-06-06,500,500,500,500,100,500
2014-06-18,500,500,500,500,9609,500
2014-08-26,500,510,510,510,60000,510
2014-09-11,510,510,510,510,1171,510
2014-09-23,510,510,510,510,211,510
2014-11-07,510,510,510,510,410,510
2014-12-01,510,560,560,560,241049,560
2014-12-10,560,560,560,560,747,560
2014-12-29,560,560,560,560,13131,560
2015-01-09,560,560,560,560,30856,560
2015-05-19,560,560,560,560,180,560
2015-05-29,560,560,560,560,4320,560
2015-06-11,560,560,560,560,13536,560
2015-10-29,560,559.99,559.99,559.99,1142,559.99
2015-11-30,559.99,559.99,559.99,559.99,180,559.99
2016-03-10,559.99,559.99,559.99,559.99,202,559.99
2016-05-20,559.99,400,400,400,4926,400
2016-05-23,400,400,400,400,251,400
2016-05-24,400,330,330,330,2961,330
2016-05-26,330,330,330,330,423,330
2016-06-01,330,330,330,330,1749,330
2016-06-16,330,330,330,330,1279,330
2016-09-21,330,330,330,330,3005,330
2016-09-22,330,330,330,330,1321,330
2016-09-26,330,330,330,330,846,330
2016-09-27,330,330,330,330,1268,330
2017-01-06,330,300,300,300,2100,300
2017-02-03,300,250,250,250,3291,250
2017-03-28,250,250,250,250,3888,250
2017-04-28,250,250,250,250,1620,250
2017-06-09,250,272,272,272,6528,272
2017-06-21,272,272,272,272,2214,272
2017-06-30,272,360,292,360,5056,360
