date,open,high,low,close,volume,adj_close
2009-06-03,220,260,260,260,7293,260
2009-06-10,260,260,260,260,3846,260
2009-06-17,260,260,260,260,543,260
2009-06-22,260,260,260,260,368,260
2009-07-08,260,260,260,260,366,260
2009-07-31,260,260,260,260,1592,260
2009-08-18,260,260,260,260,1048,260
2009-08-20,260,260,260,260,1592,260
2009-10-22,260,260,260,260,36,260
2009-10-29,260,260,260,260,2500,260
2009-11-17,260,260,260,260,14599,260
2009-12-29,260,260,260,260,645,260
2010-02-01,260,250,250,250,6071,250
2010-02-24,250,220,220,220,10000,220
2010-02-25,220,220,220,220,5412,220
2010-04-15,220,220,220,220,500,220
2010-04-22,220,220,220,220,261,220
2010-04-23,220,220,220,220,590,220
2010-04-29,220,225,225,225,24505,225
2010-05-07,222,225,225,225,23,225
2010-05-12,225,225,225,225,38,225
2010-06-09,225,225,225,225,2150,225
2010-06-18,225,250,250,250,2500,250
2010-07-26,250,250,250,250,1107,250
2010-10-12,250,250,250,250,392,250
2010-10-14,250,250,250,250,36,250
2010-11-02,250,250,250,250,911,250
2010-12-10,250,250,250,250,2000,250
2011-01-18,250,250,250,250,425,250
2011-01-26,250,250,250,250,34,250
2011-03-04,250,250,250,250,17,250
2011-03-25,250,250,250,250,34,250
2011-04-07,250,250,250,250,55,250
2011-05-05,250,250,250,250,26,250
2011-05-30,250,280,280,280,1867,280
2011-08-18,280,250,250,250,31768,250
2011-09-02,250,250,250,250,83,250
2011-09-20,250,250,250,250,1544,250
2011-09-22,250,250,250,250,1000,250
2011-09-27,250,250,250,250,486,250
2011-10-05,250,250,250,250,20000,250
2011-10-07,250,250,250,250,604,250
2011-10-11,250,270,270,270,5000,270
2011-10-12,270,270,270,270,9060,270
2011-10-19,270,290,290,290,5000,290
2011-10-20,290,320,320,320,5000,320
2011-10-21,320,350,350,350,5000,350
2011-10-24,350,380,380,380,5000,380
2011-12-29,380,380,380,380,1573,380
2012-04-04,380,380,380,380,33980,380
2012-06-15,380,380,380,380,25000,380
2012-06-18,380,400,400,400,30648,400
2012-07-09,400,380,380,380,42112,380
2012-07-17,380,380,380,380,19,380
2012-07-19,380,380,380,380,3846,380
2012-10-26,380,380,380,380,118294,380
2012-10-29,380,380,380,380,146,380
2012-12-26,380,380,380,380,532,380
2013-01-11,380,380,380,380,843,380
2013-03-14,380,380,380,380,12287,380
2013-06-19,380,380,380,380,645,380
2013-07-02,380,380,380,380,26768,380
2013-07-11,380,380,380,380,3110,380
2013-07-15,380,380,380,380,50,380
2013-07-17,380,380,380,380,4736,380
2013-08-22,380,380,380,380,4486,380
2013-09-27,380,380,380,380,257,380
2013-10-23,380,380,380,380,514,380
2013-10-30,380,390,390,390,4743,390
2014-05-22,390,390,390,390,144,390
2014-09-17,390,390,390,390,260,390
2014-12-03,390,390,390,390,289,390
2014-12-09,390,390,390,390,87,390
2015-03-18,390,390,390,390,301,390
2015-03-25,390,390,390,390,280,390
2015-06-01,390,390,390,390,280,390
2015-06-05,390,390,390,390,280,390
2015-06-24,390,390,390,390,318,390
2015-08-10,390,390,390,390,232,390
2015-08-25,390,390,390,390,359,390
2015-11-20,390,390,390,390,300,390
2015-12-16,390,390,390,390,280,390
2015-12-21,390,390,390,390,507,390
2016-02-24,390,359,359,359,2935,359
2016-02-25,359,359,359,359,2065,359
2016-02-26,359,359,359,359,3417,359
2016-02-29,359,359,359,359,35,359
2016-07-26,359,332,332,332,93997,332
2016-08-04,332,332,332,332,1441304,332
2016-08-25,332,332,332,332,393,332
2016-08-29,332,332,332,332,56,332
2017-01-30,332,350,350,350,1684,350
2017-02-16,350,365,365,365,9362,365
2017-03-29,365,365,365,365,6,365
2017-04-03,365,370,370,370,3195,370
2017-06-09,370,370,370,370,174,370
2017-07-17,370,425,425,425,1684,425
2017-07-18,425,425,425,425,19,425
2017-07-21,425,425,425,425,23,425
2017-10-13,425,425,425,425,38,425
2017-10-17,425,425,425,425,6,425
2018-03-08,425,425,425,425,162,425
2018-06-13,425,425,425,425,352,425
2018-06-18,425,425,425,425,18,425
2018-07-12,425,455,455,455,5098,455
2018-07-20,455,455,455,455,23,455
2018-08-30,455,455,455,455,886,455
2018-09-05,455,455,455,455,453,455
2018-09-13,455,455,455,455,250,455
2018-09-20,455,455,455,455,2834,455
2018-09-21,455,455,455,455,230,455
2018-09-25,455,455,455,455,3493,455
2018-09-26,455,455,455,455,3248,455
2018-10-01,455,455,455,455,4369,455
2018-11-06,455,460,460,460,2840,460
2018-11-28,460,460,460,460,328,460
2019-01-03,460,460,460,460,1684,460
2019-01-21,460,460,460,460,10543,460
2019-01-22,460,460,460,460.01,2219,460.01
2019-02-11,460.01,470,470,470,2383,470
2019-03-08,470,480,480,480,153,480
2019-04-04,480,481,481,481,650,481
2019-04-05,481,485,485,485,1986,485
2019-06-14,485,488,488,488,109,488
2019-08-13,488,488,488,488,1000,488
2019-08-27,488,620,620,620,3000,620
2019-08-29,620,620,620,620,79,620
2019-09-27,620,620,620,620,79,620
2019-10-22,620,620,620,620,0,620
2019-11-19,620,620,620,620,0,620
2019-11-20,620,620,620,620,0,620
2019-11-21,620,620,620,620,0,620
2019-11-23,620,620,620,620,0,620
2019-12-13,620,620,620,620,14,620
2020-04-09,620,620,620,620,0,620
2020-04-18,620,620,620,620,0,620
