date,open,high,low,close,volume,adj_close
2009-06-03,999.8276,1005.641,999.8276,1005.641,5761,1005.641
2009-06-04,1005.641,1026.955,1017.266,1018.332,19082,1018.332
2009-06-05,1018.332,1017.266,1016.298,1017.266,217965,1017.266
2009-06-08,1017.266,1007.578,1007.578,1007.578,1502,1007.578
2009-06-09,1007.578,1026.955,1002.734,1026.955,82053,1026.955
2009-06-10,1026.955,1026.955,1025.017,1025.017,5879,1025.017
2009-06-11,1025.017,1022.11,1002.734,1022.11,32630,1022.11
2009-06-12,1022.111,1016.298,1016.298,1016.298,2529,1016.298
2009-06-15,1016.298,1016.298,1015.329,1015.329,24442,1015.329
2009-06-16,1015.329,1020.173,1007.578,1007.578,138516,1007.578
2009-06-17,1007.578,1007.578,988.2985,988.2985,127565,988.2985
2009-06-18,988.2985,1007.578,997.8899,1007.578,63720,1007.578
2009-06-19,1007.578,1017.266,1008.547,1008.547,25808,1008.547
2009-06-22,1008.547,988.2985,968.8252,968.8252,32403,968.8252
2009-06-23,968.8251,968.8252,959.1369,959.1369,73567,959.1369
2009-06-24,959.1369,960.1057,959.1369,959.1369,16309,959.1369
2009-06-25,959.1369,978.5134,978.5134,959.1369,1306,959.1369
2009-06-26,959.1369,959.1369,944.6045,944.6045,9864,944.6045
2009-06-30,944.6045,944.6045,944.6045,944.6045,1146,944.6045
2009-07-01,944.6046,939.7604,939.7604,939.7604,10433,939.7604
2009-07-02,939.7604,939.7604,891.3191,891.3191,728042,891.3191
2009-07-03,930.0721,930.0721,930.0721,930.0721,19999,930.0721
2009-07-06,930.0721,930.0721,930.0721,930.0721,8425,930.0721
2009-07-07,930.0721,930.0721,930.0721,930.0721,309,930.0721
2009-07-08,930.0721,920.3839,920.287,920.287,78255,920.287
2009-07-09,920.287,920.3839,920.3839,920.3839,2411,920.3839
2009-07-10,920.3839,920.3839,920.3839,920.3839,4077,920.3839
2009-07-13,920.3838,920.3839,891.3191,914.3674,10904,914.3674
2009-07-14,914.3675,959.1369,920.3839,959.1369,9775,959.1369
2009-07-20,959.1368,959.1369,949.4486,949.4486,27724,949.4486
2009-07-21,949.4486,949.4486,949.4486,949.4486,27952,949.4486
2009-07-22,949.4487,978.5134,949.4486,978.5134,133529,978.5134
2009-07-24,978.5134,967.8563,967.8563,967.8563,5145,967.8563
2009-07-27,967.8563,967.8563,967.8563,967.8563,303,967.8563
2009-07-29,967.8563,966.8875,959.1369,959.1369,3171,959.1369
2009-07-30,959.1369,952.3551,952.3551,952.3551,2263,952.3551
2009-07-31,952.3551,944.6045,939.7604,939.7604,62867,939.7604
2009-08-03,939.7604,939.7604,930.0721,930.0721,30901,930.0721
2009-08-04,930.0721,959.1369,930.0721,945.4861,44755,945.4861
2009-08-05,945.4861,944.6045,944.6045,944.6045,1058,944.6045
2009-08-06,944.6045,944.6045,944.6045,944.6045,20959,944.6045
2009-08-07,944.6046,968.8252,944.6045,950.3594,1037545,950.3594
2009-08-10,950.3593,978.5134,949.4486,978.5134,103072,978.5134
2009-08-11,978.5134,978.5134,959.1369,978.5134,67663,978.5134
