date,open,high,low,close,volume,adj_close
2009-06-12,0.65,0.65,0.65,0.65,178537,0.65
2009-07-23,0.65,0.65,0.649,0.65,11387650,0.65
2009-07-27,0.65,0.65,0.65,0.65,307597,0.65
2009-10-15,0.65,0.65,0.65,0.65,1790903,0.65
2009-12-15,0.65,0.65,0.65,0.65,761891,0.65
2010-01-05,0.65,0.65,0.65,0.65,400000,0.65
2010-01-13,0.65,0.65,0.65,0.65,500000,0.65
2010-01-15,0.65,0.65,0.65,0.65,900000,0.65
2010-03-04,0.65,0.65,0.65,0.65,1000000,0.65
2010-03-08,0.65,0.65,0.65,0.65,991542,0.65
2010-03-12,0.65,0.65,0.65,0.65,487168,0.65
2010-03-15,0.65,0.65,0.65,0.65,368657,0.65
2010-04-05,0.65,0.65,0.65,0.65,745771,0.65
2010-04-08,0.65,0.65,0.65,0.65,2500000,0.65
2010-04-20,0.65,0.65,0.65,0.65,1372000,0.65
2010-07-20,0.65,0.65,0.65,0.65,500000,0.65
2010-08-31,0.65,0.65,0.65,0.65,1000000,0.65
2010-09-08,0.65,0.65,0.65,0.65,300000,0.65
2010-09-10,0.65,0.65,0.65,0.65,500000,0.65
2010-09-13,0.65,0.65,0.65,0.65,307597,0.65
2010-10-12,0.65,0.65,0.65,0.65,45771,0.65
2010-10-27,0.65,0.65,0.65,0.65,700000,0.65
2010-12-29,0.65,0.65,0.65,0.65,500000,0.65
2011-01-10,0.65,0.65,0.65,0.65,320000,0.65
2011-01-19,0.65,0.65,0.65,0.65,110000,0.65
2011-02-23,0.65,0.65,0.65,0.65,4050000,0.65
2011-04-29,0.65,0.65,0.65,0.65,1000000,0.65
2011-07-19,0.65,0.65,0.65,0.65,500000,0.65
2011-09-08,0.65,0.65,0.65,0.65,200000,0.65
2011-10-21,0.65,0.65,0.65,0.65,200000,0.65
2011-11-03,0.65,0.65,0.65,0.65,500000,0.65
2011-12-14,0.65,0.65,0.65,0.65,300000,0.65
2011-12-15,0.65,0.65,0.65,0.65,4145771,0.65
2011-12-28,0.65,0.65,0.65,0.65,500000,0.65
2011-12-29,0.65,0.65,0.65,0.65,125000,0.65
2012-03-20,0.65,0.65,0.65,0.65,1014428,0.65
2012-04-20,0.65,0.65,0.65,0.65,1114428,0.65
2012-05-02,0.65,0.65,0.65,0.65,100000,0.65
2012-05-03,0.65,0.65,0.65,0.65,22073980,0.65
2012-05-22,0.65,0.65,0.65,0.65,300000,0.65
2012-05-25,0.65,0.65,0.65,0.65,500000,0.65
2012-05-29,0.65,0.65,0.65,0.65,500000,0.65
2012-06-05,0.65,0.71,0.71,0.71,1000000,0.71
2012-06-21,0.71,0.71,0.71,0.71,1500000,0.71
2012-06-22,0.71,0.71,0.71,0.71,1000000,0.71
2012-06-25,0.71,0.71,0.71,0.71,1000000,0.71
2012-06-27,0.71,0.71,0.71,0.71,2543285,0.71
2012-06-29,0.71,0.71,0.71,0.71,490348,0.71
2012-07-04,0.71,0.71,0.71,0.71,200000,0.71
2012-08-13,0.71,0.71,0.71,0.71,500000,0.71
2012-08-17,0.71,0.76,0.76,0.76,600000,0.76
2012-08-29,0.76,0.76,0.76,0.76,150000,0.76
2012-10-29,0.76,0.76,0.76,0.76,998500,0.76
2012-11-12,0.76,0.76,0.76,0.76,10000,0.76
2012-11-13,0.76,0.76,0.76,0.76,51500,0.76
2012-11-16,0.76,1.15,1.15,1.15,900000,1.15
2012-11-22,1.15,1.121,1.121,1.121,3239164,1.121
2012-11-23,1.121,1.35,1.15,1.35,3000000,1.35
2012-11-26,1.35,1.45,1.45,1.45,755593,1.45
2012-11-27,1.45,1.45,1.45,1.45,536543,1.45
