date,open,high,low,close,volume,adj_close
2009-06-12,0.65,0.65,0.65,0.65,234131,0.65
2009-07-23,0.65,0.65,0.65,0.65,5858745,0.65
2009-10-15,0.65,0.55,0.54,0.55,4146514,0.55
2009-11-25,0.55,0.55,0.55,0.55,640800,0.55
2009-12-15,0.55,0.55,0.55,0.55,483871,0.55
2010-01-15,0.55,0.55,0.55,0.55,1587300,0.55
2010-03-08,0.55,0.55,0.55,0.55,366171,0.55
2010-03-15,0.55,0.55,0.55,0.55,629466,0.55
2010-04-05,0.55,0.55,0.55,0.55,183085,0.55
2010-09-08,0.55,0.55,0.55,0.55,272000,0.55
2010-09-10,0.55,0.55,0.55,0.55,468824,0.55
2010-09-15,0.55,0.55,0.55,0.55,3410366,0.55
2010-10-12,0.55,0.56,0.56,0.56,1612903,0.56
2011-10-21,0.56,0.56,0.56,0.56,1362258,0.56
2011-11-14,0.56,0.56,0.56,0.56,4354839,0.56
2011-12-15,0.56,0.56,0.56,0.56,4354839,0.56
2012-03-20,0.56,0.56,0.56,0.56,457714,0.56
2012-04-20,0.56,0.56,0.56,0.56,457714,0.56
2012-06-21,0.56,0.651,0.651,0.651,1677419,0.651
2012-06-27,0.651,0.651,0.651,0.651,483271,0.651
2012-08-28,0.651,0.651,0.651,0.651,100000,0.651
2012-09-13,0.651,0.651,0.651,0.651,100000,0.651
2012-09-20,0.651,0.8,0.8,0.8,577419,0.8
2012-11-16,0.8,1.15,1.15,1.15,900000,1.15
2012-11-28,1.15,1.15,1.15,1.15,2006101,1.15
2012-12-03,1.15,0.7,0.7,0.7,1906101,0.7
2013-01-15,0.7,0.65,0.65,0.65,900000,0.65
2013-02-11,0.65,0.65,0.65,0.65,1830858,0.65
2013-02-25,0.65,0.65,0.65,0.65,64516,0.65
2013-03-05,0.65,0.65,0.65,0.65,4248246,0.65
2013-04-08,0.65,0.65,0.65,0.65,201394,0.65
2013-06-10,0.65,0.65,0.65,0.65,1612903,0.65
2013-07-09,0.65,0.65,0.65,0.65,250000,0.65
2013-08-09,0.65,0.65,0.65,0.65,250000,0.65
2013-11-06,0.65,0.65,0.65,0.65,3225806,0.65
2013-12-11,0.65,0.65,0.65,0.65,10000000,0.65
2014-01-06,0.65,0.65,0.65,0.65,20100000,0.65
2014-10-09,0.65,0.65,0.65,0.65,1742903,0.65
2015-04-20,0.65,0.65,0.65,0.65,85500,0.65
2015-06-19,0.65,0.65,0.65,0.65,264500,0.65
2015-11-02,0.65,0.65,0.65,0.65,500000,0.65
2016-04-20,0.65,0.65,0.65,0.65,86076,0.65
2016-05-10,0.65,0.65,0.65,0.65,256076,0.65
2016-05-11,0.65,0.65,0.65,0.65,504000,0.65
2016-06-16,0.65,0.6,0.6,0.6,7620666,0.6
2016-06-22,0.6,0.6,0.6,0.6,279334,0.6
2016-09-22,0.6,0.6,0.6,0.6,2000000,0.6
2016-11-10,0.6,0.6,0.6,0.6,5000000,0.6
2016-11-30,0.6,0.6,0.6,0.6,600000,0.6
2016-12-06,0.6,0.6,0.6,0.6,457714,0.6
2016-12-13,0.6,0.6,0.6,0.6,457714,0.6
2017-01-13,0.6,0.6,0.6,0.6,183085,0.6
2017-03-08,0.6,0.6,0.6,0.6,3225806,0.6
2017-03-21,0.6,0.6,0.6,0.6,3225806,0.6
2017-03-23,0.6,0.6,0.6,0.6,6451612,0.6
2017-05-29,0.6,0.6,0.6,0.6,250000,0.6
2017-07-03,0.6,0.6,0.6,0.6,126583,0.6
2017-09-11,0.6,0.6,0.6,0.6,159916,0.6
2017-09-13,0.6,0.6,0.6,0.6,853314,0.6
2017-09-21,0.6,0.6,0.6,0.6,143250,0.6
2018-01-18,0.6,0.6,0.6,0.6,446000,0.6
2018-02-07,0.6,0.6,0.6,0.6,1000000,0.6
2018-03-28,0.6,0.6,0.6,0.6,857714,0.6
2018-06-27,0.6,0.6,0.6,0.6,300000,0.6
2018-08-23,0.6,0.6,0.6,0.6,2119438,0.6
2018-12-10,0.6,0.6,0.6,0.6,37500,0.6
2019-01-03,0.6,0.6,0.6,0.6,220000,0.6
2019-07-15,0.6,0.6,0.6,0.6,457714,0.6
2019-07-23,0.6,0.6,0.6,0.6,183085,0.6
2019-10-22,0.6,0.6,0.6,0.6,0,0.6
2019-11-19,0.6,0.6,0.6,0.6,0,0.6
