date,open,high,low,close,volume,adj_close
2009-06-03,444.99,444.99,425,437.67,3310031,437.67
2009-06-04,438,441,437,437,2118002,437
2009-06-05,437,445,433,436.89,791509,436.89
2009-06-08,436.89,439,425,428,953040,428
2009-06-09,428,428.6,417,419,2868578,419
2009-06-10,419,430,419,429.99,2915956,429.99
2009-06-11,429.99,437.5,429.99,435,3209953,435
2009-06-12,435,435,425,428.55,1321497,428.55
2009-06-15,428.55,431,415,430.05,1290100,430.05
2009-06-16,430.05,431,412,414.46,2739217,414.46
2009-06-17,414.46,417,410,413.97,2595523,413.97
2009-06-18,413.97,415,410,410,5154548,410
2009-06-19,410,415,405.01,410.4,2756103,410.4
2009-06-22,405,430,390,402.3,3984499,402.3
2009-06-23,402.3,420,390.01,394.99,1871441,394.99
2009-06-24,394.99,400,390.1,393,772188,393
2009-06-25,393,400,390.11,395,769221,395
2009-06-26,395,410,393,410,791155,410
2009-06-30,410,420,400,405.07,764118,405.07
2009-07-01,405.07,410,406,406.01,376512,406.01
2009-07-02,406.01,406.01,395,400,315712,400
2009-07-03,400,400,395,398,303023,398
2009-07-06,398,398,390,397.8,155149,397.8
2009-07-07,397.8,395,390,390,281845,390
2009-07-08,390,391,386,386.48,213976,386.48
2009-07-09,386.48,387,385,385.77,353272,385.77
2009-07-10,385.77,386,384.99,384.99,540207,384.99
2009-07-13,384.99,395,384,390,1190432,390
2009-07-14,390,405,390,404.96,967315,404.96
2009-07-15,404.96,418,405,412,1616160,412
2009-07-17,412,412,405,405,221460,405
2009-07-20,405,416.1,405,415,480876,415
2009-07-21,415,415,405,413,759678,413
2009-07-22,413,410,400,400.33,1155768,400.33
2009-07-23,400.33,410,400.1,406.01,2747404,406.01
2009-07-24,406.01,410,406.5,408.46,3575817,408.46
2009-07-27,408.46,414,403,409,1354671,409
2009-07-28,409,410,404.01,408.9,565279,408.9
2009-07-29,408.9,410,404.5,409.99,1334590,409.99
2009-07-30,409.99,414,406,406.02,851058,406.02
2009-07-31,406.02,410,401,410,144868,410
2009-08-03,410,416,409,416,841134,416
2009-08-04,400,417,400,412,1127915,412
2009-08-05,412,415,408,411,333544,411
2009-08-06,411,412,401.11,405,5174285,405
2009-08-07,405,414.9,400.6,401.36,6109521,401.36
2009-08-10,410,410,401,404,194024,404
2009-08-11,404,404,400,403.99,426726,403.99
2009-08-12,403.99,405,401,401.94,464646,401.94
2009-08-13,401.94,402,398,400,759485,400
2009-08-14,400,400,396,400,223638,400
2009-08-17,400,400,391,392.12,1211899,392.12
2009-08-18,392.12,394,390,391.98,1849743,391.98
2009-08-19,391.98,392,388,390.1,682042,390.1
2009-08-20,390.1,398,390,398,510069,398
2009-08-21,405,405,393,392.86,667885,392.86
2009-08-24,392.86,390,381,384.98,1798726,384.98
2009-08-25,384.98,398,390,394,1700853,394
2009-08-26,394,404.5,394,404.07,1078431,404.07
2009-08-27,405,405,400,400,2245980,400
