date,open,high,low,close,volume,adj_close
2014-07-07,114.95,114.99,114.95,114.95,430,114.95
2014-07-23,114.95,110.34,109.8,109.93,846,109.93
2014-07-24,109.93,109.66,109.15,109.15,315,109.15
2014-07-28,109.15,108.5,108.5,108.5,500,108.5
2014-07-31,108.5,105.65,105.65,105.65,234,105.65
2014-08-06,105.65,103.98,103.94,103.94,180,103.94
2014-08-18,103.94,107.69,107.69,107.69,90,107.69
2014-08-20,107.69,109.45,109.45,109.45,400,109.45
2014-09-15,109.45,107.9,107.9,107.9,100,107.9
2014-11-18,107.9,109,109,109,81,109
2014-11-19,109,108.6,108.6,108.6,449,108.6
2014-11-24,108.6,108.88,108.88,108.88,45,108.88
2014-11-25,108.88,111,111,111,215,111
2014-12-09,111,113.43,113.43,113.43,91,113.43
2014-12-11,113.43,114.2,114.2,114.2,72,114.2
2014-12-16,114.2,112.62,112.62,112.62,98,112.62
2015-02-11,112.62,118.09,118.09,118.09,67,118.09
2015-02-12,118.09,119.25,119.1,119.1,300,119.1
2015-02-13,119.1,120.83,120.83,120.83,33,120.83
2015-02-23,120.83,124.08,124.02,124.08,117,124.08
2015-03-04,124.08,121,121,121,116,121
2015-03-11,121,118.54,117.85,118.54,184,118.54
2015-03-16,118.54,119.51,119.51,119.51,52,119.51
2015-04-06,119.51,118.32,118.32,118.32,42,118.32
2015-04-09,118.32,117.44,117.44,117.44,42,117.44
2015-05-08,117.44,118.45,118.45,118.45,8,118.45
2015-06-24,118.45,114.04,114.04,114.04,83,114.04
2015-07-10,114.04,109.95,109.95,109.95,135,109.95
2015-07-15,109.95,111.01,111.01,111.01,32,111.01
2015-08-19,111.01,98.22,98.22,98.22,250,98.22
2015-08-28,98.22,92.96,92.96,92.96,50,92.96
2015-09-01,92.96,90.01,90.01,90.01,32,90.01
2015-09-15,90.01,92.55,92.55,92.55,25,92.55
2015-09-24,92.55,86,86,86,52,86
2015-10-21,86,96.25,96.25,96.25,70,96.25
2015-12-14,96.25,92.46,92.46,92.46,66,92.46
2015-12-22,92.46,94.29,94.29,94.29,90,94.29
2016-05-27,94.29,100.44,100.44,100.44,42,100.44
2016-06-20,100.44,102.14,102.14,102.14,42,102.14
2016-07-01,102.14,102.65,102.65,102.65,22,102.65
2016-11-22,102.65,107.17,107.17,107.17,42,107.17
2016-11-25,107.17,108.95,108.62,108.62,138,108.62
2017-02-06,108.62,109.77,109.77,109.77,42,109.77
2017-06-16,109.77,120.5,120.5,120.5,87,120.5
2018-02-02,120.5,137.2,137.2,137.2,119,137.2
2018-03-23,137.2,124.46,124.46,124.46,119,124.46
2018-04-05,124.46,125.81,125.81,125.81,82,125.81
2018-08-20,125.81,134.85,134.85,134.85,83,134.85
2020-03-13,134.85,102.5,102.5,134.85,22,134.85
2020-04-09,134.85,65.02,65.02,134.85,35,134.85
