date,open,high,low,close,volume,adj_close
2009-06-03,733.1231,734.1152,724.1947,729.1549,218470,729.1549
2009-06-04,729.1549,739.0754,724.1947,733.1231,701783,733.1231
2009-06-05,733.1231,739.0754,729.1549,730.7323,405256,730.7323
2009-06-08,730.7322,729.1549,727.1708,727.1708,222519,727.1708
2009-06-09,727.1708,744.0356,726.1788,728.8474,682649,728.8474
2009-06-10,728.8474,762.8845,734.1152,762.8845,499303,762.8845
2009-06-11,774.7891,809.5108,774.7891,802.497,1026375,802.497
2009-06-12,808.5187,813.479,798.5983,808.5187,265868,808.5187
2009-06-15,813.4789,813.479,778.7573,778.7573,546341,778.7573
2009-06-16,778.7573,793.638,778.7573,790.6817,314874,790.6817
2009-06-17,790.6817,778.7573,763.8766,768.8368,280462,768.8368
2009-06-18,768.8369,773.7971,758.9164,758.9164,297567,758.9164
2009-06-19,763.9758,782.7255,763.9758,778.7573,259826,778.7573
2009-06-22,778.7573,783.7175,744.0356,748.9959,211599,748.9959
2009-06-23,744.0356,748.9959,714.2742,729.1549,149263,729.1549
2009-06-24,729.1549,753.9561,734.1251,753.9561,91433,753.9561
2009-06-25,763.8766,778.7573,758.9064,758.9164,53299,758.9164
2009-06-26,758.9163,766.8527,758.9164,766.8527,502957,766.8527
2009-06-30,766.8527,768.8368,763.8766,763.8766,29580,763.8766
2009-07-01,763.8766,753.9561,730.147,731.1192,50248,731.1192
2009-07-02,731.1192,744.0356,714.2742,720.2265,88776,720.2265
2009-07-03,720.2265,725.1867,714.2742,714.2742,152210,714.2742
2009-07-06,714.2742,714.2742,694.4333,703.8577,417470,703.8577
2009-07-07,703.8577,697.4094,694.3241,694.3241,112717,694.3241
2009-07-08,694.3242,694.4333,676.5764,676.5764,70622,676.5764
2009-07-09,676.5764,685.5048,684.5128,684.5128,165765,684.5128
2009-07-10,684.5128,679.5525,674.5923,674.5923,31493,674.5923
2009-07-13,674.5923,694.4333,674.5923,694.4333,137695,694.4333
2009-07-14,694.4333,695.4253,690.4651,694.4333,51002,694.4333
2009-07-15,694.4332,719.2344,694.4333,719.2344,199385,719.2344
2009-07-17,719.2344,739.0754,724.1947,729.1549,68881,729.1549
2009-07-20,729.155,737.0913,729.1549,736.9723,165371,736.9723
2009-07-21,736.9722,748.9959,737.0913,742.0515,284600,742.0515
2009-07-22,742.0515,742.0515,739.0754,742.0515,14434,742.0515
2009-07-23,742.0515,742.0515,742.0515,742.0515,33024,742.0515
2009-07-24,742.0515,739.0754,739.0754,739.0754,36173,739.0754
2009-07-27,739.0754,753.9561,729.1549,747.5177,48058,747.5177
2009-07-28,747.5177,744.0356,734.1152,744.0356,68679,744.0356
2009-07-29,744.0356,751.972,744.0356,744.0356,57572,744.0356
2009-07-30,744.0356,748.9959,739.0754,746.0197,159841,746.0197
2009-07-31,746.0197,746.0197,744.0356,746.0197,36314,746.0197
2009-08-03,746.0198,758.9164,746.0197,758.9164,44066,758.9164
2009-08-04,758.9163,768.8467,758.9164,768.8368,194718,768.8368
2009-08-05,768.8369,788.6778,773.7971,788.6778,203573,788.6778
2009-08-06,788.6778,787.6857,773.7971,773.7971,46071,773.7971
2009-08-07,773.7971,783.6183,773.7971,778.7573,92511,778.7573
2009-08-10,778.7573,783.7175,775.7812,775.7812,61596,775.7812
2009-08-11,775.7812,765.8607,758.9164,758.9164,292892,758.9164
2009-08-12,758.9163,783.7175,753.9561,778.5291,149976,778.5291
2009-08-13,778.5292,778.7573,778.2514,778.2514,56279,778.2514
2009-08-14,778.7573,778.7573,753.9561,756.9819,167232,756.9819
2009-08-17,756.9819,758.9164,753.9561,758.9164,195981,758.9164
2009-08-18,758.9164,783.7175,758.9164,776.6641,317743,776.6641
2009-08-19,776.6641,775.7812,766.8527,768.1126,257311,768.1126
2009-08-20,768.1126,768.8368,768.8269,768.8269,71065,768.8269
2009-08-21,768.8369,768.8467,763.8766,763.8766,220168,763.8766
2009-08-24,763.8766,765.9599,753.9561,763.8766,303285,763.8766
2009-08-25,763.8766,765.8607,763.8766,763.8766,124199,763.8766
2009-08-26,763.8766,768.8368,758.9164,758.9164,260471,758.9164
2009-08-27,758.9164,758.9164,748.9959,748.9959,104685,748.9959
2009-08-28,748.9958,754.9482,748.9959,753.9561,126884,753.9561
2009-08-31,753.9562,753.9561,729.1549,734.1152,201444,734.1152
2009-09-01,734.1151,739.0754,719.2344,719.2344,276246,719.2344
2009-09-02,719.2344,733.1231,714.175,733.1231,94033,733.1231
2009-09-03,733.1231,734.1152,726.1788,726.1788,40136,726.1788
2009-09-04,726.1788,734.1152,733.1231,734.1152,62835,734.1152
2009-09-07,734.1152,737.0913,724.1947,724.1947,35596,724.1947
2009-09-08,724.1946,725.1867,716.2583,717.538,438223,717.538
2009-09-09,717.538,739.0754,716.2583,723.2026,473393,723.2026
2009-09-10,723.2027,752.9641,724.1947,752.9641,532115,752.9641
2009-09-11,752.9641,773.7971,752.9641,763.8865,525019,763.8865
2009-09-14,763.8865,793.638,763.8766,785.5826,271581,785.5826
2009-09-15,783.7175,794.6301,783.7175,794.3622,1041678,794.3622
2009-09-16,794.3622,823.3994,798.5983,815.5623,1035751,815.5623
2009-09-17,815.5623,818.4392,808.4195,818.4392,266597,818.4392
2009-09-21,818.4392,818.4392,808.5187,816.4551,345523,816.4551
2009-09-22,816.4551,818.4392,813.479,818.4392,593939,818.4392
2009-09-23,818.4393,823.3994,793.638,797.0507,259791,797.0507
2009-09-24,797.0507,818.4392,796.6142,808.5187,99353,808.5187
2009-09-25,808.5187,813.479,798.5983,813.479,619253,813.479
2009-09-28,818.4392,868.0416,818.4392,866.0277,903046,866.0277
2009-09-29,864.0734,882.9223,863.0813,881.96,1003108,881.96
2009-09-30,886.3944,889.8666,882.9223,886.1861,1192118,886.1861
2009-10-01,886.1861,890.7595,877.9621,887.8825,13223700,887.8825
2009-10-02,887.8826,887.8924,877.9621,887.8131,1004647,887.8131
2009-10-05,887.813,887.8825,881.9302,881.9302,206559,881.9302
2009-10-06,887.8825,887.8825,872.9919,872.9919,377990,872.9919
2009-10-07,872.9919,882.9223,853.1609,853.1609,145413,853.1609
2009-10-08,853.1609,877.9621,871.0177,877.9621,262672,877.9621
2009-10-09,877.9621,877.9621,875.978,876.474,199151,876.474
2009-10-13,876.4739,892.8428,877.9621,887.8825,168482,887.8825
2009-10-14,887.8826,892.8428,873.0018,875.978,222824,875.978
2009-10-15,875.978,892.8428,872.0098,882.9223,99291,882.9223
2009-10-16,882.9223,892.8428,882.9223,882.9223,867511,882.9223
2009-10-19,882.9222,905.7394,882.9223,903.3485,180101,903.3485
2009-10-20,903.3485,920.6201,907.7235,918.5963,280540,918.5963
2009-10-21,918.5963,942.5443,920.63,937.4849,637251,937.4849
2009-10-22,937.4849,937.4849,934.5088,937.4849,186293,937.4849
2009-10-23,942.4451,952.3656,942.3459,947.6137,535491,947.6137
2009-10-26,947.6136,952.3656,942.4451,942.4451,177238,942.4451
2009-10-27,942.4452,942.3459,922.6042,927.9712,204766,927.9712
2009-10-28,927.9711,922.6042,893.8348,895.055,105527,895.055
2009-10-29,895.0551,912.6837,902.7632,911.5131,339264,911.5131
2009-10-30,911.5131,922.6042,907.7235,913.6758,226111,913.6758
2009-11-02,913.6758,917.644,893.934,894.0233,98999,894.0233
2009-11-03,894.0233,891.8507,882.9124,887.8825,41054,887.8825
2009-11-04,887.8825,897.8129,887.8825,893.8348,154304,893.8348
2009-11-05,893.8348,897.803,892.8428,892.8428,79321,892.8428
2009-11-06,892.8428,892.8428,877.9621,882.9223,232488,882.9223
2009-11-09,882.9222,892.8428,882.9223,887.0194,120207,887.0194
2009-11-10,887.0195,892.8428,882.9124,882.9223,781627,882.9223
2009-11-11,882.9223,881.9302,873.0018,878.9541,14680,878.9541
2009-11-12,878.9541,873.0018,863.0813,873.0018,51298,873.0018
2009-11-13,873.0018,873.0018,868.0416,873.0018,277570,873.0018
2009-11-16,873.0018,864.1726,863.5774,863.5774,51364,863.5774
2009-11-17,863.0814,863.0813,853.1609,853.1609,74099,853.1609
2009-11-18,853.1609,853.1609,833.3199,838.2802,87806,838.2802
2009-11-19,838.2802,828.3597,823.3994,828.3597,149256,828.3597
2009-11-20,828.3597,857.1291,823.3994,856.1767,132034,856.1767
2009-11-23,856.1767,858.1211,853.1609,853.1609,206082,853.1609
2009-11-24,853.1609,853.1609,853.1609,853.1609,60145,853.1609
2009-11-25,853.1609,853.1609,853.0617,853.1609,23493,853.1609
2009-11-26,853.1608,848.1014,848.1014,848.1014,1411,848.1014
2009-11-27,848.1014,843.1412,833.3199,833.3199,42245,833.3199
2009-11-30,833.3199,833.3199,833.3199,833.3199,84956,833.3199
2009-12-01,833.3199,833.3199,833.2207,833.2207,124521,833.2207
2009-12-02,833.2207,833.3298,828.3597,828.3597,370698,828.3597
2009-12-03,828.3597,843.2404,828.2605,828.3597,29979,828.3597
2009-12-04,828.3597,838.2802,828.3597,833.4092,1618115,833.4092
2009-12-07,833.4092,853.1609,852.1688,853.1609,368277,853.1609
2009-12-09,853.1609,858.2203,853.1609,858.1211,200158,858.1211
2009-12-10,858.1212,873.0018,853.1708,859.2223,566252,859.2223
2009-12-11,859.2223,868.0416,853.1609,853.1807,315990,853.1807
2009-12-14,853.1807,858.1211,853.1509,853.1609,221175,853.1609
2009-12-15,853.1609,853.1609,843.2305,843.3396,146188,843.3396
2009-12-16,843.3395,848.2006,838.2702,838.2702,113293,838.2702
2009-12-17,838.2703,838.2802,828.3498,828.3597,122075,828.3597
2009-12-18,828.3597,833.3199,827.3676,833.31,193735,833.31
2009-12-21,833.31,838.2802,825.3835,828.3597,827033,828.3597
2009-12-22,828.3597,828.3597,817.4472,817.4472,43722,817.4472
2009-12-23,817.4471,823.3994,808.5187,823.3002,304460,823.3002
2009-12-24,823.3002,823.3994,813.479,823.3994,82859,823.3994
2009-12-28,823.3994,843.2404,828.3597,842.9229,292819,842.9229
2009-12-29,842.923,863.0813,853.1609,862.9425,204126,862.9425
2009-12-30,863.0814,862.0893,861.5933,862.0893,698740,862.0893
2010-01-04,862.0894,892.8428,861.0972,892.8428,794152,892.8428
2010-01-05,892.8427,893.8348,882.9223,887.8428,402247,887.8428
2010-01-06,887.8428,891.8507,885.8984,887.9718,360251,887.9718
2010-01-07,887.9718,891.8507,882.8231,887.8825,774639,887.8825
2010-01-08,887.8825,887.8825,877.9621,885.3131,1501872,885.3131
2010-01-11,885.3131,902.7632,883.0215,883.0215,626972,883.0215
2010-01-12,882.9223,883.0215,863.0813,877.6049,416273,877.6049
2010-01-13,877.6049,892.8328,873.9939,892.2376,1063254,892.2376
2010-01-14,892.2376,897.803,882.9223,885.0155,265751,885.0155
2010-01-15,885.0155,887.8825,873.0018,882.9223,577482,882.9223
2010-01-18,882.9223,899.7871,882.9223,892.8527,862581,892.8527
2010-01-19,892.8527,892.8428,882.9223,884.0631,691556,884.0631
2010-01-20,884.0632,891.8507,873.0018,888.4877,83939,888.4877
2010-01-21,892.8427,892.8428,873.0018,874.3212,1128737,874.3212
2010-01-22,874.3213,892.8428,873.0018,892.8428,681992,892.8428
2010-01-25,892.8428,892.8428,877.9621,879.2914,150574,879.2914
2010-01-26,879.2914,882.9223,871.9106,871.9106,191571,871.9106
2010-01-27,873.0018,873.0018,863.0813,867.6844,212621,867.6844
2010-01-28,863.0813,868.0416,863.0714,863.0714,112881,863.0714
2010-01-29,863.0715,890.7595,863.0714,888.8746,203383,888.8746
2010-02-01,888.8746,887.8825,877.9621,880.2636,52794,880.2636
