date,open,high,low,close,volume,adj_close
2009-06-11,148,140,140,140,7992,140
2009-06-30,140,140,140,140,71400,140
2009-07-15,140,140.01,140,140.01,3570000,140.01
2009-07-20,140.01,140.01,140.01,140.01,1600,140.01
2009-07-22,140.01,140,140,140,3600,140
2009-07-28,140,140.01,140.01,140.01,469360,140.01
2009-08-06,140.01,140.01,140.01,140.01,3,140.01
2009-08-14,140.01,140.01,140.01,140.01,1500,140.01
2009-08-18,140.01,145,145,145,25000,145
2009-08-20,145,145,145,145,500000,145
2009-09-10,145,145,145,145,3196064,145
2009-09-14,145,145,145,145,1000000,145
2009-09-24,145,148,148,148,24008,148
2009-09-28,148,148,148,148,500000,148
2009-09-30,148,148,148,148,500000,148
2009-10-05,148,148,148,148,30000,148
2009-10-06,148,145,145,145,20000,145
2009-10-13,145,145,145,145,27500,145
2009-10-15,145,148.11,147,148.11,2000000,148.11
2009-10-20,148.11,148.11,148.11,148.11,13284,148.11
2009-10-23,148.11,148.02,148,148,3000000,148
2009-10-28,148,148,148,148,1000000,148
2009-11-02,148,148,148,148,3000000,148
2009-11-04,148,148,148,148,2536716,148
2009-11-06,148,150,148,150,5006500,150
2009-11-11,150,150,150,150,64802,150
2009-11-13,150,150,150,150,34015,150
2009-11-18,150,150,150,150,7000000,150
2009-11-23,150,150,150,150,2445,150
2009-11-26,150,148,140,148,80908,148
2009-12-21,148,140,140,140,13000,140
2009-12-22,140,140,140,140,10000,140
2010-01-06,140,140,140,140,90000,140
2010-01-07,140,140,140,140,10400,140
2010-01-08,140,140,140,140,5000000,140
2010-01-12,140,140,140,140,7500000,140
2010-01-13,140,150,150,150,7511146,150
2010-01-26,150,150,150,150,21667,150
2010-01-27,150,150,149.99,150,17147,150
2010-01-29,150,149.99,149.99,149.99,773385,149.99
2010-02-16,149.99,150,150,150,13334,150
2010-02-17,150,149.99,149.99,149.99,2310000,149.99
2010-02-25,149.99,150,150,150,3200,150
2010-03-04,150,140.01,140.01,140.01,8701912,140.01
2010-03-08,140.01,150,150,150,35000,150
2010-04-16,150,160,160,160,2640,160
2010-06-10,160,160,160,160,390000,160
2010-09-03,160,160,160,160,1250,160
2010-09-09,160,155,155,155,7180,155
2010-09-16,155,154,154,154,22677,154
2010-10-05,154,148,147.5,147.5,21858210,147.5
2010-10-06,147.5,140,140,140,7705180,140
2010-10-07,140,142,142,142,124218,142
2010-10-13,142,147,147,147,8400,147
2010-10-14,147,142,142,142,49610000,142
2010-10-15,142,142,142,142,13010,142
2010-10-21,142,144,143.5,143.7,17790,143.7
2010-11-25,143.7,144,144,144,68191,144
2010-12-03,144,143.5,143.5,143.5,56692,143.5
2010-12-09,143.5,143.5,142.99,143.5,181088,143.5
2010-12-15,143.5,143.5,143.5,143.5,66622,143.5
2010-12-30,143.5,150,150,150,284301,150
2011-01-14,150,150,150,150,25000,150
2011-04-05,150,140,140,140,45314760,140
2011-04-06,140,141,141,141,6961,141
2011-04-07,141,141,141,141,10140,141
2011-04-28,141,140,140,140,25000,140
2011-05-09,140,140,140,140,9196,140
2011-06-06,140,140,140,140,3754,140
2011-06-13,140,140,140,140,16000,140
2011-06-14,140,140,140,140,10096,140
2011-06-15,140,140,140,140,5537,140
2011-06-28,140,140,140,140,2500,140
2011-07-22,140,140,140,140,32887,140
2011-08-01,140,139.99,139.99,139.99,4218597,139.99
2011-09-20,139.99,139.99,139.99,139.99,10715,139.99
2011-10-07,139.99,139,139,139,7116,139
2011-10-21,139,139,139,139,6000,139
2011-11-16,139,139,139,139,448,139
2011-12-30,139,139,139,139,2000,139
2012-01-06,139,130,130,130,134062,130
2012-01-25,130,140.26,137,140.26,7678434,140.26
2012-01-26,140.26,140,140,140,21669470,140
2012-03-26,140,140,140,140,3757,140
2012-04-03,140,140,140,140,35000,140
2012-04-27,140,140,140,140,7745,140
2012-06-21,140,140,140,140,7116,140
2012-06-27,140,140,140,140,95,140
2012-08-02,140,140,140,140,29760430,140
2012-08-13,140,140,140,140,940,140
2012-09-10,140,139.9,139.9,139.9,13334,139.9
2012-09-25,139.9,140,140,140,24523,140
2012-11-30,140,140,140,140,22000000,140
2012-12-26,140,140,140,140,5000,140
2013-05-24,140,140,140,140,28046,140
2013-05-30,140,140,140,140,4361,140
2013-06-06,140,140,140,140,22000,140
2013-06-10,140,140,140,140,4800,140
2013-07-17,140,140,140,140,28346,140
2013-07-31,140,140,140,140,9560,140
2013-08-09,140,140,140,140,70774,140
2013-08-29,140,140,140,140,17699,140
2013-10-30,140,140,140,140,18819,140
2013-11-05,140,140,140,140,3600,140
2013-11-28,140,145,140,145,19922250,145
2013-12-18,145,145,145,145,8543,145
2013-12-20,145,140,140,140,150500,140
2014-01-22,140,140,140,140,78229,140
2014-02-10,140,140,140,140,6195,140
2014-03-05,140,140,140,140,18000,140
2014-04-10,140,140,140,140,40267,140
2014-04-22,140,140,140,140,93633,140
2014-05-02,140,140.12,140.12,140.12,44846,140.12
2014-06-09,140.12,140.13,140.13,140.13,14000,140.13
2014-06-11,140.13,140.13,140.13,140.13,4052,140.13
2014-06-19,140.13,140.13,140.13,140.13,1329,140.13
2014-06-25,140.13,140.14,140.14,140.14,150500,140.14
2014-07-03,140.14,140.14,140.14,140.14,150500,140.14
2014-07-04,140.14,140.14,140.14,140.14,150500,140.14
2014-07-21,140.14,140.13,140.13,140.13,5000,140.13
2014-07-31,140.13,140.52,140.52,140.52,150500,140.52
2014-08-26,140.52,142,142,142,14000,142
2014-09-24,142,142.01,142.01,142.01,30000,142.01
2014-11-07,142.01,142.01,142.01,142.01,2600,142.01
2014-12-02,142.01,142.2,142.2,142.2,6653,142.2
2014-12-16,142.2,142.2,142.2,142.2,5000,142.2
2014-12-18,142.2,142.2,142.2,142.2,5749,142.2
2015-02-11,142.2,140.53,140.53,140.53,6006,140.53
2015-02-12,140.53,140.53,140.53,140.53,2134,140.53
