date,open,high,low,close,volume,adj_close
2009-10-20,3.3,3.3,3.3,3.3,3309,3.3
2009-10-26,3.3,3.3,3.3,3.3,6347,3.3
2009-11-09,3.3,3.3,3.3,3.3,20880,3.3
2010-06-09,3.3,3.3,3.3,3.3,10,3.3
2010-09-02,3.3,3.3,3.3,3.3,5400,3.3
2011-02-08,3.3,3.61,3.61,3.61,13930160,3.61
2011-02-09,3.61,3.801,3.801,3.801,128760,3.801
2011-03-04,3.801,3.801,3.801,3.801,128760,3.801
2011-05-04,3.801,3.801,3.801,3.801,79903,3.801
2011-05-26,3.801,3.801,3.801,3.801,21354,3.801
2011-11-24,3.801,3.801,3.801,3.801,6345,3.801
2013-04-01,3.801,3.801,3.801,3.801,75,3.801
2013-04-24,3.801,3.801,3.801,3.801,8851,3.801
2013-05-09,3.801,3.801,3.801,3.801,121720,3.801
2013-06-10,3.801,3.801,3.801,3.801,3642,3.801
2013-07-24,3.801,3.801,3.801,3.801,203866,3.801
2013-10-16,3.801,3.801,3.801,3.801,5929,3.801
2013-11-28,3.801,3.801,3.801,3.801,23833,3.801
2014-01-06,3.801,3.8,3.8,3.8,3000000,3.8
2014-01-23,3.8,4,4,4,200000,4
2014-05-14,4.05,4.05,4.05,4.05,132098,4.05
2014-07-04,4.05,4.05,4.05,4.05,100000,4.05
2014-08-12,4.05,4.05,4.05,4.05,80,4.05
2014-09-10,4.05,4.05,4.05,4.05,40276,4.05
2014-09-23,4.05,4.05,4.05,4.05,360218,4.05
2014-09-29,4.05,4.05,4.05,4.05,8085,4.05
2014-10-03,4.05,4.05,4.05,4.05,5076,4.05
2014-11-03,4.05,4.05,4.05,4.05,100000,4.05
2014-11-20,4.05,4.05,4.05,4.05,10810,4.05
2015-04-10,4.05,4.05,4.05,4.05,3,4.05
2015-06-03,4.05,4.05,4.05,4.05,598,4.05
2015-06-16,4.05,4.05,4.05,4.05,598,4.05
2015-07-28,4.05,4.05,4.05,4.05,597,4.05
2015-08-20,4.05,9.2,9.2,9.2,69696970,9.2
2015-10-29,9.2,9.2,9.2,9.2,122997,9.2
2016-04-19,9.2,9.2,9.2,9.2,18000,9.2
2016-06-29,9.2,9.2,9.2,9.2,18810,9.2
2016-07-08,9.2,9.2,9.2,9.2,700000,9.2
2016-07-11,9.2,9.2,9.2,9.2,570434,9.2
2017-02-28,9.2,9.2,9.2,9.2,33562,9.2
2018-04-10,9.2,16.08,16.08,16.08,133333300,16.08
2018-04-12,16.08,16.08,16.08,16.08,4545455,16.08
2018-05-30,16.08,16.08,16.08,16.08,23529,16.08
2018-06-13,16.08,15.4,15.4,15.4,2976471,15.4
2018-07-12,15.4,15.4,15.4,15.4,23366,15.4
2018-07-26,15.4,15.4,15.4,15.4,206634,15.4
2018-10-09,15.4,15.4,15.4,15.4,4673,15.4
2018-11-13,15.4,16,16,16,153366,16
2019-03-18,16,16.5,16.5,16,230000,16
2019-06-21,16,16,16,16,14998,16
2019-06-26,16,16,16,16,13572,16
2019-06-28,16,16,16,16,2700,16
2019-08-21,16,16,16,16,11602,16
2019-10-22,16,16,16,16,0,16
2019-11-19,16,16,16,16,0,16
2019-11-20,16,16,16,16,0,16
2019-11-21,16,16,16,16,0,16
2019-11-23,16,16,16,16,0,16
2020-04-09,16,16,16,16,0,16
2020-04-18,16,16,16,16,0,16
2021-01-21,16,16.1,16.1,16.1,261270,16.1
