date,open,high,low,close,volume,adj_close
2013-03-21,57,57,57,57,200,57
2013-03-22,57,57.65,57.65,57.65,86,57.65
2013-03-25,57.65,56.7,56.7,56.7,176,56.7
2013-04-01,56.7,56.9,56.9,56.9,350,56.9
2013-04-03,56.9,58.51,58.51,58.51,176,58.51
2013-04-05,58.51,57.06,57.06,57.06,200,57.06
2013-04-25,57.06,60.15,60.15,60.15,2359,60.15
2013-04-26,60.15,59.5,59.5,59.5,199,59.5
2013-04-30,59.5,60.8,60.8,60.8,2160,60.8
2013-05-08,60.8,62.14,62.14,62.14,86,62.14
2013-06-13,62.14,64.94,64.68,64.94,286,64.94
2013-06-14,64.94,66.47,66.47,66.47,70,66.47
2013-06-17,66.47,66.29,66.27,66.29,240,66.29
2013-06-20,66.29,65.81,65.81,65.81,185,65.81
2013-06-21,65.81,65.5,65.5,65.5,151,65.5
2013-10-03,65.5,76.7,76.7,76.7,151,76.7
2013-10-16,76.7,78.05,78.05,78.05,320,78.05
2013-12-19,78.05,77.95,77.95,77.95,26,77.95
2014-01-03,77.95,77.17,77.17,77.17,121,77.17
2014-01-15,77.17,75.96,75.96,75.96,350,75.96
2014-03-14,75.96,74.58,74.58,74.58,185,74.58
2014-03-25,74.58,75,75,75,233,75
2014-03-26,75,74.55,74.55,74.55,73,74.55
2014-04-16,74.55,70.62,69.81,70.62,224,70.62
2014-04-23,70.62,70.72,70.58,70.58,87,70.58
2014-05-02,70.58,70.78,70.78,70.78,70,70.78
2014-05-06,70.78,70.12,69.5,69.5,269,69.5
2014-05-07,69.5,69.89,69.2,69.2,2318,69.2
2014-05-16,69.2,70.07,70.07,70.07,160,70.07
2014-05-23,70.07,72,72,72,1090,72
2014-05-27,72,73.45,73,73.45,941,73.45
2014-05-28,73.45,73.42,73.42,73.42,99,73.42
2014-06-03,73.42,74,74,74,556,74
2014-06-12,74,74.01,74.01,74.01,46,74.01
2014-07-07,74.01,79.2,79.1,79.1,400,79.1
2014-07-29,79.1,79.04,78.57,78.73,3681,78.73
2014-07-30,78.73,78.9,78.9,78.9,125,78.9
2014-07-31,78.9,77.7,77.7,77.7,124,77.7
2014-08-01,77.7,77.15,76.91,77.03,380,77.03
2014-08-04,77.03,77.5,77.5,77.5,1630,77.5
2014-08-06,77.5,77.2,77.2,77.2,129,77.2
2014-08-07,77.2,76.9,76.9,76.9,432,76.9
