date,open,high,low,close,volume,adj_close
2021-05-10,80813,80870,80720,80813,82,80813
2021-05-12,80813,79270,79270,80813,20,80813
2021-05-14,80813,78425,78340,80813,2,80813
2021-05-19,80813,78700,78700,80813,1,80813
2021-05-25,80813,83232,83232,80813,20,80813
2021-05-26,80813,83700,83700,80813,3,80813
2021-05-28,80813,82900,82900,80813,1,80813
2021-06-02,80813,81656,81410,80813,16,80813
2021-06-07,80813,80021,80021,80813,1,80813
2021-06-10,80813,80970,80730,80813,52,80813
2021-06-11,80813,81300,81300,80813,14,80813
2021-06-14,80813,81135,80700,81128,16,81128
