date,open,high,low,close,volume,adj_close
2021-01-25,0.2,0.2,0.162,0.162,46290840,0.162
2021-01-26,0.131,0.15,0.1,0.15,326958900,0.15
2021-01-27,0.115,0.115,0.115,0.115,12592360,0.115
2021-01-28,0.115,0.11,0.1,0.1,49379280,0.1
2021-01-29,0.1,0.1,0.1,0.1,24352950,0.1
2021-02-01,0.1,0.148,0.11,0.131,311703300,0.131
2021-02-02,0.135,0.132,0.11,0.11,170274200,0.11
2021-02-03,0.11,0.12,0.11,0.118,209393600,0.118
2021-02-04,0.118,0.11,0.1,0.1,126722200,0.1
2021-02-05,0.103,0.103,0.103,0.103,46911990,0.103
2021-02-08,0.108,0.11,0.1,0.109,132051200,0.109
2021-02-09,0.123,0.11,0.11,0.11,17201460,0.11
