date,open,high,low,close,volume,adj_close
2009-06-03,2.900855,3.0441,2.8956,2.8964,23427540,2.8964
2009-06-04,2.896343,2.9699,2.8214,2.8956,19808680,2.8956
2009-06-05,2.8956,2.9624,2.8956,2.8956,11458020,2.8956
2009-06-08,2.895623,2.8956,2.8585,2.8585,6095465,2.8585
2009-06-09,2.858477,2.8956,2.8214,2.8956,7468894,2.8956
2009-06-10,2.895623,2.8956,2.8511,2.8585,11184470,2.8585
2009-06-11,2.858496,2.8585,2.7471,2.7694,10845480,2.7694
2009-06-12,2.769354,2.9327,2.8214,2.9223,16565490,2.9223
2009-06-15,2.922329,2.8964,2.8214,2.8956,23277660,2.8956
2009-06-16,2.895633,2.929,2.8214,2.9038,13227260,2.9038
2009-06-17,2.903745,3.0441,2.8585,2.9869,48777780,2.9869
2009-06-18,3.044068,3.0441,2.8956,2.9327,42214320,2.9327
2009-06-19,2.932748,2.9327,2.8214,2.8882,5038405,2.8882
2009-06-22,2.932691,2.9327,2.7842,2.7842,15775700,2.7842
2009-06-23,2.784231,2.8956,2.8214,2.8956,16134390,2.8956
2009-06-24,2.895647,2.8956,2.8139,2.8214,11549730,2.8214
2009-06-25,2.8214,2.8214,2.8214,2.8214,6353338,2.8214
2009-06-26,2.821377,2.8956,2.8585,2.8585,3243245,2.8585
2009-06-30,2.8585,2.8585,2.8585,2.8585,2226810,2.8585
2009-07-01,2.858445,2.8065,2.7842,2.7842,14675220,2.7842
2009-07-02,2.784276,2.8214,2.7917,2.8214,4243859,2.8214
2009-07-03,2.821399,2.8214,2.7842,2.7917,2130335,2.7917
2009-07-06,2.791648,2.7471,2.5986,2.7471,7573147,2.7471
2009-07-07,2.7471,2.7471,2.6729,2.7471,6042105,2.7471
2009-07-08,2.747092,2.7174,2.5986,2.5986,16468010,2.5986
2009-07-09,2.59863,2.71,2.6729,2.71,4726594,2.71
2009-07-10,2.709977,2.7471,2.71,2.7471,3989629,2.7471
2009-07-13,2.747147,2.7323,2.6729,2.6729,3871428,2.6729
2009-07-14,2.672854,2.9327,2.6729,2.7471,31917060,2.7471
2009-07-15,2.747143,2.7842,2.6729,2.6922,5622557,2.6922
2009-07-17,2.692204,2.7471,2.6506,2.6729,5318682,2.6729
2009-07-20,2.672875,2.6803,2.6729,2.6803,3580558,2.6803
2009-07-21,2.680349,2.6729,2.6172,2.6358,17660570,2.6358
2009-07-22,2.6358,2.6358,2.6061,2.6358,6700500,2.6358
2009-07-23,2.635753,2.71,2.6358,2.71,5252159,2.71
2009-07-24,2.709997,2.6729,2.5986,2.6506,12589200,2.6506
2009-07-27,2.650604,2.7397,2.658,2.7397,10248910,2.7397
2009-07-28,2.739721,2.71,2.6803,2.6974,1818724,2.6974
2009-07-29,2.697377,2.6803,2.6803,2.6803,2082876,2.6803
2009-07-30,2.680325,2.6729,2.658,2.6729,2922850,2.6729
2009-07-31,2.6729,2.6729,2.6135,2.6729,4077928,2.6729
2009-08-03,2.6729,2.6729,2.5986,2.6729,7621063,2.6729
2009-08-04,2.672924,2.6358,2.6358,2.6358,1362391,2.6358
2009-08-05,2.635723,2.6358,2.5986,2.5986,8272875,2.5986
2009-08-06,2.5986,2.5986,2.5986,2.5986,833116,2.5986
2009-08-07,2.598676,2.6358,2.5615,2.6358,12747980,2.6358
2009-08-10,2.635798,2.5986,2.5244,2.5764,13307620,2.5764
2009-08-11,2.576326,2.5986,2.5244,2.5986,7394868,2.5986
