date,open,high,low,close,volume,adj_close
2009-06-03,123.9808,123.9808,123.9808,123.9808,65046,123.9808
2009-08-18,123.9808,121.5012,121.5012,121.5012,536868,121.5012
2009-08-26,121.5012,123.9808,123.9808,123.9808,10082,123.9808
2009-09-30,123.9808,123.9808,123.9808,123.9808,20679,123.9808
2009-10-20,123.9808,124.08,123.9808,123.9808,214747,123.9808
2009-12-15,123.9808,123.9808,123.9808,123.9808,30529,123.9808
2010-02-22,123.9808,123.9808,123.9808,123.9808,22740,123.9808
2010-03-18,123.9808,123.9808,123.9808,123.9808,24663,123.9808
2010-04-08,123.9808,123.9808,123.9808,123.9808,6504,123.9808
2010-04-20,123.9808,123.9808,123.9808,123.9808,62643,123.9808
2010-04-21,123.9808,123.9808,123.9808,123.9808,4237,123.9808
2010-05-05,123.9808,123.9808,123.9808,123.9808,64271,123.9808
2010-06-24,123.9808,123.9808,123.9808,123.9808,305838,123.9808
2010-07-09,123.9808,123.9808,123.9808,123.9808,246338,123.9808
2010-07-12,123.9808,123.9808,123.9808,123.9808,33440,123.9808
2010-07-13,123.9808,123.9808,123.9808,123.9808,907,123.9808
2010-07-23,123.9808,123.9808,123.9808,123.9808,25420,123.9808
2010-08-06,123.9808,123.9808,123.9808,123.9808,64761,123.9808
2010-08-17,123.9808,123.9808,123.9808,123.9808,9835,123.9808
2010-08-25,123.9808,123.9808,123.9808,123.9808,1815,123.9808
2010-08-26,123.9808,123.9808,123.9808,123.9808,907,123.9808
2010-09-13,123.9808,123.9808,123.9808,123.9808,17552,123.9808
2010-09-22,123.9808,123.9808,123.9808,123.9808,130093,123.9808
2010-09-29,123.9808,123.9808,123.9808,123.9808,30564,123.9808
2010-10-01,123.9808,123.9808,123.9808,123.9808,8844,123.9808
2010-10-05,123.9808,123.9808,123.9808,123.9808,9835,123.9808
2010-10-29,123.9808,123.9808,123.9808,123.9808,447,123.9808
2010-11-16,123.9808,123.9808,123.9808,123.9808,2420,123.9808
2010-11-22,123.9808,123.9808,123.9808,123.9808,302,123.9808
2011-01-13,123.9808,123.9808,123.9808,123.9808,5900,123.9808
2011-02-03,123.9808,123.9808,123.9808,123.9808,25874,123.9808
2011-02-28,123.9808,123.9808,123.9808,123.9808,9986,123.9808
2011-03-15,123.9808,123.9808,123.9808,123.9808,37223,123.9808
2011-03-18,123.9808,123.9808,123.9808,123.9808,3782,123.9808
2011-03-21,123.9808,123.9808,123.9808,123.9808,43577,123.9808
2011-03-31,123.9808,123.9808,123.9808,123.9808,1210,123.9808
2011-04-08,123.9808,123.9808,123.9808,123.9808,1967,123.9808
2011-04-25,123.9808,123.9808,123.9808,123.9808,85003,123.9808
2011-05-03,123.9808,123.9808,123.9808,123.9808,1063,123.9808
2011-05-05,123.9808,123.9808,123.9808,123.9808,42670,123.9808
2011-05-13,123.9808,123.9808,123.9808,123.9808,30868,123.9808
2011-05-18,123.9808,123.9808,123.9808,123.9808,6657,123.9808
2011-06-13,123.9808,123.9808,123.9808,123.9808,907,123.9808
2011-06-14,123.9808,123.9808,123.9808,123.9808,13919,123.9808
2011-10-04,123.9808,123.9808,123.9808,123.9808,41373,123.9808
2011-11-10,123.9808,123.9808,123.9808,123.9808,25572,123.9808
2011-11-16,123.9808,123.9808,123.9808,123.9808,11802,123.9808
2011-12-01,123.9808,123.9808,123.9808,123.9808,11952,123.9808
2011-12-09,123.9808,123.9808,123.9808,123.9808,7951,123.9808
2012-01-04,123.9808,123.9808,123.9808,123.9808,13010,123.9808
2012-01-10,123.9808,123.9808,123.9808,123.9808,8472,123.9808
2012-01-12,123.9808,123.9808,123.9808,123.9808,1324,123.9808
2012-01-26,123.9808,123.9808,123.9808,123.9808,8171,123.9808
2012-02-03,123.9808,123.9808,123.9808,123.9808,2118,123.9808
2012-02-07,123.9808,123.9808,123.9808,123.9808,3026,123.9808
2012-03-07,123.9808,123.9808,123.9808,123.9808,9078,123.9808
2012-03-21,123.9808,123.9808,123.9808,123.9808,139399,123.9808
2012-05-09,123.9808,123.9808,123.9808,123.9808,30868,123.9808
2012-05-31,123.9808,123.9808,123.9808,123.9808,1512,123.9808
2012-06-06,123.9808,123.9808,123.9808,123.9808,6052,123.9808
2012-06-12,123.9808,123.9808,123.9808,123.9808,235950,123.9808
2012-06-18,123.9808,123.9808,123.9808,123.9808,26199,123.9808
2012-06-28,123.9808,123.9808,123.9808,123.9808,173555,123.9808
2012-07-04,123.9808,123.9808,123.9808,123.9808,9628,123.9808
2012-07-31,123.9808,123.9808,123.9808,123.9808,30868,123.9808
2012-08-10,123.9808,123.9808,123.9808,123.9808,6504,123.9808
2012-08-22,123.9808,123.9808,123.9808,123.9808,16190,123.9808
2012-09-06,123.9808,123.9808,123.9808,123.9808,37071,123.9808
2012-10-02,123.9808,123.9808,123.9808,123.9808,1664,123.9808
2012-10-09,123.9808,123.9808,123.9808,123.9808,2272,123.9808
2012-10-24,123.9808,123.9808,123.9808,123.9808,39027,123.9808
2012-12-07,123.9808,123.9808,123.9808,123.9808,1967,123.9808
2013-01-30,123.9808,123.9808,123.9808,123.9808,39027,123.9808
2013-02-05,123.9808,123.9808,123.9808,123.9808,171740,123.9808
2013-02-18,123.9808,123.9808,123.9808,123.9808,1512,123.9808
2013-03-08,123.9808,123.9808,123.9808,123.9808,61282,123.9808
2013-04-01,123.9808,123.9808,123.9808,123.9808,14223,123.9808
2013-04-25,123.9808,123.9808,123.9808,123.9808,7565,123.9808
2013-04-29,123.9808,123.9808,123.9808,123.9808,907,123.9808
2013-05-02,123.9808,123.9808,123.9808,123.9808,6355,123.9808
2013-05-22,123.9808,123.9808,123.9808,123.9808,907,123.9808
2013-07-24,123.9808,123.9808,123.9808,123.9808,17401,123.9808
2013-08-26,123.9808,123.9808,123.9808,123.9808,4993,123.9808
2013-08-28,123.9808,123.9808,123.9808,123.9808,22500,123.9808
2013-09-10,123.9808,123.9808,123.9808,123.9808,907,123.9808
2013-11-27,123.9808,123.9808,123.9808,123.9808,95932,123.9808
2014-01-08,123.9808,123.9808,123.9808,123.9808,95932,123.9808
2014-02-07,123.9808,123.9808,123.9808,123.9808,808,123.9808
2014-02-10,123.9807,119.0215,119.0215,119.0215,22766,119.0215
2014-02-18,119.0215,119.0215,119.0215,119.0215,2444,119.0215
2014-03-20,119.0215,119.0215,119.0215,119.0215,1514,119.0215
2014-03-26,119.0216,123.9808,123.9808,123.9808,26018,123.9808
2014-03-28,123.9808,123.9808,123.9808,123.9808,22181,123.9808
2014-05-05,123.9808,123.9808,123.9808,123.9808,26018,123.9808
2014-06-04,123.9808,123.9808,123.9808,123.9808,268599,123.9808
2014-06-09,123.9808,123.9808,123.9808,123.9808,6049,123.9808
2014-07-07,123.9808,123.9808,123.9808,123.9808,2916,123.9808
2014-07-28,123.9808,124.4767,124.4767,124.4767,62492,124.4767
2014-08-14,124.4767,124.4767,124.4767,124.4767,540793,124.4767
2014-08-21,124.4767,124.4866,124.4866,124.4866,10082,124.4866
2014-09-09,124.4866,124.4866,124.4866,124.4866,78055,124.4866
2014-09-12,124.4866,124.4866,124.4866,124.4866,17291,124.4866
2014-10-08,124.4866,124.4866,124.4866,124.4866,907,124.4866
2014-11-25,124.4866,124.4767,124.4767,124.4767,37223,124.4767
2014-12-10,124.4767,124.4767,124.4767,124.4767,1512,124.4767
2014-12-15,124.4767,124.4767,124.4767,124.4767,30868,124.4767
2015-01-14,124.4767,124.4767,124.4767,124.4767,6506,124.4767
2015-03-10,124.4767,124.4767,124.4767,124.4767,1067,124.4767
2015-04-23,124.4767,124.4767,124.4767,124.4767,907,124.4767
2015-05-28,124.4767,124.4767,124.4767,124.4767,27841,124.4767
2015-05-29,124.4767,124.4767,124.4767,124.4767,3026,124.4767
2015-06-01,124.4767,124.4767,124.4767,124.4767,1664,124.4767
2015-06-03,124.4767,124.4767,124.4767,124.4767,10138,124.4767
2015-06-05,124.4767,124.4767,124.4767,124.4767,605,124.4767
2015-06-11,124.4767,124.4767,124.4767,124.4767,4421,124.4767
2015-06-22,124.4767,124.4767,124.4767,124.4767,1512,124.4767
2015-07-01,124.4767,124.4767,124.4767,124.4767,24815,124.4767
2015-07-30,124.4767,124.4767,124.4767,124.4767,1512,124.4767
2015-08-07,124.4767,124.4767,124.4767,124.4767,1967,124.4767
2015-08-11,124.4767,124.4767,124.4767,124.4767,827,124.4767
2015-08-12,124.4767,124.4767,124.4767,124.4767,807,124.4767
2015-08-17,124.4767,124.4767,124.4767,124.4767,33360,124.4767
2015-09-01,124.4767,124.4767,124.4767,124.4767,1967,124.4767
2015-09-03,124.4767,124.4767,124.4767,124.4767,7987,124.4767
2015-09-04,124.4767,124.4767,124.4767,124.4767,135879,124.4767
2015-11-06,124.4767,124.4767,124.4767,124.4767,10138,124.4767
2015-11-16,124.4767,124.4767,124.4767,124.4767,8322,124.4767
2015-12-14,124.4767,124.4767,124.4767,124.4767,5144,124.4767
2015-12-17,124.4767,124.4767,124.4767,124.4767,80337,124.4767
2015-12-24,124.4767,124.4767,124.4767,124.4767,32139,124.4767
2016-05-06,124.4767,124.4767,124.4767,124.4767,17456,124.4767
