date,open,high,low,close,volume,adj_close
2009-05-06,10,10,10,10,762432,10
2009-05-07,10,20,13,19.8,925943,19.8
2009-05-08,19.8,28.5,22,26.5,4483550,26.5
2009-05-11,26.5,25.5,25,25,529022,25
2009-05-12,25,29,24.5,28,2317842,28
2009-05-13,28,28,28,28,8025,28
2009-05-14,28,24,24,24,580458,24
2009-05-15,24,23.98,23,23.98,303119,23.98
2009-05-18,23.98,28,23.9,28,2053904,28
2009-05-19,28,28.01,28,28,1027971,28
2009-05-20,28,29,28.5,29,196946,29
2009-05-22,29,29,29,29,7250,29
2009-05-25,29,27,25,25,450508,25
2009-05-26,25,25,22,25,572619,25
2009-05-27,25,22,20,25,211522,25
2013-06-27,1.5,1.5,1.5,1.5,788287,1.5
2013-06-28,1.5,1.5,1.5,1.5,53648,1.5
2013-07-05,1.5,1.5,1.5,1.5,3602675,1.5
2013-07-08,1.5,1.5,1.5,1.5,10779,1.5
2013-07-09,1.5,1.5,1.5,1.5,3200000,1.5
2013-07-10,1.5,1.5,1.5,1.5,130212,1.5
2013-07-11,1.5,1.5,1.5,1.5,228324,1.5
2013-07-12,1.5,1.5,1.5,1.5,65114,1.5
2013-07-17,1.5,1.5,1.5,1.5,1842,1.5
2013-07-19,1.5,1.5,1.5,1.5,402478,1.5
2013-07-23,1.5,1.5,1.5,1.5,1000,1.5
2017-07-27,26.5,26.5,23,26.5,1334115,26.5
2017-07-28,26.5,24.99,20.15,24.99,2244681,24.99
2017-07-31,24.99,25.5,24,25.5,619197,25.5
2017-08-01,25.5,28,25,28.09,699088,28.09
2017-08-02,28.09,32,28.09,32,916827,32
2017-08-03,32,38,38,38,86277,38
2017-08-04,38,43,36,43,462234,43
2017-08-07,43,47.89,43,47.89,370473,47.89
2017-08-08,47.89,55,50,55,4280707,55
2017-08-09,55,58,49.6,50,184021,50
2017-08-10,50,46,40.1,40.1,368020,40.1
2017-08-11,40.1,38.19,34.01,38,421893,38
2017-08-14,38,45,42.01,45,57987,45
2017-08-16,45,48,45,45,81717,45
2017-08-17,45,48,44,47.9,410638,47.9
2017-08-18,47.9,50,48,48,388994,48
2017-08-21,48,40.01,40.01,40.01,150840,40.01
2017-08-22,40.01,41,33.51,40.01,485293,40.01
2017-08-23,40.01,34.5,33,40.01,585429,40.01
