date,open,high,low,close,volume,adj_close
2009-06-03,152.7233,152.7233,147.7966,148.9298,1620604,148.9298
2009-06-04,148.9298,151.7379,147.7966,151.5409,3636327,151.5409
2009-06-05,151.5409,154.6939,150.2501,150.2501,271339,150.2501
2009-06-08,150.2502,152.7233,151.7379,152.7233,1088397,152.7233
2009-06-09,152.7232,152.7233,152.5261,152.6247,227293,152.6247
2009-06-10,152.6247,154.6939,152.7233,153.7085,3031501,153.7085
2009-06-11,153.7085,161.591,154.6939,157.5611,3132294,157.5611
2009-06-12,157.5611,157.6498,149.7673,157.6498,386729,157.6498
2009-06-15,157.6498,157.6498,157.6498,157.6498,841,157.6498
2009-06-16,157.6497,155.5806,155.5806,155.5806,275040,155.5806
2009-06-17,155.5806,153.6987,153.6987,153.6987,128039,153.6987
2009-06-22,153.7085,151.7379,143.8554,147.4025,279504,147.4025
2009-06-24,147.4025,150.7526,147.7966,147.7966,32075,147.7966
2009-06-25,147.7966,151.7379,147.7966,147.7966,1565768,147.7966
2009-06-30,147.7968,149.7575,149.659,149.659,20298,149.659
2009-07-01,149.6589,147.7966,145.3334,145.3334,1440154,145.3334
2009-07-02,145.3334,148.7721,148.7721,148.7721,44841,148.7721
2009-07-03,148.7721,148.2893,148.2893,148.2893,668956,148.2893
2009-07-06,148.2894,152.7233,152.7134,152.7233,14440,152.7233
2009-07-09,152.7232,152.2305,147.7966,152.2305,101739,152.2305
2009-07-10,152.2305,151.7379,151.7379,152.2305,167460,152.2305
2009-07-13,152.2306,151.7281,151.6394,151.6394,1595665,151.6394
2009-07-14,151.6394,155.6792,150.7526,155.6792,1437957,155.6792
2009-07-15,155.6792,160.6057,151.7379,159.6204,155322,159.6204
2009-07-17,159.6204,163.5617,163.069,163.069,26571,163.069
2009-07-20,163.069,160.6057,137.9436,160.6057,6096,160.6057
2009-07-21,160.6057,160.3594,159.6105,160.3594,74250,160.3594
2009-07-27,160.3593,160.3594,157.6498,159.6105,538590,159.6105
2009-07-28,159.6105,158.635,150.2599,155.5806,2781432,155.5806
2009-07-29,155.5807,157.64,157.64,157.64,16350,157.64
2009-07-31,157.6398,157.1571,150.2698,157.0585,118954,157.0585
2009-08-03,157.0586,157.6498,149.7673,157.6005,180898,157.6005
2009-08-05,157.6006,154.6939,152.7233,154.6939,1563332,154.6939
2009-08-06,152.7233,157.64,152.7233,152.7233,74693,152.7233
2009-08-07,152.7232,156.6644,152.7233,156.6644,304259,156.6644
2009-08-10,156.6646,156.6644,152.7233,152.7233,31413,152.7233
2009-08-11,152.7232,151.7379,149.7673,151.7379,154957,151.7379
2009-08-12,157.6498,157.6498,155.6792,155.6792,330197,155.6792
2009-08-13,155.6791,157.5513,155.6792,157.4527,545304,157.4527
2009-08-14,157.4527,157.6498,152.7233,157.6498,513040,157.6498
2009-08-17,157.6497,157.6498,156.6644,156.6644,676102,156.6644
2009-08-18,156.6644,157.4527,156.6644,156.6644,156805,156.6644
