date,open,high,low,close,volume,adj_close
2009-06-05,150,150,150,150,2007,150
2009-06-16,150,157,157,157,27788,157
2009-06-17,157,157,157,157,3827,157
2009-06-18,157,157,157,157,14977,157
2009-07-07,157,157,157,157,834819,157
2009-07-10,157,157,157,157,898,157
2009-07-13,157,155,155,155,19143,155
2009-07-15,155,155,155,155,6841,155
2009-07-17,155,157,155,155,2891927,155
2009-07-20,155,155,155,155,1939,155
2009-07-24,155,155.01,155.01,155.01,12615,155.01
2009-07-28,155.01,155.01,155.01,155.01,796,155.01
2009-08-05,155.01,155.01,155.01,155.01,1208,155.01
2009-08-12,155.01,155.01,155.01,155.01,3638,155.01
2009-08-14,155.01,155.01,155.01,155.01,4885,155.01
2009-08-31,155.01,160,160,160,7423,160
2009-09-07,160,160,160,160,2474,160
2009-09-15,160,160,160,160,1941,160
2009-09-24,160,185,185,185,4771,185
2009-09-30,185,185,185,185,6639,185
2009-10-01,185,210,210,210,10000,210
2009-10-07,210,230,230,230,5895,230
2009-10-08,230,230,230,230,2106,230
2009-10-14,230,245.1,245.1,245.1,17894,245.1
2009-10-21,245,245.1,245.1,245.1,203,245.1
2009-12-29,245.1,240,238.9,240,53334,240
2010-01-04,240,240,240,240,1756,240
2010-01-05,240,240,240,240,5707,240
2010-01-19,240,240,240,240,3866,240
2010-01-29,240,240,240,240,1619,240
2010-02-17,240,240,240,240,286,240
2010-04-23,240,240,240,240,1245,240
2010-07-23,240,200,200,200,41837,200
2010-07-27,200,180,180,180,4421,180
2010-07-28,200,200,200,200,4368,200
2010-08-04,200,200,200,200,1000,200
2010-08-10,200,180,180,180,10599,180
2010-08-11,180,180,180,180,1196,180
2010-08-12,180,180,180,180,1206,180
2010-08-24,180,180,180,180,9119,180
2010-08-26,180,180,180,180,1933,180
2010-08-27,180,180,180,180,2227,180
2010-08-31,180,180,180,180,2359,180
2010-09-08,180,180,180,180,15520,180
2010-09-09,180,180,180,180,4368,180
2010-09-23,180,180,180,180,1922,180
2010-10-01,180,170,170,170,4383,170
2010-10-05,170,170,170,170,1196,170
2010-10-14,170,170,170,170,300,170
2010-10-21,170,170,170,170,412,170
2010-10-25,170,170,170,170,1234,170
2010-11-02,170,170,170,170,386,170
2010-11-05,170,170,170,170,1060,170
2010-11-12,170,170,170,170,637,170
2010-11-18,170,170,170,170,204,170
2010-11-23,170,180,180,180,21368,180
2010-11-24,180,180,180,180,204,180
2010-11-25,180,180,180,180,350000,180
2010-12-07,180,180,180,180,200,180
2010-12-14,180,180,180,180,100,180
2010-12-28,180,180,180,180,1333,180
2011-01-13,180,180,180,180,1333,180
2011-02-11,180,176,176,176,5800,176
2011-02-14,176,176,176,176,91,176
2011-02-23,176,176,176,176,143807,176
2011-03-04,176,176,176,176,360,176
2011-03-08,176,176,176,176,1234,176
2011-03-16,176,176,176,176,1933,176
2011-03-17,176,176,176,176,2515,176
2011-03-28,176,176,176,176,436,176
2011-03-31,176,176,176,176,335,176
2011-04-01,176,176,176,176,7906,176
2011-04-07,176,176,176,176,61793,176
2011-04-12,176,176,176,176,4000,176
2011-04-29,176,176,176,176,2881,176
2011-05-04,176,176,176,176,1630,176
2011-05-05,176,176,176,176,7545,176
2011-05-13,176,176.1,176.1,176.1,3533,176.1
2011-05-16,176.1,176.1,176.1,176.1,765,176.1
2011-05-20,176.1,176.1,176.1,176.1,1625,176.1
2011-05-26,176.1,176.1,176.1,176.1,667,176.1
2011-05-27,176.1,176.1,176.1,176.1,39,176.1
2011-05-31,176.1,176.1,176.1,176.1,667,176.1
2011-06-02,176.1,176,176,176,13473,176
2011-06-03,176,176,176,176,7649,176
2011-06-06,176,176,176,176,667,176
2011-06-10,176,176,176,176,9661,176
2011-06-22,176,176,176,176,1546,176
2011-07-05,176,176,176,176,294,176
2011-07-14,176,170,170,170,18160,170
2011-08-30,170,170,170,170,2644,170
2011-09-01,170,170,170,170,1575,170
2011-09-02,170,155,154,155,224757,155
2011-09-08,150,150,150,150,50237,150
2011-09-09,150,150,150,150,1895,150
2011-09-22,150,150,150,150,1003,150
2011-09-27,150,145,145,145,33022,145
2011-10-12,145,145,145,145,206,145
2011-10-19,145,145,145,145,32606,145
2011-10-25,145,145,145,145,667,145
2011-10-28,145,145,145,145,35,145
2011-11-02,145,145,145,145,1046,145
2011-11-09,145,145,145,145,1067,145
2011-11-17,145,145,145,145,1281,145
2011-11-18,145,145,145,145,205,145
2011-11-23,145,145,145,145,1291,145
2011-11-29,145,145,145,145,288,145
2011-12-22,145,145,145,145,1509,145
2011-12-28,145,140.11,140.11,140.11,2247526,140.11
2011-12-30,140.11,140.11,140.11,140.11,192,140.11
2012-01-02,140.11,140.11,140.11,140.11,192,140.11
2012-01-03,140.11,140.11,140.11,140.11,2810,140.11
2012-01-06,140.11,140.11,140.11,140.11,799,140.11
2012-01-12,140.11,140.11,140.11,140.11,18,140.11
2012-02-17,140.11,140.11,140.11,140.11,3001,140.11
2012-02-27,140.11,140.11,140.11,140.11,1862,140.11
2012-02-28,140.11,140.11,140.11,140.11,1509,140.11
2012-02-29,140.11,155,155,155,2317763,155
2012-03-07,155,153,153,153,13492,153
2012-03-08,153,150,150,150,9169,150
2012-03-13,150,150,150,150,2121,150
2012-04-02,150,150,150,150,8204,150
