date,open,high,low,close,volume,adj_close
2009-06-08,160,170,170,170,10000,170
2009-06-30,170,170,170,170,9188,170
2009-07-17,170,165,165,165,8824,165
2009-07-20,165,165,165,165,1504,165
2009-08-04,165,165,165,165,6317,165
2009-08-14,165,165,165,165,5327,165
2009-08-24,165,165,165,165,35410,165
2009-08-25,165,165.02,165,165,200110,165
2009-08-31,165,165,165,165,77,165
2009-09-21,165,165,165,165,5000,165
2009-10-06,165,150,145,145,60000,145
2009-10-19,145,140,140,140,29312,140
2009-10-30,140,135,125,135,130328,135
2009-11-04,135,135,135,135,1250,135
2009-11-19,135,125,124,125,128143,125
2009-11-24,125,125,125,125,3860,125
2009-12-03,125,115,115,115,161859,115
2009-12-10,115,115,115,115,1814,115
2009-12-16,115,115,115,115,2000,115
2009-12-28,115,115,115,115,5735,115
2009-12-29,115,114.7,114.7,114.7,5062,114.7
2010-01-04,114.7,115,115,115,47054,115
2010-01-05,115,115,115,115,669,115
2010-01-07,115,115,115,115,1841,115
2010-01-18,115,115,115,115,30,115
2010-01-19,115,130,130,130,10206,130
2010-01-21,130,130,130,130,158,130
2010-01-28,130,130,130,130,167,130
2010-02-04,130,130,130,130,6268,130
2010-02-22,130,140,140,140,10000,140
2010-02-23,140,141,141,141,32928,141
2010-03-10,141,130,130,130,25000,130
2010-03-15,130,125,125,125,4000,125
2010-03-16,125,123,123,123,4026,123
2010-03-18,123,123,123,123,9302,123
2010-03-19,123,120,120,120,167000,120
2010-03-23,120,120,120,120,9188,120
2010-03-29,120,120,120,120,47,120
2010-04-13,120,115,115,115,4302,115
2010-04-14,115,115,115,115,10000,115
2010-04-20,115,115,115,115,1793,115
2010-04-21,115,115,115,115,413,115
2010-04-22,115.01,115,115,115,535,115
2010-04-30,115,115,115,115,28,115
2010-05-07,115,115.01,115.01,115.01,4167,115.01
2010-05-19,115.01,115.01,115.01,115.01,372,115.01
2010-05-25,115.01,115.01,115.01,115.01,388,115.01
2010-05-31,115.01,115.01,115.01,115.01,1400,115.01
2010-06-04,115.01,115.01,115.01,115.01,4167,115.01
2010-06-08,115.01,100,100,100,8534,100
2010-06-09,100,102.5,102.5,102.5,10000,102.5
2010-06-11,102.5,102.5,102.5,102.5,2003,102.5
2010-06-14,102.5,102.5,102.5,102.5,21123,102.5
2010-06-15,102.5,103,103,103,7160,103
2010-06-17,103,103,103,103,1537,103
2010-06-18,103,103,103,103,54,103
2010-06-21,103,105,105,105,15212,105
2010-06-25,105,105.1,105.1,105.1,1000000,105.1
2010-07-02,105.1,105.1,105.1,105.1,746461,105.1
2010-07-13,105.1,105.1,105.1,105.1,77,105.1
2010-07-14,105.1,105,105,105,4684,105
2010-07-15,105,105,105,105,12519,105
2010-07-22,105,101.1,101.1,101.1,7643,101.1
2010-07-27,101.1,101.1,101.1,101.1,29,101.1
2010-07-29,101.1,101.1,101.1,101.1,35,101.1
2010-07-30,101.1,101.1,101.1,101.1,28,101.1
2010-08-02,101.1,102.1,102.1,102.1,42679,102.1
2010-08-03,102.1,102.1,102.1,102.1,980,102.1
2010-08-06,102.1,102.1,102.1,102.1,4167,102.1
2010-08-09,102.1,102.1,102.1,102.1,659,102.1
2010-08-10,102.1,102.1,102.1,102.1,2276,102.1
2010-08-13,102.1,110,110,110,60000,110
2010-08-16,110,110,110,110,1190,110
2010-09-01,110,110,110,110,671,110
