date,open,high,low,close,volume,adj_close
2013-12-11,790,790,789,790,15890,790
2013-12-12,790,790,790,790,119,790
2013-12-16,790,790,790,790,119,790
2014-01-02,790,788,765,765,5249,765
2014-03-07,765,765,765,765,233,765
2014-03-31,765,750,750,750,8800,750
2014-04-09,750,750,750,750,898,750
2014-04-14,750,750,750,750,208,750
2014-05-12,750,750,750,750,1296,750
2014-05-13,750,750,750,750,792,750
2014-05-15,750,1350,1350,1350,400,1350
2014-06-02,1350,750,750,750,3384,750
2014-06-03,750,765,765,765,792,765
2014-06-09,765,900,900,900,654,900
2014-06-10,900,1150,1050,1150,968,1150
2014-06-12,1150,1100,1100,1100,2047,1100
2014-06-13,1100,1100,1100,1100,2000,1100
2014-06-17,1100,1100,1100,1100,1953,1100
2014-06-23,1100,1100,1100,1100,146,1100
2014-06-24,1100,1100,1100,1100,400,1100
2014-09-22,1100,1100,1100,1100,177,1100
2014-09-24,1100,990,990,990,7176,990
2014-10-03,990,985,985,985,36762,985
2014-10-10,985,985,985,985,2134,985
2014-10-13,985,985,985,985,1512,985
2014-10-17,985,985,985,985,246,985
2014-10-30,985,985,985,985,378,985
2014-11-05,985,1000,1000,1000,2032,1000
2014-11-12,1000,1000,1000,1000,352,1000
2014-11-18,1000,1000,1000,1000,170,1000
2014-11-19,1000,1000,1000,1000,1400,1000
2014-11-27,1000,1000,1000,1000,2849,1000
2014-12-09,1000,1000,1000,1000,1030,1000
2014-12-10,1000,1000,1000,1000,1141,1000
2014-12-11,1000,1000,1000,1000,49,1000
2014-12-15,1000,1000,1000,1000,1389,1000
2014-12-16,1000,1000,1000,1000,466,1000
2014-12-22,1000,1000,1000,1000,3750,1000
2015-01-05,1000,1000,1000,1000,352,1000
2015-01-20,1000,1000,1000,1000,100,1000
2015-01-21,1000,1000,1000,1000,188,1000
2015-01-23,1000,1000,1000,1000,1318,1000
2015-01-26,1000,1000,1000,1000,1000,1000
2015-01-30,1000,1000,1000,1000,1003,1000
2015-02-03,1000,1000,1000,1000,130,1000
2015-02-10,1000,1000,1000,1000,997,1000
2015-02-12,1000,1000,1000,1000,238,1000
2015-02-24,1000,1000,1000,1000,1218,1000
2015-03-09,1000,1000,1000,1000,1034,1000
2015-03-16,1000,1000,1000,1000,130,1000
2015-03-19,1000,1000,1000,1000,5352,1000
2015-03-20,1000,1000,1000,1000,347,1000
2015-03-26,1000,1000,1000,1000,500,1000
2015-04-06,1000,1001,1001,1001,1114,1001
2015-04-08,1001,1051.1,1050,1051.1,1950,1051.1
2015-04-09,1051.1,1051.1,1051.1,1051.1,92,1051.1
2015-04-15,1051.1,1053.1,1053.1,1053.1,566,1053.1
2015-04-17,1053.1,1100,1100,1100,908,1100
2015-04-20,1100,1100,1100,1100,208,1100
2015-04-21,1100,1150,1150,1150,10125,1150
2015-04-22,1150,1200,1200,1200,9875,1200
2015-04-23,1200,1200,1200,1200,12620,1200
2015-04-24,1200,1220,1220,1220,5000,1220
2015-04-27,1220,1220,1220,1220,75,1220
2015-05-04,1220,1220,1220,1220,524,1220
2015-05-08,1220,1220,1220,1220,4500,1220
2015-05-14,1220,1220,1220,1220,10425,1220
2015-05-15,1220,1220,1220,1220,200,1220
