date,open,high,low,close,volume,adj_close
2009-06-03,427.8947,427.8947,423.9959,427.885,29636,427.885
2009-06-04,427.885,428.8792,426.92,428.8695,263045,428.8695
2009-06-05,428.8695,433.743,428.8695,428.8695,711178,428.8695
2009-06-08,428.8694,428.772,423.9959,423.9959,11904,423.9959
2009-06-09,423.996,428.8695,425.9453,426.8421,805160,426.8421
2009-06-10,426.8421,438.6165,426.8713,438.6165,168323,438.6165
2009-06-11,438.6165,448.3635,439.5912,448.3635,37257,448.3635
2009-06-12,448.3635,453.237,439.5912,453.237,281448,453.237
2009-06-15,453.237,453.237,453.237,453.237,1490674,453.237
2009-06-16,453.237,458.1105,453.237,458.1105,24044,458.1105
2009-06-17,458.1106,460.06,453.237,453.2468,44662,453.2468
2009-06-18,453.2468,451.2876,448.3635,451.2876,128191,451.2876
2009-06-19,451.2877,458.1105,453.237,453.2468,230475,453.2468
2009-06-22,453.2468,454.2117,433.743,433.743,3027206,433.743
2009-06-23,428.9669,448.3635,428.8695,433.743,417744,433.743
2009-06-24,433.743,447.3888,433.743,433.743,1330779,433.743
2009-06-25,428.8695,433.743,428.8695,433.743,717684,433.743
2009-06-26,433.743,433.743,428.8695,433.743,30217,433.743
2009-06-30,433.7429,433.743,423.0212,423.9959,182118,423.9959
2009-07-01,423.996,428.8695,428.8695,428.8695,5934,428.8695
2009-07-02,428.8694,427.8947,427.8947,427.8947,2995,427.8947
2009-07-07,427.8947,426.92,424.9706,426.92,1125189,426.92
2009-07-08,426.9201,419.1224,419.1127,419.1127,647534,419.1127
2009-07-09,419.1127,419.1127,417.6604,419.1127,138763,419.1127
2009-07-10,419.1126,423.9959,419.1224,423.9959,211910,423.9959
2009-07-13,423.996,428.8695,423.9959,428.8695,161509,428.8695
2009-07-14,428.8694,434.2303,434.2303,434.2303,3066,434.2303
2009-07-15,434.2303,441.5406,433.743,441.5406,40256,441.5406
2009-07-20,441.5406,442.0767,441.4431,442.0767,40108,442.0767
2009-07-21,442.0767,443.49,442.0279,443.49,36845,443.49
2009-07-22,443.49,448.3635,448.3635,448.3635,1539,448.3635
2009-07-23,448.3635,453.237,448.3635,453.237,481138,453.237
2009-07-27,453.237,448.3635,448.3635,448.3635,39228,448.3635
2009-07-28,448.3636,443.49,443.4803,443.4803,14045,443.4803
2009-07-30,443.4803,453.237,446.4141,446.4531,15677,446.4531
2009-07-31,446.4531,452.2623,446.4141,452.2623,4932,452.2623
2009-08-03,452.2623,452.2623,451.2779,451.2876,45339,451.2876
2009-08-04,451.2876,458.1105,453.237,453.237,31061,453.237
2009-08-05,453.237,453.237,453.237,453.237,1088,453.237
2009-08-06,453.237,458.1203,453.237,458.1203,94899,458.1203
2009-08-07,458.1203,462.9841,462.0094,462.9061,38053,462.9061
2009-08-10,462.9061,477.6046,462.9841,477.6046,136856,477.6046
