date,open,high,low,close,volume,adj_close
2009-06-01,29.5,29.5,29.5,29.5,153424,29.5
2009-06-05,29.5,30,30,30,27900,30
2009-06-08,30,30,30,30,72574,30
2009-06-15,30,30,30,30,10000,30
2009-06-16,30,30,30,30,50000,30
2009-06-25,30,30,30,30,1455,30
2009-06-26,30,30,30,30,9,30
2009-07-01,30,30,30,30,982,30
2009-07-03,30,30,30,30,4245,30
2009-07-13,30,30,30,30,2971,30
2009-07-14,30,30,30,30,27900,30
2009-07-15,30,30,30,30,3000,30
2009-07-24,30,31,31,31,242377,31
2009-07-28,31,31,31,31,6652,31
2009-08-07,31,32,32,32,17581,32
2009-08-10,32,32,32,32,3549,32
2009-08-11,32,32,32,32,11968,32
2009-08-14,32,32,32,32,7288,32
2009-08-21,32,32.75,32.75,32.75,20000,32.75
2009-08-26,32.75,32.75,32.75,32.75,20867,32.75
2009-08-27,32.75,32.75,32.75,32.75,19133,32.75
2009-09-22,32.75,32.75,32.75,32.75,83554,32.75
2009-10-07,32.75,31,31,31,100000,31
2009-10-19,31,31,31,31,129555,31
2009-10-21,31,31,31,31,11896,31
2009-10-27,31,31,31,31,560098,31
2009-10-29,31,31.25,31.25,31.25,87506,31.25
2009-11-04,31.25,31,31,31,24960,31
2009-11-09,31,40,38.01,40,161070,40
2009-11-12,40,41,41,41,539143,41
2009-11-17,41,39,39,39,34789,39
2009-11-18,39,39,38,38,511295,38
2009-11-19,38,38,38,38,138600,38
2009-11-26,38,37.5,37.5,37.5,25000,37.5
2009-11-30,37.5,37.5,37.5,37.5,6604,37.5
2009-12-09,37.5,37.5,37.5,37.5,9046,37.5
2009-12-10,37.5,38,38,38,15922,38
2009-12-14,38,38,38,38,20000,38
2010-01-20,38,43,43,43,85000,43
2010-01-21,43,43,43,43,1312,43
2010-01-22,43,43.5,43.5,43.5,50000,43.5
2010-01-28,43.5,50,46,50,2396738,50
2010-01-29,50,50,50,50,64538,50
2010-02-03,50,51,51,51,30000,51
2010-02-04,51,51,51,51,500000,51
2010-02-24,51,51.5,51.5,51.5,147116,51.5
2010-03-02,51.5,51,51,51,52338,51
2010-03-03,51,51,51,51,100000,51
2010-03-04,51,49,49,49,19718,49
2010-03-09,49,51,51,51,150000,51
2010-03-10,51,51,51,51,150000,51
2010-03-16,51,52,51,52,616060,52
2010-03-26,52,50,50,50,85227,50
2010-03-30,50,50,50,50,2499,50
2010-03-31,50,50,50,50,1500,50
2010-04-09,50,54,50,54,212200,54
2010-04-12,54,55,55,55,500000,55
2010-04-20,55,55,55,55,16217,55
2010-04-23,55,55,55,55,22039,55
2010-04-30,55,57,57,57,250000,57
2010-05-03,57,60,60,60,10000,60
2010-05-04,60,60,60,60,11666,60
2010-05-06,60,60,60,60,92268,60
2010-05-13,60,60,60,60,65000,60
2010-06-03,60,60,60,60,2850,60
2010-06-08,60,57,57,57,10000,57
2010-06-09,57,60,58,60,236581,60
2010-06-14,60,60,60,60,2569,60
2010-06-16,60,56.5,56.5,56.5,23396,56.5
2010-06-17,56.5,60,60,60,2000000,60
2010-06-22,60,60,60,60,150,60
2010-06-25,60,71.5,65,71.5,32482,71.5
2010-07-13,71.5,71.5,71.5,71.5,7526,71.5
2010-07-20,71.5,85,85,85,7203,85
2010-07-21,85,98,92,98,312844,98
2010-07-22,98,98,98,98,97266,98
2010-07-30,98,95,94.9,95,41490,95
2010-08-02,95,93,91,91,150000,91
2010-08-03,91,95,95,95,28173,95
2010-08-04,95,95,95,95,17630,95
2010-08-05,95,102,100,102,85302,102
2010-08-06,102,105,105,105,18106,105
2010-08-09,105,110,110,110,107019,110
2010-08-10,110,105,105,105,45898,105
2010-08-11,105,105,105,105,21639,105
2010-08-13,105,103,103,103,9889,103
2010-08-16,101,105,100,102,172818,102
2010-08-18,102,102,93,100,134572,100
2010-08-19,100,98,98,98,101984,98
2010-08-24,98,98,94,98,48315,98
2010-08-25,98,98,98,98,58304,98
2010-09-01,98,94.11,94.1,94.1,115762,94.1
2010-09-03,94.1,95,95,95,60676,95
2010-09-07,95,95,95,95,302,95
2010-09-08,95,95,95,95,14771,95
2010-09-09,95,97,97,97,50000,97
2010-09-10,97,95,95,95,29520,95
2010-09-14,95,97,97,97,256182,97
2010-09-15,97,97,96.9,96.9,63712,96.9
2010-09-16,96.9,96,95,95,2186649,95
2010-09-21,95,97,97,97,50000,97
2010-09-22,97,97,97,97,50000,97
2010-09-24,97,97,97,97,58000,97
2010-09-27,97,97,97,97,50000,97
2010-09-28,97,97,97,97,1546,97
2010-09-29,97,97,97,97,60000,97
2010-09-30,97,97,97,97,54218,97
2010-10-01,97,97,97,97,69692,97
2010-10-05,97,102,98,102,181700,102
2010-10-06,102,106,105,106,344454,106
2010-10-07,106,106,98,98,98658,98
2010-10-08,98,106,103,106,97892,106
2010-10-12,106,106,105,106,2978725,106
2010-10-13,106,108,107,108,66511,108
2010-10-15,108,108,108,108,27548,108
2010-10-18,108,108,108,108,49076,108
2010-10-19,108,107,103,107,36751,107
2010-10-21,107,107,107,107,11275,107
2010-10-25,107,107,107,107,39688,107
2010-10-28,107,107,107,107,9500,107
2010-11-03,104,107,104,107,85840,107
2010-11-04,107,107,107,107,61340,107
2010-11-08,107,105,105,105,77961,105
2010-11-09,105,105,105,105,9523,105
2010-11-11,105,105,105,105,5625,105
2010-11-16,105,104,104,104,14423,104
2010-11-18,104,100,100,100,100448,100
2010-11-29,100,100,100,100,17197,100
2010-12-02,100,103,102.5,102.5,220000,102.5
2010-12-03,102.5,102.5,102.5,102.5,7206,102.5
2010-12-07,102.5,102.1,102.1,102.1,97557,102.1
2010-12-09,102.1,103,102.5,102.62,100076,102.62
2010-12-10,102.62,108,105,108,457500,108
2010-12-14,108,108,108,108,10830,108
2010-12-15,108,110,108.5,110,131785,110
2010-12-16,110,112,111,112,340411,112
2010-12-17,112,115,114,114,575446,114
2010-12-20,114,114,114,114,145507,114
2010-12-21,114,114,114,114,251140,114
2010-12-22,114,114,114,114,243800,114
2010-12-28,114,114,114,114,58785,114
2011-01-05,114,114,114,114,63026,114
2011-01-06,114,110,110,110,8695,110
2011-01-10,110,114,114,114,50000,114
2011-01-11,114,114,114,114,8636,114
2011-01-12,114,114,114,114,8641,114
2011-01-14,114,114,114,114,3751,114
2011-01-19,114,120,120,120,50914,120
2011-01-21,120,119,115,119,133471,119
2011-01-24,119,119,119,119,30000,119
2011-02-03,119,119,119,119,2234,119
2011-02-04,119,119,119,119,2355,119
2011-02-07,119,110,110,110,63315,110
2011-02-08,110,107,107,107,133000,107
2011-02-09,107,105.5,105.5,105.5,23016,105.5
2011-02-25,105.5,105.5,105.5,105.5,2499,105.5
2011-03-02,105.5,105.5,105.5,105.5,1409,105.5
2011-03-04,105.5,113,113,105.5,62000,105.5
2011-03-07,105.5,118,115,118,771926,118
2011-03-08,118,116,116,116,1060000,116
2011-03-10,116,116,116,116,69881,116
2011-03-21,116,116,116,116,31021,116
2011-03-23,116,130,120,130,53850,130
2011-03-24,130,120,120,120,11831,120
2011-03-25,120,120,120,120,2666,120
2011-03-31,120,120,120,120,93162,120
2011-04-01,120,120,120,120,95494,120
2011-04-04,120,122,122,122,54232,122
2011-04-05,122,122,122,122,389056,122
2011-04-06,122,130,130,130,49461,130
2011-04-07,130,130,130,130,66011,130
2011-04-13,130,130,125,130,109770,130
2011-04-15,130,130,130,130,1387,130
2011-04-18,130,130,120,130,116072,130
2011-04-19,130,130,130,130,23768,130
2011-04-20,130,140,140,140,20031,140
2011-04-21,140,140,140,140,34957,140
2011-04-26,140,140,140,140,1430,140
2011-04-27,140,140,140,140,3590,140
2011-05-11,140,140,140,140,2563,140
2011-05-12,140,138,138,138,14040,138
2011-05-13,138,140,138,138,126037,138
2011-05-16,138,138,138,138,18758,138
2011-05-18,138,142.1,142.1,142.1,125900,142.1
2011-05-20,142.1,145,145,145,100000,145
2011-05-25,145,143,143,143,10374,143
2011-05-27,143,143,143,143,16961,143
2011-05-31,143,143,140,143,83209,143
2011-06-02,143,140,140,140,62029,140
2011-06-03,140,140,140,140,15349,140
2011-06-07,140,140,140,140,174400,140
2011-06-15,140,140,140,140,47,140
2011-06-17,140,145,140,145,17839,145
2011-06-21,145,145,145,145,1379,145
2011-06-23,145,138,130,130,31498,130
2011-06-24,130,130,120,120,795801,120
2011-06-28,120,120.1,120.1,120.1,5157,120.1
2011-06-29,120.1,126.5,121,126.5,45675,126.5
2011-07-01,126.5,130,130,130,67000,130
2011-07-04,130,130,130,130,20000,130
2011-07-06,130,130,130,130,59621,130
2011-07-15,130,130,130,130,289,130
2011-07-18,130,128,128,128,19711,128
2011-07-20,128,128,128,128,343,128
2011-07-21,128,128,128,128,172,128
2011-07-25,128,127,127,127,24290,127
2011-07-26,127,127,127,127,7000,127
2011-07-28,127,125,125,125,75062,125
2011-08-04,125,115,115,115,29161,115
2011-08-05,115,115,115,115,42182,115
2011-08-09,115,115,115,115,397,115
2011-08-25,115,115,115,115,6000,115
2011-08-30,115,120,120,120,50000,120
2011-08-31,120,120,120,120,50000,120
2011-09-01,120,120,120,120,70000,120
2011-09-02,120,120,120,120,200000,120
2011-09-06,120,120,120,120,2500,120
2011-09-07,120,120,120,120,12600,120
2011-09-09,120,120,120,120,3165,120
2011-09-12,120,122,122,122,175000,122
2011-10-04,122,122,122,122,825,122
2011-10-05,122,122,118,122,217517,122
2011-10-07,122,117,117,122,115000,122
2011-10-13,122,122,114.99,122,45160,122
2011-10-14,122,122,122,122,2400,122
2011-10-18,122,122,122,122,1500,122
2011-10-21,122,122,119.9,122,73026,122
2011-10-24,122,122,122,122,72101,122
2011-10-25,122,122,122,122,83190,122
2011-10-26,122,122,122,122,63000,122
2011-10-27,122,122,122,122,99700,122
2011-10-28,122,122,122,122,467300,122
2011-11-02,122,122,120,120,284523,120
2011-11-03,120,122,120,122,189519,122
2011-11-04,122,122,122,122,61698,122
2011-11-07,122,122,122,122,148117,122
2011-11-09,122,124,120,122,987221,122
2011-11-15,122,123.5,123.5,123.5,150616,123.5
2011-11-16,123.5,125,125,125,8438,125
2011-11-17,125,133,130.1,133,57431,133
2011-11-23,133,122.5,122.5,122.5,9000,122.5
2011-11-25,122.5,122.5,122.5,122.5,9000,122.5
2011-11-28,122.5,123,123,123,23200,123
2011-11-29,123,130,130,130,60000,130
2011-12-12,130,120.01,120.01,120.01,123610,120.01
2011-12-13,120.01,120.01,120.01,120.01,2082,120.01
2011-12-15,120.01,122.1,120,122.1,61922,122.1
2011-12-20,122.1,130,129,130,30702,130
2011-12-21,130,130,130,130,10000,130
2012-01-02,130,135,130,135,105548,135
2012-01-03,135,140,140,140,15261,140
2012-01-06,140,140,140,140,25978,140
2012-01-20,140,140,140,140,2000,140
2012-01-27,140,135,135,135,312058,135
2012-01-30,135,135,135,135,10885,135
2012-01-31,135,138,138,138,10000,138
2012-02-01,138,140,138,139,81445,139
2012-02-06,139,140,139,140,40945,140
2012-02-14,140,140,140,140,119582,140
