date,open,high,low,close,volume,adj_close
2009-06-01,65,51.01,50.03,50.99,6363443,50.99
2009-06-02,50.99,51,50.5,51,1363102,51
2009-06-03,51,51,50.8,51,1042699,51
2009-06-04,51,51,51,51,1911945,51
2009-06-05,51,51,51,51,5889497,51
2009-06-08,51,51.5,51,51,1688285,51
2009-06-09,51,51,50.5,50.95,868213,50.95
2009-06-10,51,51.01,50.99,51,3919471,51
2009-06-11,51,52.01,51,52.01,6684396,52.01
2009-06-12,52.01,52.49,52,52.48,127893,52.48
2009-06-15,52.48,52.1,51.01,52,1191296,52
2009-06-16,52,51.5,51,51,2758362,51
2009-06-17,51,50.08,50,50.08,1647172,50.08
2009-06-18,50.08,50.1,50,50.1,1810335,50.1
2009-06-19,50.1,50.21,50.01,50.02,2197466,50.02
2009-06-22,50.02,49.5,49.5,49.5,840436,49.5
2009-06-23,49.5,50.5,49,49.5,3533617,49.5
2009-06-24,49.5,49.51,49.21,49.51,1188216,49.51
2009-06-25,49.51,50.2,49.51,50.2,557856,50.2
2009-06-26,50.2,50.2,50.2,50.2,548500,50.2
2009-06-30,50.2,50,50,50,590000,50
2009-07-01,50,50,49.6,49.6,293322,49.6
2009-07-02,49.6,50,49.61,50,895933,50
2009-07-03,50,50.5,50,50.5,2121174,50.5
2009-07-06,50.5,50.5,50.2,50.5,1137589,50.5
2009-07-07,50.5,50.5,50,50,550100,50
2009-07-08,50,50,49.5,49.55,2310135,49.55
2009-07-09,49.55,49.6,49.6,49.6,95825,49.6
2009-07-10,49.6,50,50,50,74401,50
2009-07-13,50,51,51,51,2824800,51
2009-07-14,51,51,51,51,2563453,51
2009-07-15,51,51.51,51,51.51,3132861,51.51
2009-07-17,51.51,51.01,51,51,370000,51
2009-07-20,51,52.25,51.1,52.25,5175701,52.25
2009-07-21,52.25,52.9,52,52.9,5307762,52.9
2009-07-22,52.9,52.5,52,52,806244,52
2009-07-23,52,52.01,52,52,14393760,52
2009-07-24,52,52,52,51.99,480290,51.99
2009-07-27,51.99,51.5,51.5,51.5,840615,51.5
2009-07-28,51.5,52,52,52,1168399,52
2009-07-29,52,52.5,51.9,51.9,1311988,51.9
2009-07-30,51.9,51.9,51.9,51.9,259700,51.9
2009-07-31,51.9,52,51.9,52,1310962,52
2009-08-03,52,54,52.5,54,5121324,54
2009-08-04,54,55,53.5,54.93,3425400,54.93
2009-08-05,54.93,55,54.5,55,3134349,55
2009-08-06,55,56.5,55,56.5,5831603,56.5
2009-08-07,56.5,56.6,56.49,56.5,1707019,56.5
2009-08-10,56.5,56.6,55.5,56.5,395904,56.5
2009-08-11,56.5,56.5,56.5,56.5,342767,56.5
2009-08-12,56.5,57,56.5,57,1634456,57
2009-08-13,57,57.5,57,57,1683574,57
2009-08-14,57,57.01,56,56.5,4428059,56.5
2009-08-17,56.5,56.5,56,56,1210628,56
2009-08-18,56,56.5,55.5,56,6197293,56
2009-08-19,56,56.5,55.6,56.5,2466329,56.5
2009-08-20,56.5,56,55.1,56,2303500,56
2009-08-21,56,56.2,56,56,2441728,56
2009-08-24,56,56,55.49,55.49,2467122,55.49
2009-08-25,55.49,56,55.5,55.5,2909905,55.5
2009-08-26,55.5,56,55.9,56,723728,56
2009-08-27,56,56,55,55.3,4230730,55.3
2009-08-28,55.3,55.5,55.5,55.5,327276,55.5
2009-08-31,55.5,55.26,55.25,55.25,173865,55.25
2009-09-01,55.25,55.25,53.75,53.75,437211,53.75
2009-09-02,53.75,53.81,53.7,53.81,309414,53.81
2009-09-03,53.81,54.5,53.75,54.01,1931061,54.01
2009-09-04,54.01,53.6,53.5,53.6,420687,53.6
2009-09-07,53.6,54.5,54,54.03,623989,54.03
2009-09-08,54.03,54.49,54.1,54.32,2019563,54.32
2009-09-09,54.32,55,54.5,54.64,1375486,54.64
2009-09-10,54.64,54.89,54.65,54.65,6463300,54.65
2009-09-11,54.65,54.65,54.5,54.65,7735328,54.65
2009-09-14,54.65,54.65,54,54.01,5730506,54.01
2009-09-15,54.01,54.8,54.25,54.79,926928,54.79
2009-09-16,54.79,54.25,54.25,54.25,19004,54.25
2009-09-17,54.25,54.27,53.5,53.8,11513340,53.8
2009-09-21,53.8,55,54,55,5569503,55
2009-09-22,55.5,55.5,54.5,55,2740126,55
2009-09-23,55,55,54.52,54.9,5631784,54.9
2009-09-24,54.9,56,54.5,55,985298,55
2009-09-25,55,55,54,54.9,736308,54.9
2009-09-28,54.9,56.5,54.9,56.05,14257950,56.05
2009-09-29,56.05,56.5,56.19,56.19,3528653,56.19
2009-09-30,56.19,56,56,56,783124,56
2009-10-01,56,55.5,55.5,55.5,2180000,55.5
2009-10-02,55.5,55.4,55,55.4,7819839,55.4
2009-10-05,55.4,55.4,54,55.05,1436943,55.05
2009-10-06,55.05,55.5,55.2,55.4,18014650,55.4
2009-10-07,55.4,56,55,55.78,2844199,55.78
2009-10-08,55.78,56,55,56,1586885,56
2009-10-09,56,56,56,56,650295,56
2009-10-13,56,56.5,56,56,1598776,56
2009-10-14,56,57,56.25,57,5431806,57
2009-10-15,57,57,56.5,57,3190456,57
2009-10-16,57,57.5,56.98,57.5,567391,57.5
2009-10-19,57.5,57.5,56.5,57,1530746,57
2009-10-20,57,57,56.69,56.7,1499598,56.7
2009-10-21,56.7,57.51,57,57.5,4750655,57.5
2009-10-22,57.5,58.52,57.75,58.52,4958860,58.52
2009-10-23,58.52,63,60,62.53,14269540,62.53
2009-10-26,62.53,65,62.5,63.25,3320976,63.25
2009-10-27,63.25,63.11,61.5,61.68,13026120,61.68
2009-10-28,61.68,62.55,62.55,61.68,150000,61.68
2009-10-29,61.68,62,61,61.2,532145,61.2
2009-10-30,61.3,61.3,61.3,61.3,461607,61.3
2009-11-02,61.3,61.01,61,61.01,405308,61.01
2009-11-03,61.01,62.99,60,62,2460898,62
2009-11-04,62,64,62.5,64,3903825,64
2009-11-05,64,70.01,64.1,70,5504703,70
2009-11-06,70,69,66,68.7,1985349,68.7
2009-11-09,68.7,69.99,67.99,68.8,2240074,68.8
2009-11-10,68.8,68.8,68.5,68.5,4738977,68.5
2009-11-11,68.5,69,68,68.89,2946810,68.89
2009-11-12,68.89,68,67.5,67.5,1930768,67.5
2009-11-13,67.5,67.5,65,66,12279860,66
2009-11-16,66,65.5,63.5,65.5,2085555,65.5
2009-11-17,65.5,65.5,64.01,64.5,5452658,64.5
2009-11-18,64.5,64.2,63,63.01,2845646,63.01
2009-11-19,63.01,64.5,64,64.5,1944953,64.5
2009-11-20,64.5,64.5,64,64.4,2200988,64.4
2009-11-23,64.4,65.4,64.5,64.5,1497202,64.5
2009-11-24,64.5,64,64,64,513003,64
2009-11-25,64,64.1,64,64,1269292,64
2009-11-26,64,64,63,63,1792731,63
2009-11-27,63,64,61.5,63.5,2275176,63.5
2009-11-30,63.5,64.51,64,64.2,2572067,64.2
2009-12-01,64.2,64.51,64.2,64.5,2380239,64.5
2009-12-02,64.5,64.6,64,64,7132358,64
2009-12-03,64,64.5,63.9,64.5,3348974,64.5
2009-12-04,64.5,64.45,64,64,1179144,64
2009-12-07,64,64.1,63.5,63.5,140693,63.5
2009-12-09,63.5,64,63,63.99,781841,63.99
2009-12-10,63.99,64,63.8,64,1245756,64
2009-12-11,64,65.85,64,65.85,1420562,65.85
2009-12-14,65.85,65.8,65.8,65.8,225541,65.8
2009-12-15,65.8,65.82,65.6,65.6,1801319,65.6
2009-12-16,65.6,65.6,65.6,65.6,357453,65.6
2009-12-17,65.6,65.6,65.5,65.5,477167,65.5
2009-12-18,65.5,66,65,65,3214319,65
2009-12-21,65,65,64,64,2616041,64
2009-12-22,64,64.5,63.99,64.5,1766356,64.5
2009-12-23,64.5,64.5,64,64.5,1368350,64.5
2009-12-24,64.5,64.45,64,64.45,1255404,64.45
2009-12-28,64.45,65,64.45,65,1783841,65
2009-12-29,65,66,65,66,1856943,66
2009-12-30,66,66.99,66,66.93,13934880,66.93
2010-01-04,66.93,66.94,66.5,66.5,14916250,66.5
2010-01-05,66.5,67,66.5,67,922414,67
2010-01-06,67,69,67,68.5,1569359,68.5
2010-01-07,68.5,70,68,70,1620132,70
2010-01-08,70,70,69.5,69.8,1137407,69.8
2010-01-11,69.8,69.9,69,69.9,690356,69.9
2010-01-12,69.9,69.9,69.6,69.6,4560948,69.6
2010-01-13,69.65,70,69.65,70,4966649,70
2010-01-14,70,70,70,70,8849581,70
2010-01-15,70,70.5,69.5,69.5,3577251,69.5
2010-01-18,69.5,72,71,71.3,8597634,71.3
2010-01-19,71.3,72.7,71.3,72.7,3248944,72.7
2010-01-20,72.7,74,72.7,74,2401221,74
2010-01-21,74,74,73,74,2970728,74
2010-01-22,74,74,73,73.5,4136645,73.5
2010-01-25,73.5,74,73.01,74,2574546,74
2010-01-26,74,75.25,74,75,15533570,75
2010-01-27,75,77,73.5,73.95,3201861,73.95
2010-01-28,73.95,75,73.5,73.5,8552256,73.5
2010-01-29,73.5,75,73.99,74.5,404347,74.5
2010-02-01,74.5,75.5,74.99,75.5,2045851,75.5
2010-02-02,75.5,77,75.5,75.8,769527,75.8
2010-02-03,75.8,76.5,75.5,76,3279206,76
2010-02-04,76,76,75,75,2022157,75
2010-02-05,75,76,74,74.41,1511204,74.41
2010-02-08,74.41,78,75,77.92,1231254,77.92
2010-02-09,77.92,79,78,78.1,1858891,78.1
2010-02-10,78.1,79.5,79,79.5,2558364,79.5
2010-02-11,79.5,79.75,79,79.75,1486246,79.75
2010-02-12,79.75,79.99,79.5,79.5,1108644,79.5
2010-02-15,79.5,79.5,79,79.5,984737,79.5
2010-02-16,79.5,80,79.5,80,541932,80
2010-02-17,80,81.5,80,81.5,3315485,81.5
2010-02-18,81.5,82.85,82,82.8,592787,82.8
2010-02-19,82.8,83,83,83,2464488,83
2010-02-22,83,84,83,84,1451549,84
2010-02-23,84,85,83.5,83.5,937271,83.5
2010-02-24,83.5,83.5,82,82,1479473,82
2010-02-25,82,82.1,82,82,490109,82
2010-02-26,82,82,81.5,82,3084426,82
2010-03-01,82,81,78,81,972174,81
2010-03-02,81,82,81.01,81.03,2172490,81.03
2010-03-03,81.03,82,81.05,82,1110551,82
2010-03-04,82,84,82,84,552738,84
2010-03-05,84,84.01,83.5,84,5829074,84
2010-03-08,84,84.51,84.01,84.5,1518202,84.5
2010-03-09,84.5,84.7,84.01,84.63,1242323,84.63
2010-03-10,84.3,85.5,84.3,85.25,1153175,85.25
2010-03-11,86,86,82.6,82.7,588649,82.7
2010-03-12,82.7,83,82,82.5,21175020,82.5
2010-03-15,82.5,83,82,82.51,1034881,82.51
2010-03-16,82.51,84.5,82,82,1647941,82
2010-03-17,82,83.5,82,83.5,877516,83.5
2010-03-18,83.5,83.5,83.01,83.49,10301530,83.49
2010-03-19,83.49,83,82.5,82.6,19469460,82.6
2010-03-22,82.6,80.2,79.12,79.4,2327396,79.4
2010-03-23,79.4,80,79,80,3511581,80
2010-03-24,80,83,80.1,83,5336938,83
2010-03-25,83,84.01,83.3,83.3,4743448,83.3
2010-03-26,83.3,83.5,83.25,83.3,4486131,83.3
2010-03-29,83.3,84,83.9,84,1555159,84
2010-03-30,84,84,83.09,83.1,1107716,83.1
2010-03-31,83.1,83,83,83,691687,83
2010-04-01,83,84.49,83,84.49,1690726,84.49
2010-04-05,84.49,84.49,83,83,858484,83
2010-04-06,83,84.5,81,84,2957658,84
2010-04-07,84,84.01,83.95,84,1827068,84
2010-04-08,84,84.5,84,84.5,7792603,84.5
2010-04-09,84.5,87.5,84.5,87.39,5755904,87.39
2010-04-12,87.39,90,87.5,90,2081459,90
2010-04-13,90,90,87.99,88.5,5286667,88.5
2010-04-14,88.5,89.9,88.5,89.9,988426,89.9
2010-04-15,89.9,90.5,89,89,2290972,89
2010-04-16,89,90,87,88,1109671,88
2010-04-19,88,88,87.99,88,2459328,88
2010-04-20,88,90,89,90,2085019,90
2010-04-21,90,90,88.89,88.9,2375906,88.9
2010-04-22,88.9,90,88.1,88.49,1714115,88.49
2010-04-23,88.49,88.5,88.5,88.5,1373978,88.5
2010-04-26,88.5,88.8,88.5,88.8,380519,88.8
2010-04-27,88.8,89.9,88.5,89,2963400,89
2010-04-28,89,90,88.5,89.99,3615310,89.99
2010-04-29,89.99,91,90,91,1755572,91
2010-04-30,91,95,91,95,2488749,95
2010-05-03,95,96,93,93.79,2353713,93.79
2010-05-04,93.79,93.5,91.99,91.99,2431667,91.99
2010-05-05,91.99,91.99,90.5,90.6,2728435,90.6
2010-05-06,90.6,91.5,89.5,90,3729938,90
2010-05-07,90,90.5,89,90.5,3873979,90.5
2010-05-10,90.5,95.9,92,95.77,3108714,95.77
