date,open,high,low,close,volume,adj_close
2009-06-01,41,41,41,41,1005,41
2009-06-03,41.8,41,41,41,101,41
2009-06-04,41,41,41,41,1003,41
2009-06-05,41,41,41,41,15395,41
2009-06-08,41,41,41,41,6188,41
2009-06-09,41,41,41,41,4874,41
2009-06-10,41,41,41,41,5320,41
2009-06-11,41,41,41,41,9148,41
2009-06-12,41,43,43,43,26832,43
2009-06-16,43,43,43,43,4526,43
2009-06-17,43,43,43,43,205,43
2009-06-18,43,43,43,43,119,43
2009-06-22,43,43,43,43,2103,43
2009-06-23,43,43,43,43,6977,43
2009-06-24,43,43,43,43,33501,43
2009-06-25,43,43,43,43,5944,43
2009-06-30,43,43,43,43,856,43
2009-07-02,43,43,43,43,13095,43
2009-07-03,43,43,43,43,5100,43
2009-07-07,43,43,43,43,205,43
2009-07-08,42.6,43,43,43,252,43
2009-07-09,43,42.61,42.61,42.61,38514,42.61
2009-07-10,42.61,42.61,42.61,42.61,1027,42.61
2009-07-14,42.61,42.61,42.61,42.61,1090,42.61
2009-07-15,42.61,42.61,42.61,42.61,1161,42.61
2009-07-17,42.61,42.61,42.61,42.61,856,42.61
2009-07-20,42.61,42.61,42.61,42.61,3077,42.61
2009-07-22,42.61,42.61,42.61,42.61,179,42.61
2009-07-24,42.6,42.61,42.61,42.61,738,42.61
2009-07-27,42.61,42.61,42.61,42.61,2315,42.61
2009-07-29,42.61,42.61,42.61,42.61,375,42.61
2009-07-30,43,42.61,42.61,42.61,2785,42.61
2009-07-31,42.61,42.61,42.61,42.61,3698,42.61
2009-08-05,42.61,42.61,42.61,42.61,792,42.61
2009-08-06,42.61,44,44,44,25865,44
2009-08-07,44,44,44,44,511,44
2009-08-10,44,45,45,45,117612,45
2009-08-11,45,45.51,45.51,45.51,987041,45.51
2009-08-12,45.51,45.7,45.7,45.7,10707,45.7
2009-08-13,45.7,45.7,45.7,45.7,1559,45.7
2009-08-14,45.7,45.7,45.7,45.7,2646,45.7
2009-08-17,45.7,45.7,45.7,45.7,720,45.7
2009-08-18,45.7,45.7,45.7,45.7,7879,45.7
2009-08-19,45.7,45.7,45.7,45.7,852,45.7
2009-08-20,45.7,45.7,45.7,45.7,1473,45.7
2009-08-24,45.7,46.6,46.51,46.6,53726,46.6
2009-08-26,46.6,46.6,46.6,46.6,20407,46.6
2009-08-27,46.6,46.6,46.6,46.6,738,46.6
2009-09-01,46.6,46.6,46.6,46.6,3968,46.6
2009-09-02,46.6,46.6,46.6,46.6,617,46.6
2009-09-03,46.6,46.6,46.6,46.6,3084,46.6
2009-09-04,46.6,46.6,46.6,46.6,1004,46.6
2009-09-07,46.6,46.6,46.6,46.6,21408,46.6
2009-09-09,46.6,46.6,46.6,46.6,4792,46.6
2009-09-11,46.6,46.6,46.6,46.6,217,46.6
2009-09-14,46.6,46.6,46.6,46.6,1002,46.6
2009-09-17,46.6,46.6,46.6,46.6,73,46.6
2009-09-21,46.6,46.6,46.6,46.6,2317,46.6
2009-09-22,46.6,46.6,46.6,46.6,1451,46.6
2009-09-25,46.6,46.6,46.6,46.6,1920,46.6
2009-09-28,46.6,48,48,48,49452,48
2009-10-02,48,48,48,48,5063,48
2009-10-05,48,48,48,48,271,48
2009-10-06,48,48,48,48,11551,48
2009-10-07,48,48,48,48,28195,48
2009-10-08,48,50,50,50,1083071,50
2009-10-13,50,50,50,50,2277,50
2009-10-15,47.01,49.1,49.1,49.1,242045,49.1
2009-10-16,49.1,49.1,49.1,49.1,5625,49.1
2009-10-19,49.1,49.1,49.1,49.1,1005,49.1
2009-10-21,49.1,49.1,49.1,49.1,430,49.1
2009-10-22,49.1,49.1,49.1,49.1,4498,49.1
2009-10-23,49.1,49.1,49.1,49.1,2034,49.1
2009-10-27,49.1,51,51,51,58820,51
2009-10-29,51,51,51,51,1125,51
2009-11-04,51,51,51,51,1496,51
2009-11-05,51,51,51,51,2278,51
2009-11-09,51,51,51,51,1122,51
2009-11-10,51,51,51,51,4479,51
2009-11-11,51,53.11,53.11,53.11,50668,53.11
2009-11-12,53.11,53.11,53.11,53.11,1165,53.11
2009-11-13,53.11,53.11,53.11,53.11,3192,53.11
2009-11-16,53.11,53.11,53.11,53.11,2203,53.11
2009-11-17,53.11,53.11,53.11,53.11,86,53.11
2009-11-19,54,53.11,53.11,53.11,5218,53.11
2009-11-23,54.1,54.1,54.1,54.1,46695,54.1
2009-11-24,54.1,54.1,54.1,54.1,179,54.1
2009-11-25,54.1,54.1,54.1,54.1,2405,54.1
2009-11-26,54.1,54.1,54.1,54.1,3939,54.1
2009-11-27,54.1,54.1,54.1,54.1,1360,54.1
2009-12-01,54.1,54.1,54.1,54.1,2188,54.1
2009-12-03,54.1,54.1,54.1,54.1,189,54.1
2009-12-04,54.1,54.1,54.1,54.1,2580,54.1
2009-12-09,54.1,54.1,54.1,54.1,63,54.1
2009-12-10,54.1,54.1,54.1,54.1,329,54.1
2009-12-11,54.1,54.1,54.1,54.1,4605,54.1
2009-12-16,54.55,54.6,54.6,54.6,19526,54.6
2009-12-17,54.6,54.6,54.6,54.6,3802,54.6
2009-12-22,54.6,54.6,54.6,54.6,2470,54.6
2009-12-23,54.6,54.6,54.6,54.6,4127,54.6
2009-12-24,54.7,55.01,55.01,55.01,25485,55.01
2009-12-28,55.01,55,55,55,33296,55
2009-12-29,55,55.26,55.26,55.26,194251,55.26
2010-01-04,55.26,55.26,55.26,55.26,4062,55.26
2010-01-05,55.5,55.26,55.26,55.26,99,55.26
2010-01-07,55.26,55.26,55.26,55.26,679,55.26
2010-01-13,55.26,55.26,55.26,55.26,1465,55.26
2010-01-14,56.2,55.26,55.26,55.26,125,55.26
2010-01-15,55.26,55.26,55.26,55.26,990,55.26
2010-01-19,55.26,57.5,57.5,57.5,14300,57.5
2010-01-20,57.5,57.5,57.5,57.5,141,57.5
2010-01-21,57.5,57.5,57.5,57.5,317,57.5
2010-01-22,57.5,57.5,57.5,57.5,11937,57.5
2010-01-26,57.5,60,60,60,11537,60
2010-01-28,60,60.01,59,60.01,44468,60.01
2010-01-29,60.01,60.01,60.01,60.01,924,60.01
2010-02-03,60.01,60.01,60.01,60.01,6207,60.01
2010-02-04,60.01,62,62,62,85060,62
2010-02-05,62,62,62,62,5,62
2010-02-09,62,63.1,63.1,63.1,15676,63.1
2010-02-11,63.1,64,64,63.1,55530,63.1
2010-02-12,63.1,63.1,63.1,63.1,1635,63.1
2010-02-16,63.6,63.1,63.1,63.1,301,63.1
2010-02-17,63.1,64.1,64.1,64.1,167425,64.1
2010-02-23,65.1,64.1,64.1,64.1,466,64.1
2010-02-26,64.1,65.5,65.5,65.5,15439,65.5
2010-03-03,65.5,65.5,65.5,65.5,3694,65.5
2010-03-11,65.5,65.5,65.5,65.5,250,65.5
2010-03-12,65.5,65.5,65.5,65.5,4283,65.5
2010-03-16,65.5,65.5,65.5,65.5,856,65.5
2010-03-17,65.5,70,70,70,9982,70
2010-03-19,70,70,70,70,16644,70
2010-03-22,70,70,70,70,3390,70
2010-03-23,70.5,70,70,70,239,70
2010-03-25,70,70,70,70,205,70
2010-03-26,70,70,70,70,1403,70
2010-03-29,70.5,70,70,70,522,70
2010-03-30,70,70,70,70,833,70
2010-03-31,70,72,72,72,8135,72
2010-04-05,72,72,72,72,2662,72
2010-04-07,72,72,72,72,1358,72
2010-04-08,72,73,73,73,32534,73
2010-04-09,73,75,75,75,208953,75
2010-04-13,75,77,77,77,13306,77
2010-04-14,77,77,77,77,908,77
2010-04-16,77,77,77,77,1174,77
2010-04-20,77,77,77,77,1092,77
2010-04-22,77,77,77,77,4034,77
2010-04-26,77,79,79,79,36394,79
2010-04-29,79,79,79,79,272,79
2010-04-30,79,79,79,79,865,79
2010-05-03,79,79,79,79,2813,79
2010-05-05,79,81,81,81,15718,81
2010-05-06,81,81,81,81,171,81
2010-05-10,81,81,81,81,866,81
2010-05-11,81,81,81,81,865,81
2010-05-12,81,81,81,81,1599,81
2010-05-14,81.7,81,81,81,1895,81
2010-05-18,81,83,83,83,55166,83
2010-05-19,83,83,83,83,2404,83
2010-05-24,83,83.2,83.2,83.2,275097,83.2
2010-05-25,83.2,83.2,83.2,83.2,738,83.2
2010-05-26,83.2,83.2,83.2,83.2,12092,83.2
2010-05-28,83.2,83.2,83.2,83.2,865,83.2
2010-05-31,83.2,84,84,84,627342,84
2010-06-01,84,84,84,84,784,84
2010-06-02,84,85.25,85.25,85.25,235000,85.25
2010-06-04,85.25,85.25,84,85.25,158023,85.25
2010-06-07,85.25,85.25,85.25,85.25,17251,85.25
2010-06-09,85.25,86.25,86.25,86.25,35018,86.25
2010-06-10,86.25,87.25,87.25,87.25,167877,87.25
2010-06-14,87.25,87.25,87.25,87.25,19136,87.25
2010-06-15,87.25,87.25,87.25,87.25,1110,87.25
2010-06-16,87.25,87.25,87.25,87.25,6456,87.25
2010-06-18,87.25,87.25,87.25,87.25,33976,87.25
2010-06-21,87.25,87.25,87.25,87.25,4295,87.25
2010-06-23,87.25,87.25,87.25,87.25,5283,87.25
2010-06-24,87.25,87.25,87.25,87.25,1143,87.25
2010-06-30,87.25,95.01,95,95,748764,95
2010-07-05,95,95,95,95,20000,95
2010-07-06,95,95,95,95,23859,95
2010-07-07,95,95,95,95,2135,95
2010-07-08,95,95.5,95.5,95.5,76431,95.5
2010-07-09,95.5,95.5,95.5,95.5,2386,95.5
2010-07-13,95.5,101.7,101.7,101.7,36887,101.7
2010-07-14,101.7,101,101,101,84927,101
2010-07-19,101,103,102.5,103,38264,103
2010-07-20,103,103,103,103,26,103
2010-07-21,103,107,107,107,10587,107
2010-07-22,107,107,107,107,1156,107
2010-07-23,107,107,107,107,1994,107
2010-07-26,107,107,107,107,2562,107
2010-07-27,107,108.5,108.5,108.5,18682,108.5
2010-07-28,108.5,108.5,108.5,108.5,3697,108.5
2010-07-29,108.5,108.5,108.5,108.5,1246,108.5
2010-07-30,108.5,108.5,108.5,108.5,2123,108.5
2010-08-03,108.5,108.5,108.5,108.5,250,108.5
2010-08-04,108.5,110,110,110,42074,110
2010-08-05,110,120,120,120,150363,120
2010-08-06,125,125,125,125,28006,125
2010-08-09,125,125,125,125,1145,125
2010-08-10,125,128,128,128,139012,128
2010-08-16,128,123,123,123,32956,123
2010-08-17,123,123,123,123,14154,123
2010-08-18,123,123,123,123,37208,123
2010-08-19,123,122,122,122,284360,122
2010-08-20,122,120,120,120,86985,120
2010-08-23,120,120,120,120,1563,120
2010-08-25,120,120,120,120,274,120
2010-08-30,120,110,110,110,9265,110
2010-09-01,110,115,115,115,24525,115
2010-09-02,115,116,116,116,10776,116
2010-09-03,116,115,115,115,15531,115
2010-09-06,115,115,115,115,71,115
2010-09-07,115,115,115,115,100000,115
2010-09-08,115,117,115,117,140000,117
2010-09-09,117,117,117,117,1712,117
2010-09-10,117,115,115,115,22080,115
2010-09-13,115,115,115,115,7545,115
2010-09-14,115,122.5,120,122.5,128082,122.5
2010-09-15,122.5,122.5,122.5,122.5,2890,122.5
2010-09-16,122.5,121,121,121,42894,121
2010-09-21,121,121,121,121,39975,121
2010-09-23,121,121,120,120,176951,120
