date,open,high,low,close,volume,adj_close
2009-06-08,34.6,34.75,34.75,34.75,15574,34.75
2009-06-19,34.75,34.91,34.91,34.91,84657,34.91
2009-06-22,34.91,34.61,34.61,34.61,25950,34.61
2009-06-24,34.61,34.61,34.61,34.61,125783,34.61
2009-06-25,34.61,34.61,34.61,34.61,10106,34.61
2009-07-20,34.61,34.91,34.91,34.91,39469,34.91
2009-07-21,34.91,34.91,34.91,34.91,4082,34.91
2009-07-31,34.91,36.01,36.01,36.01,51000,36.01
2009-08-03,36.01,37,37,37,236537,37
2009-08-04,37,38,38,38,333499,38
2009-08-05,38,38,38,38,1656,38
2009-08-13,38,37.01,37,37.01,227473,37.01
2009-08-14,37.01,37,37,37,169870,37
2009-08-21,37,37.5,37.5,37.5,200000,37.5
2009-08-24,37.5,37.5,37.5,37.5,1040055,37.5
2009-08-25,37.5,37,37,37,20700,37
2009-08-26,37,37.25,37.25,37.25,91981,37.25
2009-08-27,37.25,37.5,37,37.5,1708019,37.5
2009-09-11,37.5,37.5,37.5,37.5,34325,37.5
2009-09-14,37.5,37.05,37.05,37.05,1000000,37.05
2009-09-17,37.05,37.5,37.5,37.5,200000,37.5
2009-09-23,37.5,38,38,38,57381,38
2009-10-08,38,38,38,38,7350,38
2009-10-21,38,38,38,38,15220,38
2009-10-22,38,38,38,38,15220,38
2009-10-23,38,38.01,38.01,38.01,26618,38.01
2009-10-28,38.01,38.01,38.01,38.01,8599,38.01
2009-10-29,38.01,38.01,38.01,38.01,4932,38.01
2009-11-03,38.6,38.01,38.01,38.01,3169,38.01
2009-11-04,38.01,38.61,38.61,38.61,27992,38.61
2009-11-05,38.61,38.61,38.61,38.61,5653,38.61
2009-11-10,38.61,38.6,38.6,38.6,19330,38.6
2009-11-16,38.6,38.61,38.6,38.6,266916,38.6
2009-11-17,38.6,38.6,38.6,38.6,14452,38.6
2009-11-25,38.6,38.3,38.3,38.3,144321,38.3
2009-12-02,38.3,40.5,40.5,40.5,100000,40.5
2009-12-03,40.5,40,40,40,61197,40
2009-12-11,40,40,40,40,1444,40
2009-12-17,40,40,40,40,4133,40
2009-12-23,40,40.51,40.5,40.5,143421,40.5
2010-01-05,40.5,40.5,40.5,40.5,1198014,40.5
2010-01-07,40.5,40.5,40.5,40.5,10000,40.5
2010-01-13,40.5,41,41,41,10370,41
2010-01-18,41,43,43,43,19731,43
2010-01-22,43,43,43,43,10000,43
2010-01-25,43,43,43,43,3500,43
2010-01-28,43,43,43,43,24560,43
2010-02-02,43,43,43,43,25000,43
2010-02-05,43,43,43,43,920,43
2010-02-22,43,44,44,44,51720,44
2010-02-24,44,44,44,44,2782,44
2010-02-26,44,46.35,46,46,1582941,46
2010-03-09,46,50,50,50,50000,50
2010-03-11,50,50,50,50,2000,50
2010-03-15,50,50,50,50,59565,50
2010-03-25,50,50,50,50,5000,50
2010-04-13,50,50,50,50,38417,50
2010-04-19,50,49,49,49,214284,49
2010-04-28,49,49,49,49,3000,49
2010-04-30,49,49,49,49,8520,49
2010-05-04,49,49,49,49,854,49
2010-05-19,49,49,48.9,49,320429,49
2010-05-24,49,49,49,49,2623,49
2010-06-09,49,49,49,49,2954,49
2010-06-10,49,50,50,50,100000,50
2010-06-11,50,51,51,51,50781,51
2010-06-15,51,51,51,51,17029,51
2010-06-17,51,52,51,52,65283,52
2010-06-21,52,52,52,52,18794,52
2010-06-24,52,52.5,52.5,52.5,180564,52.5
2010-06-30,52.5,52.5,52.5,52.5,141903,52.5
2010-07-02,52.5,52.5,52.5,52.5,8821,52.5
2010-07-06,52.5,52.5,52.5,52.5,17577,52.5
2010-07-07,52.5,52.5,52.5,52.5,1540,52.5
2010-07-13,52.5,52.5,52.5,52.5,2000,52.5
2010-07-19,52.5,56,56,56,18900,56
2010-07-20,56,56,56,56,9190,56
2010-07-21,56,65,60,65,200098,65
2010-07-22,65,65.01,65,65,48946,65
2010-07-23,65,65,65,65,1000,65
2010-07-27,65,65,65,65,500,65
2010-07-28,65,65,65,65,1355,65
2010-07-29,65,63.4,63.4,65,207029,65
2010-07-30,65,63.99,63.99,63.99,16000,63.99
2010-08-02,63.99,59,59,59,11082,59
2010-08-03,59,59,59,59,59696,59
2010-08-06,59,63.99,63.99,63.99,194947,63.99
2010-08-09,63.99,65.5,65.5,65.5,48414,65.5
2010-08-10,65.6,65.6,65.6,65.6,79322,65.6
2010-08-24,65.6,60,60,60,19731,60
2010-08-25,60,60,60,60,3384,60
2010-08-26,60,60,60,60,132253,60
2010-08-27,60,60,60,60,2000,60
2010-09-02,60,61,61,61,30000,61
2010-09-07,61,60,60,60,266447,60
2010-09-08,60,60,60,60,15000,60
2010-09-09,60,62,62,62,19731,62
2010-09-10,62,62,62,62,30867,62
2010-09-14,62,63,63,63,122803,63
2010-09-16,63,63,63,63,554737,63
2010-09-21,63,63,63,63,170029,63
2010-10-01,63,63,63,63,168254,63
2010-10-06,63,64,64,64,44138,64
2010-10-07,64,64,64,64,4190,64
2010-10-15,64,64,64,64,91142,64
2010-10-20,64,64,64,64,22500,64
2010-10-21,64,64,64,64,35498,64
2010-10-22,64,64.01,64,64.01,27082,64.01
2010-10-25,64.01,64,64,64,78112,64
2010-10-26,64,64,64,64,31255,64
2010-10-27,64,64.01,64.01,64.01,46216,64.01
2010-11-02,64.01,64.01,64.01,64.01,16694,64.01
2010-11-04,64.01,64.01,64.01,64.01,9628,64.01
2010-11-11,64.01,64.39,64.39,64.39,19731,64.39
2010-11-16,64.39,64.5,64.5,64.5,25501,64.5
2010-11-17,64.5,63,63,63,32600,63
2010-11-22,63,63.2,63.2,63.2,142686,63.2
2010-11-25,63.2,64,64,64,80796,64
2010-11-30,64,64,64,64,13333,64
2010-12-02,64,67,67,67,150004,67
2010-12-10,67,67,67,67,35317,67
2010-12-14,67,67,67,67,1881,67
2010-12-16,67,67.01,67,67.01,151921,67.01
2010-12-17,67.01,67,67,67,136537,67
2010-12-27,67,67,67,67,27130,67
2011-01-05,67,67,67,67,71834,67
2011-01-13,67,67,67,67,154418,67
2011-01-14,67,67,67,67,30541,67
2011-01-17,67,70,70,70,10000,70
2011-01-19,70,72,72,72,46529,72
2011-01-24,72,73.5,72,72,92000,72
2011-01-25,72,72,72,72,271535,72
2011-02-10,72,65,65,65,39562,65
2011-02-15,65,65.2,65,65,170000,65
2011-02-18,65,60,60,60,33040,60
2011-02-28,60,62.5,62.5,62.5,54231,62.5
2011-03-01,62.5,62.5,62.5,62.5,1242,62.5
2011-03-09,62.5,60.01,60.01,60.01,60000,60.01
2011-03-15,60.01,59,59,59,80000,59
2011-03-16,59,59,59,59,1268,59
2011-03-22,59,59,59,59,177755,59
2011-03-23,59,59,59,59,45000,59
2011-04-20,59,59,59,59,118000,59
2011-04-25,59,59,59,59,50000,59
2011-04-26,59,59.2,59.2,59.2,34024,59.2
2011-05-03,59.2,59.2,59.2,59.2,16548,59.2
2011-05-09,59.2,59,59,59,67092,59
2011-05-24,59,59,59,59,27628,59
2011-05-31,59,59,59,59,19731,59
2011-06-01,59,59,59,59,4737,59
2011-06-02,59,59,59,59,10000,59
2011-06-03,59,59,59,59,132426,59
2011-06-23,59,59,59,59,61402,59
2011-06-24,59,59,59,59,405972,59
2011-06-29,59,59,59,59,136537,59
2011-06-30,59,59,59,59,88000,59
2011-07-01,59,59,59,59,106945,59
2011-07-06,59,59,59,59,19893,59
2011-07-12,59,58,58,58,17000,58
2011-07-14,58,56,56,56,11738,56
2011-07-20,56,57.5,57.5,57.5,35743,57.5
2011-07-25,57.5,57.6,57.6,57.6,10233,57.6
2011-07-26,57.6,57.6,57.6,57.6,2000,57.6
2011-07-27,57.6,58.11,58.11,58.11,71981,58.11
2011-07-28,58.11,58.11,58.11,58.11,6578,58.11
2011-07-29,58.11,58.3,58.3,58.3,44033,58.3
2011-08-01,58.3,58.3,58.3,58.3,4194,58.3
2011-08-02,58.3,58.3,58.3,58.3,2000,58.3
2011-08-05,58.3,60,60,60,26738,60
2011-08-08,60,60,60,60,83262,60
2011-08-09,60,59,59,59,40000,59
2011-08-11,59,59,59,59,14398,59
2011-08-12,59,59.01,59.01,59.01,150000,59.01
2011-08-16,60.01,60.01,60.01,60.01,26266,60.01
2011-08-29,60.01,61,61,61,12537,61
2011-08-31,61,59,59,59,62505,59
2011-09-13,59,59,59,59,2000,59
2011-09-21,59,58,58,58,34800,58
2011-09-28,58,58,58,58,2461,58
2011-10-03,58,58,58,58,2461,58
2011-10-25,58,56.01,56.01,56.01,18857,56.01
2011-10-26,56.01,56.01,56.01,56.01,142495,56.01
2011-10-27,56.01,59.5,59.5,59.5,468012,59.5
