date,open,high,low,close,volume,adj_close
2012-03-01,62.71,70,62,62.71,42305580,62.71
2012-03-02,63.9,63.9,60.01,60.96,36228420,60.96
2012-03-05,60.96,61.69,59.16,59.88,21592890,59.88
2012-03-06,59.88,59.5,58,59.44,27550640,59.44
2012-03-07,59.7,60.5,59,59.86,37329480,59.86
2012-03-08,59.86,60,58.9,59.18,49874110,59.18
2012-03-09,59.18,59.5,58.3,58.42,16883250,58.42
2012-03-12,58.42,59,57.5,58,15338120,58
2012-03-13,58,58.99,57.2,58.4,13436770,58.4
2012-03-14,58.4,59,57.5,58.67,32246260,58.67
2012-03-15,58.4,60.49,58.4,60.01,38166360,60.01
2012-03-16,60.01,62,59,61.83,41390700,61.83
2012-03-19,62.01,62.99,61.5,62.19,47371770,62.19
2012-03-20,62,65,61.3,64.61,103408100,64.61
2012-03-21,64.61,66.35,63.8,65.59,95942310,65.59
2012-03-22,65.59,65.25,64,64.44,25957640,64.44
2012-03-23,64.44,65,64.2,64.64,24311940,64.64
2012-03-26,64.64,65.47,64.5,64.73,25991380,64.73
2012-03-27,64.78,65.49,64.78,65.41,20738010,65.41
2012-03-28,66,66,64,64.53,20507010,64.53
2012-03-29,64.53,65,62.5,63.5,10581990,63.5
2012-03-30,63.5,64,62.52,63,14195620,63
2012-04-02,63,63.8,62.5,63.5,17373430,63.5
2012-04-03,63.5,63.5,62.1,62.42,10612850,62.42
2012-04-04,62.42,61.5,60.5,60.93,22988590,60.93
2012-04-05,60.93,62.4,60.5,61.79,4533166,61.79
2012-04-09,61.79,61,60.5,60.7,3526976,60.7
2012-04-10,61.01,62,60,60.04,8277085,60.04
2012-04-11,60.04,60.99,59.4,59.6,9759484,59.6
2012-04-12,59.6,60,59.55,59.62,4251702,59.62
2012-04-13,60.1,60.21,58.5,59.75,14266430,59.75
2012-04-16,59.75,60,59,59.79,2940647,59.79
2012-04-17,59.79,60,58.5,58.99,6300388,58.99
2012-04-18,58.99,59,58.2,58.4,7009606,58.4
2012-04-19,58.4,58.4,58.2,58.4,5262961,58.4
2012-04-20,58.4,59,57.99,58.01,4851456,58.01
2012-04-23,58.01,58,56.8,57.99,3531773,57.99
2012-04-24,57.99,57.4,57.2,57.23,2174077,57.23
2012-04-25,56.01,57.99,56.01,57.59,2999504,57.59
2012-04-26,57.59,59,56.2,58.07,4767078,58.07
2012-04-27,58.07,59,57.8,58.4,2893998,58.4
2012-04-30,58.4,58.9,57.8,58,957704,58
2012-05-02,58,58,56.7,56.9,9766449,56.9
2012-05-03,56.9,56.5,55.8,56.02,118167900,56.02
2012-05-04,56.02,57.99,55.8,57.98,159182500,57.98
2012-05-07,57.98,57.71,55.83,56.6,18935710,56.6
2012-05-08,56.6,57,56.51,56.7,2859536,56.7
2012-05-09,56.7,56.5,56.01,56.5,3254231,56.5
2012-05-10,56.5,57,56.6,56.7,13610480,56.7
2012-05-11,56.7,56.8,56,56.2,4726258,56.2
2012-05-14,56.2,56,55.7,55.86,11157390,55.86
2012-05-15,55.86,56,55.1,55.2,14265160,55.2
2012-05-16,55.2,56.3,54.49,54.5,7464474,54.5
2012-05-17,54.5,54.1,52.1,52.55,10263990,52.55
2012-05-18,52.55,53.74,52,53.4,3397290,53.4
2012-05-22,53.4,55,53.5,53.5,9362304,53.5
2012-05-23,53.5,54,52,53.74,6315979,53.74
2012-05-24,53.74,54.95,53.5,54,4202091,54
2012-05-25,54,54,53,53.91,5242679,53.91
2012-05-28,53.91,54.57,53.02,53.02,903827,53.02
2012-05-29,53.02,55,53.02,54.22,4154137,54.22
2012-05-30,54.22,53.5,52,53.17,9868519,53.17
2012-05-31,53.17,53.49,52.5,53.47,4235742,53.47
2012-06-01,53.47,52.01,51.5,51.59,6393916,51.59
2012-06-04,51.59,52.5,51.5,52.41,6937830,52.41
2012-06-05,52.41,53.02,52,52.58,2285268,52.58
2012-06-06,52.58,55,52.99,54.5,6154753,54.5
2012-06-07,54.5,55.49,53.6,53.96,5172908,53.96
2012-06-08,53.96,54,53.1,53.8,5601616,53.8
2012-06-11,55.49,55.49,53,53.24,2501317,53.24
2012-06-12,53.24,53.2,53,53.01,277770,53.01
2012-06-13,53.01,53.5,53,53.1,13714840,53.1
2012-06-14,53.1,53.5,53,53.26,1647565,53.26
2012-06-15,53.26,53.5,53,53.17,7029248,53.17
2012-06-18,54,54,53.1,53.99,2495293,53.99
2012-06-19,53.99,55.21,53.8,55,14589970,55
2012-06-20,55,55.3,54.9,55.18,3014764,55.18
2012-06-21,55.5,55.5,54,54.41,226896,54.41
2012-06-22,54.41,54.5,53.11,54.09,1412662,54.09
2012-06-25,54.09,53.8,53,53.2,2030004,53.2
2012-06-26,53.2,53.4,52.5,53,4105920,53
2012-06-27,53,53.99,53,53.12,1451330,53.12
2012-06-28,53.12,53.2,52.5,53.16,467645,53.16
2012-06-29,53.99,54.5,53.3,54,2934239,54
2012-07-03,54,55.49,53.25,54.71,1836948,54.71
2012-07-04,55,55,54.2,54.62,3012643,54.62
2012-07-05,54.62,54.99,54.5,54.51,1837795,54.51
2012-07-06,54.51,57,54,56.64,32869050,56.64
2012-07-09,56.64,56.68,56.01,56.32,10085420,56.32
2012-07-10,56.32,56.7,55.5,55.62,9241608,55.62
2012-07-11,55.62,56.5,55.5,56.2,5049031,56.2
2012-07-12,56.2,55.8,55.01,55.79,1553744,55.79
2012-07-13,55.79,56,55.5,55.89,2498772,55.89
2012-07-17,55.89,55.85,55.1,55.82,923088,55.82
2012-07-18,55.82,55.5,55.01,55.04,7883554,55.04
2012-07-19,55.04,55.01,54,54.11,1730046,54.11
2012-07-20,54.11,53.9,52.31,53.6,2149857,53.6
2012-07-23,53.6,53.9,52.4,53.55,522133,53.55
2012-07-24,53.55,53.85,52.8,52.82,9325558,52.82
2012-07-25,52.82,53.25,52.8,53.02,1783474,53.02
2012-07-26,53.02,53.1,52.5,52.98,8613297,52.98
2012-07-27,52.98,53.01,52.5,53,58203030,53
2012-07-30,53,53.5,52.5,52.5,2392435,52.5
2012-07-31,52.5,53.5,52.6,53.28,3846228,53.28
2012-08-01,53.28,53.22,52.15,52.16,9324261,52.16
2012-08-02,52.16,52,50.5,51.02,5042893,51.02
2012-08-03,51.02,52.7,51.01,52.52,4439878,52.52
2012-08-06,52.52,53,51,52,3360752,52
2012-08-07,52,52.51,51.5,52.49,5321363,52.49
2012-08-08,52.49,52.9,52,52.61,6579097,52.61
