date,open,high,low,close,volume,adj_close
2017-01-24,113,117,113,114.56,1343712000,114.56
2017-01-25,114.56,114.56,113,113.5,28279140,113.5
2017-01-26,113.5,113.51,111,113.46,22152200,113.46
2017-01-27,113.46,113.46,112.5,112.5,3344462,112.5
2017-01-30,112.5,113,112.5,112.7,1305322,112.7
2017-01-31,112.7,112.71,112,112,3289264,112
2017-02-01,112,112.95,111.38,111.38,149651,111.38
2017-02-02,111.38,113,113,113,16774420,113
2017-02-03,113,113,113,113,67079,113
2017-02-07,113,113.03,112.99,113.03,11541550,113.03
2017-02-08,113.03,113.2,113,113,5886327,113
2017-02-09,113,113,112.99,112.99,633556,112.99
2017-02-10,112.99,113,113,113,652763,113
2017-02-13,113,113,112.6,113,4987903,113
2017-02-14,113,113,113,113,5679991,113
2017-02-15,113,113.1,112.51,113,388799,113
2017-02-16,113,113.3,113,113.26,1047594,113.26
2017-02-17,113.26,113.26,113,113.26,636060,113.26
2017-02-20,113.26,113.5,113.45,113.5,830999,113.5
2017-02-21,113.5,113.8,113.5,113.8,7868670,113.8
2017-02-22,113.8,116.5,114.5,115,165590000,115
2017-02-23,115,115.5,115,115.5,191171,115.5
2017-02-24,115.5,116,115.5,116,287700,116
2017-02-27,116,116.75,116,116.75,3015528,116.75
2017-02-28,116.75,117.5,116.5,117.02,8486059,117.02
2017-03-01,117.02,121.02,118,120.99,17687100,120.99
2017-03-02,120.99,121,121,121,40580,121
2017-03-03,121,126,122.81,125.5,8281811,125.5
2017-03-06,125.5,128,125.3,126,13196290,126
2017-03-07,126,126,125,125,176690,125
2017-03-08,125,126,125,125,19422080,125
2017-03-09,125,125,124.99,125,391852,125
2017-03-10,125,125,122.99,124,14450970,124
2017-03-13,125,131,125,131,15645590,131
2017-03-14,131,134.5,131.5,134.38,34653440,134.38
2017-03-15,134.38,138.5,134,134,13923400,134
2017-03-16,134,135,133.9,133.99,27084330,133.99
2017-03-17,133.99,134,133,133.08,1390560,133.08
2017-03-20,133.08,133,131.74,131.74,4972617,131.74
2017-03-21,131.74,133,131.7,132.58,2822487,132.58
2017-03-22,132.58,132.58,131.5,132,2688118,132
2017-03-23,132,132.58,131.5,132.58,20568320,132.58
2017-03-24,132.58,137,133.5,136.45,4547802,136.45
2017-03-27,136.45,136.5,135.5,136.5,3503875,136.5
2017-03-28,136.5,139.99,137,139.22,4667678,139.22
2017-03-29,139.95,139.99,139,139,1574978,139
2017-03-30,139,139.9,138.99,139.9,2670446,139.9
2017-03-31,139.9,139.01,139,139,263351,139
2017-04-03,139,139,135,136.98,1999517,136.98
2017-04-04,136.98,139,136.98,139,1733491,139
2017-04-05,139,142,139,142,2009301,142
2017-04-06,142,150.06,142,149.57,5612327,149.57
2017-04-07,149.57,158,150,155,19002860,155
2017-04-10,155,156.98,155,156.49,516187,156.49
2017-04-11,156.49,156.25,155.98,155.98,2800273,155.98
2017-04-12,155.98,156,154.89,155,1526400,155
2017-04-13,155,155,153.01,154.99,4307092,154.99
2017-04-17,154.99,154,150,151,4209982,151
2017-04-18,151,151,150,150,2392239,150
2017-04-20,150,150,148.9,149,808854,149
2017-04-21,149,150,149,150,2632852,150
2017-04-24,150,152,148.77,149.5,5963326,149.5
2017-04-25,149.5,149.5,148.89,149.5,3717656,149.5
2017-04-26,149.5,149.5,149.49,149.5,567445,149.5
2017-04-27,149.5,149.5,149.5,149.5,94693,149.5
2017-04-28,149.5,149.5,147,147,899114,147
2017-05-02,147,150,149,150,4686965,150
2017-05-03,150,150,147,149.98,1532195,149.98
2017-05-04,149.98,150,147.99,148,1428898,148
2017-05-05,148,149.99,148,149.9,472755,149.9
2017-05-08,149.9,149.99,148.75,148.75,1514281,148.75
2017-05-09,148.75,148.01,148,148,582475,148
2017-05-10,148,148,147.1,148,1538992,148
2017-05-11,148,148,147,147.98,1106334,147.98
2017-05-12,147.98,148,147.5,147.98,736143,147.98
2017-05-15,147.98,149,148,148.5,1611333,148.5
2017-05-16,148.5,149.5,148.45,149.4,2050085,149.4
2017-05-17,149.4,149.5,149.39,149.5,607509,149.5
2017-05-18,149.5,149.01,149,149,679219,149
2017-05-19,149,149,149,149,515700,149
2017-05-22,149,151,147.98,151,9853693,151
2017-05-23,151,158,151,157.96,338657,157.96
2017-05-24,157.96,161,159,161,33413750,161
2017-05-25,161,165,161,162.2,13713150,162.2
2017-05-26,162.2,167,162.9,164.5,873718,164.5
2017-05-29,164.5,166,164.99,164.99,1152957,164.99
2017-05-30,164.99,169.98,165.99,166,1635092,166
2017-05-31,166,165.25,165.1,165.24,163049,165.24
2017-06-01,165.24,168.02,165,167,8544332,167
2017-06-02,167,168,167,168,1042872,168
2017-06-05,168,168,167.99,167.99,767344,167.99
2017-06-06,167.99,167.99,167.7,167.75,5524504,167.75
2017-06-07,167.75,168,167.49,167.9,984818,167.9
2017-06-08,167.9,167.89,166.9,166.99,529717,166.99
2017-06-09,166.99,166.99,166.92,166.92,613620,166.92
2017-06-12,166.92,167.5,166.89,166.9,858963,166.9
2017-06-13,166.9,166,164,165,5930525,165
2017-06-14,165,165,164,165,2406534,165
2017-06-15,165,171.99,165.1,171,9590204,171
2017-06-16,171,172,164.9,165.26,25626730,165.26
2017-06-19,165.26,168.57,165.2,165.26,2741554,165.26
2017-06-20,165.26,167,165,166.97,1290992,166.97
2017-06-21,166.97,166.97,165.49,165.49,6033379,165.49
2017-06-22,165.49,163.11,163,163,1595452,163
2017-06-23,163,168,164.2,168,5865625,168
2017-06-27,168,168.05,167.98,168,2132544,168
2017-06-28,168,168,164.77,167,4173192,167
2017-06-29,167,167.5,167,167.5,3079607,167.5
2017-06-30,167.5,168,166,168,192380,168
2017-07-03,168,170,167.9,170,4522644,170
2017-07-04,170,172.59,170,172.59,8378615,172.59
2017-07-05,172.59,172.39,171.5,171.52,19164570,171.52
2017-07-06,171.52,171.6,170,170.99,2429060,170.99
2017-07-07,170.99,172,170,172,6152948,172
2017-07-10,172,174.3,173,174.04,2748998,174.04
2017-07-11,174.04,175,174,174.49,2177637,174.49
2017-07-12,174.49,175.6,173,174,4181122,174
2017-07-13,174,175,174.99,175,1710912,175
2017-07-14,175,177,175.99,176.51,1232809,176.51
2017-07-17,176.51,178,176,177.99,530625,177.99
2017-07-18,177.99,178.1,173.01,173.01,4673661,173.01
2017-07-19,173.01,175.9,174.8,175,4484423,175
2017-07-20,175,174.99,171,171.01,6879467,171.01
2017-07-21,171.01,174,172,173,2501926,173
2017-07-24,173,173.5,172,173.47,2142331,173.47
2017-07-25,173.47,173.5,172.2,173,3892623,173
2017-07-27,173,174,172,172,1441411,172
2017-07-28,172,174.5,174.5,174.5,2007478,174.5
2017-07-31,174.5,175,174,174,2919925,174
2017-08-01,174,175.7,174.1,175.01,601032,175.01
2017-08-02,175.01,176,175,175,3408864,175
2017-08-03,175,176.02,174,176.02,3045037,176.02
2017-08-04,176.02,180,177.5,179.99,1900100,179.99
2017-08-07,179.99,180,179.98,179.98,278489,179.98
2017-08-08,179.98,179.9,178.99,178.99,288409,178.99
2017-08-09,178.99,177.5,177.5,177.5,430135,177.5
2017-08-10,177.5,177.5,175,175,1205262,175
2017-08-11,175,170,169,170,12319350,170
2017-08-14,170,170,166,166,4703049,166
2017-08-16,166,166,165,165,11204520,165
2017-08-17,165,169,165,168.82,2728841,168.82
2017-08-18,168.82,168.83,168,168,597744,168
2017-08-21,168,168,160,167.92,977947,167.92
2017-08-22,167.92,168,165,165,1836150,165
2017-08-23,165,165,160,160,15916580,160
2017-08-24,160,164,158,160.04,6703562,160.04
2017-08-25,160.04,160.5,155,158,1374424,158
2017-08-28,158,160.1,155,156.23,5810671,156.23
2017-08-29,156.23,160,157.7,160,1483837,160
2017-08-30,159,165,159,165,4922321,165
2017-08-31,165,169.89,166.5,169.65,16819190,169.65
2017-09-01,169.65,169.96,166,167.57,768549,167.57
2017-09-04,167.57,168.08,167.99,168,337606,168
2017-09-05,168,168.01,168,168,6866030,168
2017-09-06,168,170,168,168,163180,168
2017-09-07,168,168,166,166,1853822,166
2017-09-08,166,167,165,166,4554302,166
