date,open,high,low,close,volume,adj_close
2009-06-03,161.89,160,159,160,168262,160
2009-06-04,160,160,158,158,396937,158
2009-06-05,158,160,156,157.92,341294,157.92
2009-06-08,157.92,164,157.9,158,806148,158
2009-06-09,158,164.99,157.5,159,883632,159
2009-06-10,159,159.1,158.9,158.9,1381763,158.9
2009-06-11,158.9,164.5,160,162.89,2288134,162.89
2009-06-12,162.89,164,159,159.31,310515,159.31
2009-06-15,159.31,159,151,153.34,685115,153.34
2009-06-16,153.34,156,151,152.13,584323,152.13
2009-06-17,152.13,151,146,148,1152444,148
2009-06-18,148,148,146.7,147,380765,147
2009-06-19,147,147.1,145,145,437350,145
2009-06-22,146,146,139.5,139.5,831980,139.5
2009-06-23,139.5,160.5,136,139.64,1020222,139.64
2009-06-24,139.64,145,140,140,23988,140
2009-06-25,140,145.01,143,143,640794,143
2009-06-26,143,149,142,149,658027,149
2009-06-30,149,146,146,146,90506,146
2009-07-01,146,148.2,147,147,844102,147
2009-07-02,147,146,144,145.9,134054,145.9
2009-07-03,145.9,147,144,144.06,201025,144.06
2009-07-06,144.06,143,143,143,176000,143
2009-07-07,143,143,140,140,222708,140
2009-07-08,140,140,140,140,533382,140
2009-07-09,140,140,139.9,139.9,273894,139.9
2009-07-10,139.9,139.9,139.9,139.9,2902,139.9
2009-07-13,139.9,140,139,139.48,105287,139.48
2009-07-14,139.48,139,137,137.77,432389,137.77
2009-07-15,137.77,140,140,140,111780,140
2009-07-17,140,142,141.5,142,26841,142
2009-07-20,142,145,144.9,144.99,157671,144.99
2009-07-21,144.99,151,145,150,1797932,150
2009-07-22,150,150,146.5,146.5,158252,146.5
2009-07-23,146.5,150,145,146.11,1690519,146.11
2009-07-24,146.11,149,146,146,203561,146
2009-07-27,146,146.1,143,144.94,2204586,144.94
2009-07-28,144.94,144.01,143.1,144,962162,144
2009-07-29,144,145,143.5,143.5,1065541,143.5
2009-07-30,143.5,144.51,143.61,144.51,6177532,144.51
2009-07-31,144.51,146,145,145,1414209,145
2009-08-03,145,149,146,149,644287,149
2009-08-04,149,156,150,155,3480829,155
2009-08-05,156,158,155,157.99,427736,157.99
2009-08-06,157.99,158,153,155.69,812682,155.69
2009-08-07,155.69,156,154,155,237764,155
2009-08-10,155,158,155,158,82703,158
2009-08-11,158,156,154,154,219322,154
2009-08-12,154,157.5,152.7,156,2529490,156
2009-08-13,156,156.1,155.9,156,221783,156
2009-08-14,156,156,154,154,1371007,154
2009-08-17,154,157.9,153,153,1356215,153
2009-08-18,153,157,153,153.13,1604691,153.13
2009-08-19,153.13,155.1,153,154,51091,154
2009-08-20,154,153.5,153,153.5,783142,153.5
2009-08-21,153,155,153.5,154,222345,154
2009-08-24,154,155,153,155,767142,155
2009-08-25,155,156,155,155,166804,155
2009-08-26,155,159.84,155.01,159.84,700813,159.84
2009-08-27,160,163.51,160,163.5,2825814,163.5
2009-08-28,163.5,163.5,162,162.01,1100181,162.01
2009-08-31,162.01,162,158,160.29,1185984,160.29
2009-09-01,160.29,162.02,158,158,2678860,158
2009-09-02,158,160.1,157,159.01,240577,159.01
2009-09-03,159.01,160,158,158.53,298255,158.53
2009-09-04,158.53,159,155,155,33404,155
2009-09-07,155,162,158,160.42,17799,160.42
2009-09-08,160.42,162,160,162,1314590,162
2009-09-09,162,164,161,163.5,500430,163.5
2009-09-10,163.5,167,164,167,1974518,167
2009-09-11,167,170,165,170,878489,170
2009-09-14,170,180,169.99,178.13,2671473,178.13
2009-09-15,178.13,190,180,189,4598191,189
2009-09-16,195,195,191,191,1866129,191
2009-09-17,192,192,186,190.98,1005203,190.98
2009-09-21,190.98,191.2,185,185.34,767428,185.34
2009-09-22,185.34,185,182,183,1425440,183
2009-09-23,183,185.4,184,185.4,823935,185.4
2009-09-24,185.4,189.99,185.5,186.1,257803,186.1
2009-09-25,186.1,191,184.5,190.46,4568594,190.46
2009-09-28,191,202.01,191,200,4121729,200
2009-09-29,200,208,200,202.99,1616401,202.99
2009-09-30,202.99,204,197,198.5,2629695,198.5
2009-10-01,198.5,198,196,197,999826,197
2009-10-02,196.3,196.5,194.5,196,1534181,196
2009-10-05,196,202,196,201,303159,201
2009-10-06,201,202,199.49,200,369743,200
2009-10-07,200,199.99,198.99,199,154220,199
2009-10-08,199,199,195,196.5,1618450,196.5
2009-10-09,196.5,197,196,197,1045158,197
2009-10-13,197,198,197,198,5468168,198
2009-10-14,197,198,197,197.95,2062256,197.95
2009-10-15,197.95,199,197.5,199,2928534,199
2009-10-16,199,199.5,198,199.5,1520341,199.5
2009-10-19,200,199.99,198,199,2548909,199
2009-10-20,199,198.21,198.01,198.2,1604258,198.2
2009-10-21,198.2,203,198.5,202,2387237,202
2009-10-22,202,205,200.01,201.5,2884567,201.5
2009-10-23,201.5,202,200,200.01,1322778,200.01
2009-10-26,200.01,200.1,198,198.57,335664,198.57
2009-10-27,198.57,198,195.5,196.07,1837593,196.07
2009-10-28,195,195,194,194.12,934273,194.12
2009-10-29,194.12,196,194,196,187192,196
2009-10-30,196,197,194.9,194.92,1607955,194.92
2009-11-02,194.92,194.8,191,191,271390,191
2009-11-03,190,191,188,191,508010,191
2009-11-04,191,191,188,191,348945,191
2009-11-05,191,193,191,192.5,122672,192.5
2009-11-06,192.5,192.5,192.5,192.5,1189,192.5
2009-11-09,192.5,193.5,190.1,193.5,479779,193.5
2009-11-10,193.5,195,194,194,309839,194
2009-11-11,194,194.5,194,194,59963,194
2009-11-12,194,193,188,190,1262829,190
2009-11-13,190,189,189,189,54602,189
2009-11-16,189,189,189,189,5698,189
2009-11-17,189,189,185,185,64122,185
2009-11-18,185,180.2,180,180,221690,180
2009-11-19,180,180,178,180,84980,180
