date,open,high,low,close,volume,adj_close
2009-08-18,1700,1500,1500,1500,23025,1500
2009-08-19,1500,1500,1500,1500,174,1500
2009-10-07,1500,1500,1500,1500,1063,1500
2009-10-20,1500,1500,1500,1500,4715,1500
2009-10-27,1500,1450,1450,1450,382,1450
2009-11-23,1450,1450,1450,1450,2181,1450
2009-11-25,1450,1450,1450,1450,4,1450
2011-06-14,1450,1450,1450,1450,226,1450
2011-07-28,1450,1400,1400,1400,2171,1400
2012-06-20,1400,1400,1400,1400,108,1400
2012-07-19,1400,1400,1400,1400,215,1400
2012-08-07,1400,1400,1400,1400,2222,1400
2012-10-08,1400,1400,1400,1400,2047,1400
2012-10-29,1400,1400,1400,1400,9669,1400
2014-03-12,1400,1300,1300,1300,4961,1300
2014-05-06,1300,1300,1300,1300,109,1300
2014-06-25,1300,1300,1290,1300,9971,1300
2015-11-19,1300,1300,1300,1300,27,1300
2016-07-12,1300,1300,1300,1300,27,1300
2016-08-30,1300,1300,1300,1300,2171,1300
2016-09-27,1300,1400,1400,1400,5054,1400
2016-12-07,1400,1400,1400,1400,248,1400
2017-03-29,1400,1400,1400,1400,6925,1400
2017-03-30,1400,1400,1400,1400,26,1400
2017-03-31,1400,1540,1540,1540,16265,1540
2017-06-15,1540,1540,1540,1540,1200,1540
2017-07-11,1540,1688,1688,1688,348,1688
2017-07-19,1688,1787,1787,1787,325,1787
2017-08-02,1787,1787,1787,1787,556,1787
2017-10-18,1787,1787,1787,1787,49,1787
2017-10-23,1787,1787,1787,1787,3613,1787
2018-02-16,1787,2120,2120,2120,280,2120
2018-07-12,2120,2180,2180,2180,4267,2180
2018-07-18,2180,2180,2180,2180,58,2180
2018-07-23,2180,2180,2180,2180,50,2180
2018-10-02,2180,2100,2100,2100,1000,2100
2019-03-28,2100,2100,2100,2100,542,2100
2019-04-02,2100,2100,2100,2100,2358,2100
2019-07-08,2100,2000,2000,2000,344,2000
2019-07-09,2000,2000,2000,2000,104,2000
2019-07-12,2000,2000,2000,2000,189,2000
2019-07-31,2000,2000,2000,2000,189,2000
2019-10-22,2000,2000,2000,2000,0,2000
2019-11-19,2000,2000,2000,2000,0,2000
2019-11-20,2000,2000,2000,2000,0,2000
2019-11-21,2000,2000,2000,2000,0,2000
2019-11-23,2000,2000,2000,2000,0,2000
2019-12-20,2000,2000,2000,2000,0,2000
2020-04-09,2000,2000,2000,2000,0,2000
2020-04-18,2000,2000,2000,2000,0,2000
2020-11-09,2000,2000,2000,2000,58,2000
2020-11-10,2000,2000,2000,2000,50,2000
2020-11-19,2000,1900,1900,2000,982,2000
2021-01-07,2000,2000,2000,2000,50,2000
2021-01-11,2000,2000,2000,2000,11,2000
2021-01-13,2000,2000,2000,2000,10,2000
2021-03-09,2000,2000,2000,2000,21,2000
2021-03-22,2000,2000,2000,2000,168,2000
2021-05-04,2000,2000,2000,2000,50,2000
2021-06-14,2000,2000,2000,2000,52,2000
2021-07-12,2000,2000,2000,2000,3,2000
