date,open,high,low,close,volume,adj_close
2009-06-03,759.99,760,747.99,759.47,420218,759.47
2009-06-04,759.47,763,749.99,761.76,1279810,761.76
2009-06-05,761.76,765,757.35,764.74,354835,764.74
2009-06-08,764.74,780,755,780,91670,780
2009-06-09,780,781,775,779.99,275654,779.99
2009-06-10,779.99,784,770,780,806256,780
2009-06-11,780,800,779,798.44,1460748,798.44
2009-06-12,800,810,785,795,594186,795
2009-06-15,795,795.02,785,795,323456,795
2009-06-16,795,795,785,785,109335,785
2009-06-17,785,785,760,774.9,751692,774.9
2009-06-18,774.9,785,780,785,738359,785
2009-06-19,785,785,770,770.02,622141,770.02
2009-06-22,770.02,770,750,760,1461002,760
2009-06-23,760,760,750,752,433351,752
2009-06-24,752,770,760,760,189646,760
2009-06-25,760,765,750,764.99,151732,764.99
2009-06-26,764.99,775,765,775,768629,775
2009-06-30,775,782.75,770,770,259215,770
2009-07-01,770,770,769.9,770,1113416,770
2009-07-02,770,770,768,768,93361,768
2009-07-03,768,770,768,770,263472,770
2009-07-06,770,768.99,760,768.99,293805,768.99
2009-07-07,770,800,770,785,685071,785
2009-07-08,785,801,789.9,790,218306,790
2009-07-09,790,790,770,774.59,96644,774.59
2009-07-10,774.59,785,770,770,265797,770
2009-07-13,770,777.7,760,768.44,141777,768.44
2009-07-14,768.44,770,755,766.02,1289044,766.02
2009-07-15,788,790,780,785,311584,785
2009-07-17,785,785,780,784.99,140388,784.99
2009-07-20,784.99,785,770,770,93460,770
2009-07-21,770,775,770,770,103875,770
2009-07-22,770,775,760,769.5,151068,769.5
2009-07-23,769.5,770.01,765,765.32,290755,765.32
2009-07-24,765.32,775,760.1,770,439302,770
2009-07-27,770,770,760,760.51,1762642,760.51
2009-07-28,760.51,770,762,764.93,1506495,764.93
2009-07-29,764.93,762,753,753.71,378612,753.71
2009-07-30,753,760,753,758.69,118920,758.69
2009-07-31,758.69,770,758,758,120586,758
2009-08-03,758,770,760,768,254362,768
2009-08-04,768,800,775,777,262816,777
2009-08-05,777,776.49,760.01,761.65,503441,761.65
2009-08-06,763,765.5,763,765,64904,765
2009-08-07,765,774,765,765,885250,765
2009-08-10,768,768,760,760,802790,760
2009-08-11,760,760,750,751,528027,751
