date,open,high,low,close,volume,adj_close
2009-06-10,163,163,163,163,1000,163
2010-07-23,163,160,160,160,5270,160
2010-08-17,160,160,160,160,8539,160
2010-08-18,160,160,160,160,10136,160
2011-06-10,160,160,160,160,908,160
2011-06-15,160,160,160,160,908,160
2011-10-28,160,160,160,160,908,160
2013-08-02,160,160,160,160,2140,160
2013-08-05,160,160,160,160,3820,160
2013-11-07,160,160,160,160,5959,160
2014-01-08,160,185,185,185,16500,185
2014-11-04,185,185,185,185,2090,185
2014-11-05,185,185,185,185,2470,185
2014-12-22,185,185,185,185,270,185
2015-06-23,185,185,185,185,2500,185
2015-06-24,185,185,185,185,42042,185
2015-09-29,185,185,185,185,5,185
2015-10-01,185,185,185,185,5,185
2016-01-08,185,185,185,185,686110,185
2016-05-13,185,185,185,185,2500,185
2016-07-12,185,185,185,185,2500,185
2016-08-19,185,185,185,185,908,185
2016-09-13,185,193,193,193,7000,193
2016-09-21,193,195,195,195,10000,195
2016-09-23,195,212,212,212,13118,212
2016-09-27,212,215,215,215,42032,215
2016-09-29,215,230,230,230,10215,230
2016-10-07,230,245,245,245,3408,245
2016-10-12,245,245,245,245,2000,245
2016-10-14,245,245,240,240,14000,240
2016-10-28,240,240,240,240,5813,240
2016-11-07,240,240,240,240,7928,240
2016-11-16,240,278,265,278,5031,278
2016-11-21,278,285,285,285,1902,285
2016-11-22,285,285,285,285,42268,285
2016-11-24,285,310,278.5,310,37530,310
2016-11-25,310,300,300,300,15000,300
2016-11-28,300,335,312,335,8500,335
2016-11-29,335,320,320,320,60000,320
2016-11-30,320,350.1,320,320,43725,320
2016-12-05,320,320,320,320,15569,320
2016-12-06,320,320,320,320,3208,320
2016-12-07,320,320,320,320,75706,320
2016-12-13,320,320,320,320,50000,320
2016-12-14,320,320,320,320,20944,320
2016-12-16,320,345,320,330,32500,330
2016-12-19,330,330,330,330,6012,330
2016-12-20,330,320,310,310,84000,310
2016-12-27,310,310,310,310,25000,310
2016-12-28,310,310,310,310,50000,310
2016-12-29,310,340,340,340,4785,340
2017-01-03,340,342,342,342,32649,342
2017-01-04,342,342,342,342,23013,342
2017-01-05,342,342,342,342,26987,342
2017-01-06,342,342,342,342,4001,342
2017-01-09,342,345,345,345,23814,345
2017-01-12,345,380,345,380,6654,380
2017-01-13,380,380,380,380,263,380
2017-01-17,380,380,380,380,5000,380
2017-01-20,380,380,380,380,4777,380
2017-02-14,380,390.01,390.01,390.01,20000,390.01
2017-02-17,390.01,400,400,400,1654,400
2017-02-21,400,420,420,420,1300,420
2017-02-23,420,450,440,450,6250,450
2017-02-24,450,480,480,480,8013,480
2017-02-27,480,510,510,510,1780,510
2017-02-28,510,550,540,550,10770,550
2017-03-01,550,611,592,611,17704,611
2017-03-02,611,615,615,615,9990,615
2017-03-06,615,610,610,610,2060,610
2017-03-07,610,614,614,614,1733,614
2017-03-13,614,605,605,605,4840,605
2017-03-14,605,614,614,614,6720,614
2017-03-22,614,630,620,630,13874,630
2017-03-24,630,613.5,613.5,613.5,30000,613.5
2017-03-28,613.5,630,630,630,1000,630
2017-03-29,630,630,630,630,4000,630
2017-03-30,630,620,600,615,51039,615
2017-04-04,615,608,600,600,10000,600
2017-04-20,600,600,600,600,10000,600
2017-05-12,600,580,580,580,5000,580
2017-06-08,580,592,592,592,1000,592
2017-06-12,592,600,600,600,1000,600
2017-06-14,600,600,600,600,3871,600
2017-06-15,600,600,600,600,2000,600
2017-06-16,600,600,600,600,8289,600
2017-06-19,600,600,600,600,2808,600
2017-06-21,600,580,580,580,5000,580
2017-07-06,580,565,565,565,18032,565
2017-07-10,565,565,565,565,1110,565
