date,open,high,low,close,volume,adj_close
2009-06-03,225,225,225,225,3083,225
2009-06-05,225,229,228.5,228.5,59113,228.5
2009-06-09,228.5,228.5,228,228.5,104968,228.5
2009-06-10,230,232,230,230,150172,230
2009-06-11,230,230,230,230,5000,230
2009-06-12,230,230,230,230,650,230
2009-06-15,230,224.01,220,224,39968,224
2009-06-16,224,227,225,225,69017,225
2009-06-17,225,224.99,224.99,224.99,7767,224.99
2009-06-19,224.99,225,224.5,225,59353,225
2009-06-22,225,225,225,225,3800,225
2009-06-23,225,225,225,225,1000,225
2009-06-24,225,221,221,221,6400,221
2009-06-25,221,220,220,220,25000,220
2009-06-26,220,220,220,220,50000,220
2009-06-30,220,225,225,225,315943,225
2009-07-07,225,221.1,220,220,32966,220
2009-07-08,220,220,220,220,4000,220
2009-07-09,220,220,220,220,25000,220
2009-07-10,220,220,215.01,220,16650,220
2009-07-13,220,220,220,220,8391,220
2009-07-14,220,220,220,220,50127,220
2009-07-15,220,226.5,225,226.5,11100,226.5
2009-07-17,226.5,220,220,220,67441,220
2009-07-20,220,227,222,227,17455,227
2009-07-21,227,230.5,228.5,230.5,126692,230.5
2009-07-27,230.5,230.5,230.5,230.5,400,230.5
2009-07-28,230.5,230,230,230,6521,230
2009-07-31,230,229.5,225,229.5,68097,229.5
2009-08-03,229.5,225,225,225,30587,225
2009-08-04,225,225,224.99,225,74407,225
2009-08-05,225,225,225,225,72150,225
2009-08-06,225,230,225,230,215818,230
2009-08-07,230,230,225.1,229.9,70642,229.9
2009-08-11,229.9,225,225,225,113319,225
2009-08-12,225,222,222,222,50000,222
2009-08-14,222,222,222,222,700,222
2009-08-17,222,222,222,222,2900,222
2009-08-19,222,220,220,220,28425,220
2009-08-20,220,220,220,220,30775,220
2009-08-21,220,220,220,220,34000,220
2009-08-24,220,220,220,220,500,220
2009-08-26,220,215,215,215,55886,215
2009-08-27,215,215,215,215,48500,215
2009-08-31,215,215,215,215,13500,215
2009-09-01,215,211,211,211,21400,211
2009-09-02,211,210,210,210,100201,210
2009-09-03,210,210,210,210,1900,210
2009-09-04,210,210,208,210,11856,210
2009-09-07,210,215,215,215,27655,215
2009-09-09,215,215,214.98,214.98,127272,214.98
2009-09-10,214.98,210.5,210,210,88980,210
2009-09-11,210,210,210,210,68218,210
2009-09-14,210,210,210,210,158251,210
2009-09-15,210,211,210,211,50000,211
2009-09-16,211,210,210,210,4293,210
2009-09-17,210,210,205,205,955131,205
2009-09-21,205,210,210,210,140000,210
2009-09-22,210,210,207,209,111263,209
2009-09-23,209,216,208,216,1190220,216
2009-09-24,216,220,216,220,387676,220
2009-09-25,220,225,220,220,355756,220
2009-09-28,220,220,220,220,40000,220
2009-09-29,220,220,220,220,141152,220
2009-09-30,220,220,220,220,247120,220
2009-10-01,220,220,219.99,220,786883,220
2009-10-02,220,225,220,225,212198,225
2009-10-05,225,230,225,230,501488,230
2009-10-06,230.1,235,230,235,174885,235
2009-10-07,235,240,237,240,237935,240
2009-10-08,240,245,244,244,36122,244
2009-10-09,244,240,239.9,239.9,364283,239.9
2009-10-14,239.9,237,235,237,91792,237
2009-10-15,237,237,236.9,237,23500,237
2009-10-16,237,235,235,235,18758,235
2009-10-19,235,236,235,236,92344,236
2009-10-21,236,236,235,236,149122,236
2009-10-22,236,236,236,236,1878,236
2009-10-30,236,225,225,225,1164055,225
2009-11-05,225,220,220,220,889992,220
2009-11-06,220,225,210,225,143689,225
2009-11-09,225,225,225,225,6971,225
2009-11-10,225,225,217,217,77140,217
2009-11-11,217,225,225,225,15000,225
2009-11-16,225,219.99,219.99,219.99,3000,219.99
2009-11-17,219.99,215,215,215,50000,215
2009-11-18,215,210,205.01,210,104529,210
2009-11-24,210,220,220,220,45890,220
2009-11-25,220,215,210,215,113437,215
2009-11-26,215,215,206.1,214.99,106861,214.99
2009-11-27,214.99,210,206.2,210,150000,210
2009-11-30,210,210,208,210,14300,210
2009-12-01,210,205,205,205,100000,205
2009-12-03,205,210,205,210,170480,210
2009-12-10,210,210,210,210,9447,210
2009-12-11,210,225,209.99,225,861476,225
2009-12-14,225,224.9,224.9,224.9,120116,224.9
2009-12-15,224.9,224.9,224.9,224.9,884,224.9
2009-12-17,224.9,223.8,223.8,223.8,13981,223.8
2009-12-21,223.8,220,219.9,220,20537,220
2009-12-22,220,220,220,220,20000,220
2009-12-28,220,211,211,211,80000,211
2009-12-29,211,220.1,220,220,812853,220
2009-12-30,220,228,225,225,904209,225
2010-01-04,225,230,224,230,154116,230
2010-01-05,230,233,228,233,368207,233
2010-01-06,233,235,229.9,230,67097,230
2010-01-07,230,233,229,230,119359,230
2010-01-08,230,240,234,240,141862,240
2010-01-11,240,240,240,240,31165,240
2010-01-12,240,240,240,240,8330,240
2010-01-20,240,240,240,240,20600,240
2010-01-21,240,235,235,235,67626,235
2010-01-22,235,235,235,235,6000,235
2010-01-25,235,235,220,235,21432,235
2010-01-27,235,235,235,235,100000,235
2010-01-29,235,230,230,230,53440,230
2010-02-02,230,238,235,238,6630,238
2010-02-03,238,235,230,235,14500,235
2010-02-04,235,230,230,230,40500,230
2010-02-08,230,235,235,235,4141,235
2010-02-10,235,240,235,235,16000,235
2010-02-23,235,246.5,235,246.5,416230,246.5
2010-02-24,246.5,245,245,245,5000,245
2010-02-25,245,240,240,240,6400,240
2010-02-26,240,240,235,239.99,144314,239.99
2010-03-08,239.99,239,230,239,26046,239
2010-03-11,239,239,236,239,358267,239
2010-03-12,239,240,240,240,77289,240
2010-03-18,240,238,234,238,65975,238
2010-03-19,238,240,238,239.5,200000,239.5
2010-03-22,239.5,238,235,235,20000,235
2010-03-23,235,232,232,232,12200,232
2010-03-24,232,232,232,232,35500,232
2010-03-25,232,232,232,232,104,232
2010-03-26,232,232,232,232,20000,232
2010-03-29,232,232,232,232,20000,232
2010-03-30,232,232,232,232,110000,232
2010-03-31,232,240,232,232,205000,232
2010-04-05,232,232,232,232,10000,232
2010-04-06,232,240,240,240,10000,240
2010-04-12,232,232,232,232,8644,232
2010-04-13,232,232,232,232,18768,232
2010-04-14,232,232,232,232,60000,232
2010-04-15,232,230,230,230,156000,230
2010-04-19,230,230,230,230,120052,230
2010-04-20,230,230,230,230,373521,230
2010-04-21,230,230,230,230,1695518,230
2010-04-22,230,235,235,235,100855,235
2010-04-23,235,235,235,235,20000,235
2010-04-28,235,235,235,235,1668,235
2010-04-30,235,224.9,220,224.9,129741,224.9
2010-05-03,224.9,224.9,220,224.9,28252,224.9
2010-05-06,224.9,225,220,220,113807,220
2010-05-10,220,225,225,225,10000,225
2010-05-12,225,220,220,220,64058,220
2010-05-13,220,220,219.99,220,169111,220
2010-05-14,220,220,217,217,250000,217
2010-05-17,217,220,220,220,218281,220
2010-05-18,220,225,220,220,116026,220
2010-05-19,220,220,220,220,114033,220
2010-05-20,220,220,220,220,150000,220
2010-05-25,220,205,205,205,5000,205
2010-05-26,205,220,210,210,103394,210
2010-05-27,210,220,220,220,15000,220
2010-05-31,220,219.99,219.99,219.99,3100,219.99
