date,open,high,low,close,volume,adj_close
2009-06-03,1300000,1100000,1100000,1300000,1,1300000
2009-06-19,1300000,1100000,1100000,1300000,2,1300000
2009-07-02,1300000,1105000,1105000,1300000,1,1300000
2009-07-20,1300000,1150000,1150000,1150000,4,1150000
2009-07-23,1150000,1200000,1200000,1150000,2,1150000
2009-07-30,1150000,1200000,1200000,1150000,1,1150000
2009-08-05,1150000,1200000,1200000,1200000,5,1200000
2009-08-26,1200000,1300000,1200000,1200000,5,1200000
2009-09-01,1200000,1200000,1200000,1200000,1,1200000
2009-09-28,1200000,1200000,1200000,1200000,2,1200000
2009-10-02,1200000,1200000,1199000,1200000,2,1200000
2009-10-05,1200000,1200000,1200000,1200000,2,1200000
2009-10-20,1200000,1200000,1200000,1200000,1,1200000
2009-11-03,1200000,1200000,1200000,1200000,1,1200000
2009-12-29,1200000,1250000,1250000,1200000,2,1200000
2010-01-29,1200000,1300000,1300000,1200000,1,1200000
2010-03-17,1200000,1300000,1250000,1200000,3,1200000
2010-05-06,1200000,1250000,1250000,1200000,1,1200000
2010-05-28,1200000,1200000,1200000,1200000,3,1200000
2010-06-02,1200000,1200000,1200000,1200000,1,1200000
2010-06-21,1200000,1200000,1200000,1200000,1,1200000
2010-07-01,1200000,1200000,1200000,1200000,1,1200000
2010-07-22,1200000,1200000,1200000,1200000,1,1200000
2010-08-11,1200000,1200000,1200000,1200000,3,1200000
2010-08-12,1200000,1200000,1200000,1200000,2,1200000
2010-09-01,1200000,1200000,1200000,1200000,1,1200000
2010-09-08,1200000,1200000,1200000,1200000,4,1200000
2010-09-21,1200000,1200000,1200000,1200000,1,1200000
2010-10-01,1200000,1200000,1200000,1200000,1,1200000
2010-10-14,1200000,1050000,1000000,1050000,8,1050000
2010-10-15,1050000,1050000,1050000,1050000,4,1050000
2010-10-28,1050000,1050000,1050000,1050000,1,1050000
2010-11-24,1050000,1050000,1050000,1050000,2,1050000
2010-12-01,1050000,1050000,1050000,1050000,1,1050000
2010-12-06,1050000,1050000,1050000,1050000,1,1050000
2011-01-11,1050000,1050000,1050000,1050000,1,1050000
2011-01-12,1050000,1050000,1050000,1050000,3,1050000
2011-01-26,1050000,1050000,1050000,1050000,1,1050000
2011-02-03,1050000,1050000,1050000,1050000,2,1050000
2011-03-17,1050000,1050000,1050000,1050000,1,1050000
2011-03-24,1050000,1050000,1050000,1050000,1,1050000
2011-04-21,1050000,1050000,1050000,1050000,1,1050000
2011-05-13,1050000,1050000,1050000,1050000,2,1050000
2011-06-21,1050000,1050000,1050000,1050000,2,1050000
2011-07-22,1050000,1000000,1000000,1000000,4,1000000
2011-07-25,1000000,1000000,1000000,1000000,1,1000000
2011-08-18,1000000,1000000,1000000,1000000,2,1000000
2011-09-07,1000000,1000000,1000000,1000000,1,1000000
2011-09-12,1000000,1000000,1000000,1000000,1,1000000
2011-09-14,1000000,1000000,1000000,1000000,1,1000000
2011-10-05,1000000,1050000,1050000,1050000,4,1050000
2011-10-20,1050000,1050000,1050000,1050000,1,1050000
2011-10-27,1050000,1050000,1050000,1050000,1,1050000
2011-11-02,1050000,1050000,1050000,1050000,1,1050000
2011-11-09,1050000,1050000,1050000,1050000,4,1050000
2011-11-10,1050000,1050000,1050000,1050000,4,1050000
2012-01-23,1050000,1500000,1500000,1500000,6,1500000
2012-01-24,1500000,1500000,1500000,1500000,1,1500000
2012-02-28,1500000,1500000,1500000,1500000,4,1500000
2012-03-15,1500000,1501000,1501000,1501000,7,1501000
2012-03-19,1501000,1501000,1501000,1501000,1,1501000
2012-04-02,1501000,1501000,1501000,1501000,1,1501000
2012-04-10,1501000,1501000,1501000,1501000,4,1501000
2012-06-21,1501000,1500000,1500000,1500000,4,1500000
2012-08-29,1500000,1500000,1500000,1500000,1,1500000
2012-11-27,1500000,1500000,1500000,1500000,1,1500000
2013-01-29,1500000,1500000,1500000,1500000,1,1500000
2013-06-28,1500000,1950000,1950000,1950000,7,1950000
2013-07-02,1950000,1950000,1950000,1950000,1,1950000
2013-07-04,1950000,1950000,1950000,1950000,1,1950000
2013-07-18,1950000,1950000,1950000,1950000,1,1950000
2013-08-20,1950000,1950000,1950000,1950000,1,1950000
2013-11-27,1950000,2160000,2055000,2055000,15,2055000
2013-11-28,2055000,1900100,1900100,1900100,4,1900100
2013-12-04,1900100,1900100,1900100,1900100,1,1900100
2014-01-24,1900100,1950000,1950000,1950000,8,1950000
2014-02-18,1950000,1950000,1950000,1950000,1,1950000
2014-02-19,1950000,1950000,1950000,1950000,1,1950000
2014-03-31,1950000,2151000,2151000,2151000,4,2151000
2014-05-16,2151000,2151000,2151000,2151000,1,2151000
2014-06-09,2151000,2300000,2250000,2300000,9,2300000
2014-06-10,2300000,2300000,2300000,2300000,1,2300000
2014-09-04,2300000,2300000,2300000,2300000,2,2300000
2014-11-14,2300000,2300000,2300000,2300000,1,2300000
2014-12-05,2300000,2300000,2300000,2300000,1,2300000
2014-12-16,2300000,2300000,2300000,2300000,1,2300000
2015-01-07,2300000,2300000,2300000,2300000,1,2300000
2015-01-12,2300000,2300000,2300000,2300000,6,2300000
2015-01-19,2300000,2350000,2350000,2350000,4,2350000
2015-01-28,2350000,2350000,2350000,2350000,2,2350000
2015-02-06,2350000,2350000,2350000,2350000,2,2350000
2015-02-11,2350000,2350000,2350000,2350000,2,2350000
2015-02-20,2350000,2350000,2350000,2350000,1,2350000
2015-03-02,2350000,2350000,2350000,2350000,2,2350000
2015-03-25,2350000,2500000,2500000,2500000,4,2500000
2015-04-22,2500000,2500000,2500000,2500000,2,2500000
2015-04-29,2500000,2500000,2500000,2500000,2,2500000
2015-09-09,2500000,2500000,2300000,2500000,9,2500000
2015-09-29,2500000,2500000,2500000,2500000,1,2500000
2015-10-19,2500000,2400000,2400000,2400000,4,2400000
2015-11-13,2400000,2400000,2400000,2400000,1,2400000
2015-11-23,2400000,2400000,2400000,2400000,4,2400000
2015-12-24,2400000,2400000,2400000,2400000,1,2400000
2016-03-23,2400000,2350000,2350000,2350000,9,2350000
2016-05-05,2350000,2350000,2350000,2350000,1,2350000
2016-05-11,2350000,2300000,2300000,2300000,4,2300000
2016-05-31,2300000,2300000,2300000,2300000,1,2300000
2016-06-03,2300000,2300000,2300000,2300000,2,2300000
2016-06-06,2300000,2300000,2300000,2300000,1,2300000
2016-06-16,2300000,2300000,2300000,2300000,2,2300000
2016-06-21,2300000,2300000,2300000,2300000,2,2300000
2016-06-29,2300000,2300000,2300000,2300000,1,2300000
2016-06-30,2300000,2300000,2300000,2300000,1,2300000
2016-07-06,2300000,2300000,2300000,2300000,2,2300000
2016-07-07,2300000,2100000,2100000,2100000,4,2100000
2016-07-12,2100000,2100000,2100000,2100000,1,2100000
2016-07-21,2100000,2100000,2100000,2100000,3,2100000
2016-07-22,2100000,2100000,2100000,2100000,3,2100000
2016-07-26,2100000,2100000,2100000,2100000,4,2100000
2016-08-09,2100000,2100000,2100000,2100000,1,2100000
2016-08-29,2100000,2100000,2100000,2100000,2,2100000
2016-08-30,2100000,2100000,2100000,2100000,1,2100000
2016-10-05,2100000,2100000,2100000,2100000,6,2100000
2016-10-06,2100000,2100000,2100000,2100000,1,2100000
2016-10-28,2100000,2100000,2100000,2100000,3,2100000
2016-11-28,2100000,2100000,2100000,2100000,2,2100000
2016-12-22,2100000,2100000,2100000,2100000,2,2100000
2016-12-28,2100000,2100000,2100000,2100000,1,2100000
2016-12-29,2100000,2100000,2100000,2100000,4,2100000
2017-01-06,2100000,2100000,2100000,2100000,1,2100000
2017-01-20,2100000,2100000,2100000,2100000,2,2100000
2017-01-24,2100000,2100000,2100000,2100000,1,2100000
2017-01-25,2100000,2100000,2100000,2100000,2,2100000
2017-02-02,2100000,2100000,2100000,2100000,1,2100000
2017-03-02,2100000,2099900,2099900,2099900,5,2099900
2017-03-03,2099900,2099900,2099900,2099900,1,2099900
2017-03-09,2099900,2099900,2099900,2099900,1,2099900
2017-03-14,2099900,2050000,2050000,2050000,4,2050000
2017-03-15,2050000,2050000,2050000,2050000,2,2050000
2017-03-24,2050000,2050000,2050000,2050000,1,2050000
2017-03-28,2050000,2050000,2050000,2050000,4,2050000
2017-04-18,2050000,2050000,2050000,2050000,3,2050000
2017-05-08,2050000,2050000,2050000,2050000,3,2050000
2017-06-16,2050000,2050000,2050000,2050000,2,2050000
2017-07-04,2050000,2050000,2050000,2050000,1,2050000
2017-09-07,2050000,2050000,2049900,2050000,16,2050000
2017-09-28,2050000,2050000,2050000,2050000,3,2050000
2017-10-05,2050000,2050000,2050000,2050000,3,2050000
2017-11-15,2050000,2050000,2050000,2050000,1,2050000
2018-01-03,2050000,2050000,2050000,2050000,1,2050000
2018-01-08,2050000,2050000,2050000,2050000,4,2050000
2018-02-06,2050000,2050000,2050000,2050000,1,2050000
2018-03-05,2050000,2050000,2050000,2050000,1,2050000
2018-03-06,2050000,1949000,1949000,1949000,4,1949000
2018-03-22,1950000,1949000,1949000,1949000,2,1949000
2018-03-28,1949000,1949000,1949000,1949000,1,1949000
2018-05-11,1949000,1949000,1949000,1949000,1,1949000
2018-05-14,1949000,1900000,1900000,1900000,4,1900000
2018-06-11,1900000,1900000,1900000,1900000,1,1900000
2018-06-13,1900000,1900000,1900000,1900000,4,1900000
2018-06-19,1900000,1900000,1900000,1900000,3,1900000
2018-07-13,1900000,1895000,1895000,1895000,4,1895000
2018-08-09,1895000,1884000,1884000,1884000,4,1884000
2018-10-05,1884000,1884000,1884000,1884000,2,1884000
2019-01-29,1884000,1800000,1800000,1800000,2,1800000
2019-01-30,1800000,1800000,1800000,1800000,4,1800000
2019-02-11,1800000,1800000,1800000,1800000,3,1800000
2019-02-14,1800000,1850000,1850000,1850000,1,1850000
2019-04-02,1850000,1750000,1750000,1750000,2,1750000
2019-04-03,1750000,1775000,1775000,1775000,4,1775000
2019-05-03,1775000,1775000,1775000,1775000,1,1775000
2019-05-07,1775000,1773000,1773000,1773000,1,1773000
2019-05-09,1773000,1773000,1773000,1773000,1,1773000
2019-05-29,1773000,1773000,1773000,1773000,1,1773000
2019-06-17,1773000,1770000,1770000,1770000,1,1770000
2019-06-19,1770000,1771800,1771800,1771800,1,1771800
2019-07-22,1771800,1785000,1785000,1785000,1,1785000
2019-08-27,1785000,1785000,1785000,1785000,1,1785000
2019-09-03,1785000,1785000,1785000,1785000,2,1785000
2019-10-22,1785000,1785000,1785000,1785000,0,1785000
2019-11-19,1785000,1785000,1785000,1785000,0,1785000
2019-11-20,1785000,1785000,1785000,1785000,0,1785000
2019-11-21,1785000,1785000,1785000,1785000,0,1785000
2019-11-23,1785000,1785000,1785000,1785000,0,1785000
2019-11-26,1785000,1785000,1785000,1785000,1,1785000
2020-01-28,1785000,1785000,1785000,1785000,1,1785000
2020-02-07,1785000,1785000,1785000,1785000,1,1785000
2020-04-09,1785000,1785000,1785000,1785000,0,1785000
2020-04-18,1785000,1785000,1785000,1785000,0,1785000
2020-09-16,1785000,1785000,1785000,1785000,4,1785000
2020-09-24,1800500,1800500,1800500,1800500,1,1800500
2020-09-28,1800500,1800500,1800500,1800500,1,1800500
2020-09-30,1800500,1785000,1785000,1785000,4,1785000
