date,open,high,low,close,volume,adj_close
2009-08-07,1800000,1800100,1800000,1800100,5,1800100
2009-09-01,1800100,1800100,1800000,1800000,4,1800000
2009-10-06,1800000,1800000,1800000,1800000,1,1800000
2009-10-09,1800000,1800000,1800000,1800000,1,1800000
2009-10-14,1800000,1800000,1800000,1800000,2,1800000
2009-12-03,1800000,1800000,1800000,1800000,1,1800000
2009-12-29,1800000,1800000,1800000,1800000,2,1800000
2010-03-22,1800000,1950000,1950000,1950000,3,1950000
2010-04-23,1950000,1950000,1950000,1950000,6,1950000
2010-05-14,1950000,2100000,2100000,2100000,1,2100000
2010-06-18,2100000,2300000,2300000,2300000,2,2300000
2010-07-05,2300000,2300000,2300000,2300000,2,2300000
2010-07-20,2300000,2500000,2500000,2500000,1,2500000
2010-07-28,2500000,2300100,2300100,2300100,1,2300100
2010-08-09,2300100,2500000,2500000,2500000,1,2500000
2010-08-13,2500000,2300000,2300000,2300000,1,2300000
2010-08-16,2300000,2300000,2300000,2300000,1,2300000
2010-08-27,2300000,2500000,2500000,2500000,1,2500000
2010-08-30,2500000,2300000,2300000,2300000,1,2300000
2010-09-08,2300000,2500000,2500000,2500000,1,2500000
2010-09-15,2500000,2500000,2500000,2500000,1768,2500000
2010-12-01,2500000,2500000,2500000,2500000,1,2500000
2010-12-02,2500000,2500000,2500000,2500000,2,2500000
2010-12-14,2500000,2500000,2500000,2500000,1,2500000
2011-02-10,2500000,2750000,2750000,2750000,3,2750000
2011-03-04,2750000,2751000,2751000,2751000,1,2751000
2011-04-05,2751000,2800000,2800000,2800000,1,2800000
2011-04-28,2800000,2845100,2845100,2845100,3,2845100
2011-05-13,2845100,2901000,2901000,2901000,2,2901000
2011-06-21,2901000,2901000,2901000,2901000,4,2901000
2011-08-05,2901000,2901000,2901000,2901000,1,2901000
2011-08-24,2901000,2920000,2920000,2920000,8,2920000
2011-09-14,2920000,3000000,3000000,3000000,1,3000000
2011-09-21,3000000,3000000,3000000,3000000,3,3000000
2011-09-29,3000000,3100000,3100000,3100000,1,3100000
2011-11-02,3100000,3300000,3200000,3300000,4,3300000
2012-01-17,3300000,3550000,3550000,3550000,2,3550000
2012-02-10,3550000,3600000,3600000,3600000,1,3600000
2012-02-16,3600000,3800000,3800000,3800000,1,3800000
2012-02-24,3800000,4175000,4175000,4175000,1,4175000
2012-02-28,4175000,4180000,4180000,4180000,2,4180000
2012-03-30,4180000,4500000,4500000,4500000,4,4500000
2012-05-31,4500000,4500000,4500000,4500000,1,4500000
2012-06-05,4500000,4500000,4500000,4500000,2,4500000
2012-06-06,4500000,4500000,4500000,4500000,4,4500000
2012-08-02,4500000,4500000,4400000,4500000,11,4500000
2012-09-27,4500000,4200000,4100000,4200000,2,4200000
2012-10-02,4200000,4200000,4200000,4200000,1,4200000
2012-10-04,4200000,4400000,4400000,4400000,5,4400000
2012-10-18,4400000,4450000,4450000,4450000,3,4450000
