date,open,high,low,close,volume,adj_close
2009-06-03,21500,21999,21500,21999,50048,21999
2009-06-11,21999,22000,21999,22000,7142,22000
2009-06-19,22000,22000,22000,22000,16879,22000
2009-07-02,22000,22000,22000,22000,6,22000
2009-07-21,22000,21990,21990,21990,2840,21990
2009-07-30,21990,21990,17801,21990,84,21990
2009-08-13,21990,21001,17801,21000,835,21000
2009-08-14,21000,21900,21900,21900,30,21900
2009-08-31,21900,21000,21000,21000,355,21000
2009-09-07,21000,21000,21000,21000,3,21000
2009-09-09,21000,20900,20900,20900,350,20900
2009-09-10,20900,20900,20900,20900,30,20900
2009-09-14,20900,20900,20900,20900,21,20900
2009-09-22,20900,20901,20901,20901,28715,20901
2009-09-23,20901,20901,20901,20901,28715,20901
2009-09-29,20901,21910,21910,21910,90,21910
2009-10-21,21910,21450,21450,21450,180,21450
2009-10-23,21450,21449,21449,21449,93,21449
2009-10-28,21449,21350,21350,21350,46,21350
2009-10-29,21350,21350,21350,21350,15,21350
2009-11-05,21350,21000,21000,21000,100,21000
2009-12-04,21000,21000,21000,21000,10,21000
2009-12-10,21000,21000,19500,21000,3475,21000
2009-12-11,21000,21000,21000,21000,10905,21000
2009-12-14,21000,21000,21000,21000,37292,21000
2009-12-15,21000,20800,20750,20750,26948,20750
2009-12-16,20750,20750,20750,20750,100,20750
2009-12-17,20750,20750,20750,20750,28,20750
2009-12-23,20750,20700,20700,20700,109,20700
2009-12-24,20700,21350,20750,21350,158,21350
2010-01-08,21350,21000,21000,21000,168,21000
2010-01-12,21000,21000,21000,21000,535,21000
2010-01-20,21000,21350,21350,21350,1245,21350
2010-01-29,21350,21500,21500,21500,278,21500
2010-02-03,21500,21600,21600,21600,1093,21600
2010-02-04,21600,21600,21600,21600,23,21600
2010-02-05,21600,21600,21600,21600,6,21600
2010-02-16,21600,21500,21500,21500,80,21500
2010-02-17,21500,21500,21500,21500,10089,21500
2010-02-22,21500,22150,22150,22150,300,22150
2010-03-01,22150,21600,21600,21600,93,21600
2010-03-03,21600,21600,21600,21600,35,21600
2010-03-04,21600,21600,21600,21600,200,21600
2010-03-12,21600,21650,21650,21650,20343,21650
2010-03-25,21650,21750,21700,21750,742,21750
2010-04-05,21720,21750,21720,21750,243,21750
2010-04-08,21750,21750,21750,21750,2858,21750
2010-04-13,21750,21700,21700,21700,481,21700
2010-04-14,21700,21700,21700,21700,100,21700
2010-04-15,21700,21725,21725,21725,1689,21725
2010-04-20,21725,21725,21725,21725,500,21725
2010-04-27,21725,21725,21725,21725,1500,21725
2010-05-26,21725,21725,21725,21725,45,21725
2010-06-02,21725,21700,21600,21700,2556,21700
2010-06-03,21700,21700,21501,21501,7338,21501
2010-07-09,21501,21700,21501,21700,3403,21700
2010-07-19,21700,21700,21700,21700,7,21700
2010-07-20,21700,21700,21700,21700,460,21700
2010-07-21,21700,21750,21750,21750,184,21750
