date,open,high,low,close,volume,adj_close
2009-06-03,20739,20820,20202,20441,503323,20441
2009-06-04,20500,20927,20500,20820,431235,20820
2009-06-05,21050,21251,20680,20779,269031,20779
2009-06-08,20749,20830,20350,20678,475030,20678
2009-06-09,20800,21450,20700,21413,934345,21413
2009-06-10,21800,21811,21500,21698,697781,21698
2009-06-11,21698,21950,21600,21839,423615,21839
2009-06-12,21879,21879,21550,21603,385485,21603
2009-06-15,21603,21901,20701,20899,682112,20899
2009-06-16,20900,21814,20510,20527,750497,20527
2009-06-17,20135,21278,19201,19247,1593448,19247
2009-06-18,19040,20921,18990,19484,754820,19484
2009-06-19,19800,19900,19510,19567,657240,19567
2009-06-22,19600,19880,18505,18649,540462,18649
2009-06-23,18700,18900,18500,18691,614176,18691
2009-06-24,18950,19150,18400,18555,548438,18555
2009-06-25,18700,19000,18479,18944,637317,18944
2009-06-26,19000,19100,18700,19098,325847,19098
2009-06-30,19098,19450,19200,19342,259388,19342
2009-07-01,19342,19590,19200,19244,117055,19244
2009-07-02,19200,19800,19000,19760,483465,19760
2009-07-03,19800,20200,19800,19941,154997,19941
2009-07-06,19700,19800,19250,19650,442796,19650
2009-07-07,19650,20100,19320,19410,305921,19410
2009-07-08,19400,19800,19200,19490,324345,19490
2009-07-09,19490,20000,19600,19910,501771,19910
2009-07-10,19944,20199,19250,19323,928769,19323
2009-07-13,19350,20100,18999,19897,738996,19897
2009-07-14,20000,20606,19550,19619,580420,19619
2009-07-15,19619,19900,18989,19277,1617904,19277
2009-07-17,19277,20009,19190,19317,606943,19317
2009-07-20,19317,19801,19000,19282,356758,19282
2009-07-21,19282,19600,19070,19095,450101,19095
2009-07-22,19100,19580,19000,19006,332421,19006
2009-07-23,18900,19480,18900,19355,1334823,19355
2009-07-24,19355,19650,19299,19518,390061,19518
2009-07-27,19660,19670,19400,19483,283423,19483
2009-07-28,19483,19500,19150,19263,309680,19263
2009-07-29,19263,19500,19120,19344,201681,19344
2009-07-30,19344,19690,19292,19550,463108,19550
2009-07-31,19550,19670,19300,19304,207756,19304
2009-08-03,19351,19790,19351,19740,555931,19740
2009-08-04,19750,19850,19650,19709,360738,19709
2009-08-05,19800,19950,19550,19598,356983,19598
2009-08-06,19594,19850,19511,19600,275940,19600
2009-08-07,19600,19840,19600,19640,255302,19640
2009-08-10,19640,19780,19700,19749,156903,19749
2009-08-11,19749,19750,19300,19350,169719,19350
2009-08-12,19350,19825,19320,19739,447051,19739
2009-08-13,19750,20000,19700,19973,454087,19973
2009-08-14,19990,20000,19704,19881,243098,19881
2009-08-17,19697,19697,19400,19601,306704,19601
2009-08-18,19500,19853,19500,19722,258450,19722
2009-08-19,19722,19640,19400,19581,388511,19581
2009-08-20,19581,19700,19531,19646,337018,19646
2009-08-21,19646,19900,19640,19872,425487,19872
2009-08-24,19872,20050,19750,19963,336204,19963
2009-08-25,19963,20100,19780,19811,262425,19811
2009-08-26,19811,19940,19650,19883,195425,19883
2009-08-27,19883,20000,19790,19852,197308,19852
2009-08-28,19852,19950,19650,19704,234423,19704
2009-08-31,19600,19912,19215,19287,250650,19287
2009-09-01,19287,19711,18590,18769,772142,18769
2009-09-02,18765,19501,18500,18695,398127,18695
2009-09-03,19005,19451,18595,18741,310942,18741
2009-09-04,18741,18892,18700,18805,256953,18805
2009-09-07,18805,19000,18780,18798,73062,18798
2009-09-08,19016,19500,19016,19471,626223,19471
2009-09-09,19600,19751,19450,19575,377808,19575
2009-09-10,19575,19820,19500,19600,223067,19600
2009-09-11,19700,20001,19600,19950,1002257,19950
2009-09-14,19920,20115,19790,19966,432926,19966
2009-09-15,19966,20450,20050,20400,822465,20400
2009-09-16,20499,20700,20499,20599,524532,20599
2009-09-17,20600,21050,20600,20948,550922,20948
2009-09-21,21300,21450,20950,21213,1028421,21213
2009-09-22,21300,21450,21100,21294,835963,21294
2009-09-23,21294,21450,21000,21023,576443,21023
2009-09-24,21105,21200,19950,20830,356595,20830
2009-09-25,20830,21100,20740,21031,168323,21031
2009-09-28,21035,21551,21035,21375,628662,21375
2009-09-29,21380,21550,20913,21366,459630,21366
2009-09-30,21401,21570,21137,21397,720832,21397
2009-10-01,21395,21564,20603,20642,647119,20642
2009-10-02,20490,20850,20350,20579,724827,20579
2009-10-05,20579,21050,20579,20978,600308,20978
2009-10-06,21200,21500,21100,21151,384282,21151
2009-10-07,21201,21350,21100,21218,406669,21218
2009-10-08,21350,21350,20902,20966,645164,20966
2009-10-09,20970,21180,20760,20900,412746,20900
2009-10-13,20900,21249,20970,21214,216818,21214
2009-10-14,21251,21500,20800,20835,620123,20835
2009-10-15,20940,21114,20351,20417,1799521,20417
2009-10-16,20450,21000,20400,20949,1055090,20949
2009-10-19,21126,21490,21126,21401,924523,21401
2009-10-20,21460,21490,21000,21083,794527,21083
2009-10-21,21083,21100,20870,20883,738803,20883
2009-10-22,20800,20970,20549,20831,387923,20831
2009-10-23,20831,20874,20545,20724,329610,20724
2009-10-26,20710,20950,20500,20592,262418,20592
2009-10-27,20500,20850,19801,19871,981627,19871
2009-10-28,19645,20620,19385,19475,939356,19475
2009-10-29,19475,20350,19475,19800,741146,19800
2009-10-30,19800,20000,19200,19490,747655,19490
2009-11-02,19550,19950,19150,19269,475266,19269
2009-11-03,19210,19801,19000,19615,482954,19615
2009-11-04,19615,19900,19700,19766,426642,19766
2009-11-05,19766,19800,19650,19798,176195,19798
2009-11-06,19798,19870,19650,19830,278697,19830
2009-11-09,19900,20000,19838,19941,305188,19941
2009-11-10,19941,19970,19800,19900,365552,19900
2009-11-11,19900,20000,19750,19752,223816,19752
2009-11-12,19752,19790,19640,19752,48660,19752
2009-11-13,19930,19930,19452,19465,295792,19465
2009-11-16,19465,19789,19400,19464,264446,19464
2009-11-17,19464,19730,19100,19307,352222,19307
2009-11-18,19307,19750,19255,19727,811003,19727
2009-11-19,19727,19800,19499,19673,277144,19673
2009-11-20,19673,19755,19500,19550,348569,19550
2009-11-23,19550,19800,19490,19500,360071,19500
2009-11-24,19500,19700,19100,19135,203737,19135
2009-11-25,19135,19300,19000,19076,556254,19076
2009-11-26,19076,19180,18549,18600,211006,18600
2009-11-27,18500,19190,18500,18761,266105,18761
2009-11-30,18761,18901,18600,18659,125244,18659
2009-12-01,18660,19000,18660,18966,351420,18966
2009-12-02,18959,19250,18918,19170,460954,19170
2009-12-03,19170,19499,19000,19052,284618,19052
2009-12-04,19052,19499,19060,19211,175161,19211
2009-12-07,19211,19350,19151,19322,267300,19322
2009-12-09,19322,19351,19200,19326,515345,19326
2009-12-10,19326,19500,19299,19331,1526678,19331
2009-12-11,19350,19700,19300,19501,214212,19501
2009-12-14,19501,19817,19350,19470,185894,19470
2009-12-15,19470,19899,19409,19694,180187,19694
2009-12-16,19700,19999,19510,19884,355594,19884
2009-12-17,19884,19850,19450,19597,261152,19597
2009-12-18,19600,19700,19350,19529,463238,19529
2009-12-21,19529,19725,19360,19597,221600,19597
2009-12-22,19600,19600,19300,19418,313998,19418
2009-12-23,19418,19510,19200,19289,271011,19289
2009-12-24,19289,19400,19250,19253,189243,19253
2009-12-28,19253,19490,19260,19383,87733,19383
2009-12-29,19383,19577,19320,19350,533497,19350
2009-12-30,19320,19499,19200,19253,355435,19253
2010-01-04,19500,19500,19253,19500,643231,19500
2010-01-05,19600,19840,19501,19632,457456,19632
2010-01-06,19629.5,19900,19540,19840,542884,19840
2010-01-07,19840,20490,19490,20470,865150,20470
2010-01-08,20700,21100,19740,21064,1032575,21064
2010-01-11,21064,21410,21000,21329,681127,21329
