date,open,high,low,close,volume,adj_close
2012-05-24,33.2,33.2,33.2,33.2,100,33.2
2012-06-07,33.2,34.59,34.59,34.59,100,34.59
2012-09-14,34.59,38.15,38.15,38.15,440,38.15
2012-09-24,38.15,38,38,38,365,38
2012-09-27,38,38.18,38.18,38.18,131,38.18
2012-10-09,38.18,37.33,37.33,37.33,150,37.33
2012-12-06,37.33,33.79,33.79,33.79,130,33.79
2013-01-11,33.79,34.32,34.32,34.32,160,34.32
2013-02-06,34.32,35.37,35.37,35.37,282,35.37
2013-02-07,35.37,35.35,35.26,35.29,1059,35.29
2013-02-08,35.29,35.4,35.32,35.32,440,35.32
2013-02-11,35.32,35.08,35.08,35.08,560,35.08
2013-02-12,35.08,35.29,35.29,35.29,150,35.29
2013-02-27,35.29,35.75,35.75,35.75,83,35.75
2013-03-05,35.75,36.67,36.43,36.67,622,36.67
2013-03-28,36.67,36.71,36.71,36.71,150,36.71
2013-04-08,36.71,37.65,37.65,37.65,190,37.65
2013-04-10,37.65,38.03,38.03,38.03,131,38.03
2013-04-24,38.03,36.75,36.75,36.75,680,36.75
2013-05-15,36.75,37.54,37.54,37.54,330,37.54
2013-05-23,37.54,36.61,36.56,36.61,1764,36.61
2013-05-29,36.61,36,36,36,278,36
2013-05-30,36,35.75,35.75,35.75,557,35.75
2013-06-03,35.75,35,35,35,278,35
2013-06-04,35,35.59,35.59,35.59,281,35.59
2013-06-05,35.59,35.47,35.47,35.47,253,35.47
2013-06-18,35.47,36.16,36.16,36.16,557,36.16
2013-07-22,36.16,35.79,35.79,35.79,690,35.79
2013-08-14,35.79,34.6,34.6,34.6,289,34.6
2013-09-09,34.6,33.42,33.42,33.42,135,33.42
2013-09-10,33.42,33.99,33.99,33.99,178,33.99
2013-09-26,33.99,34.19,34.19,34.19,160,34.19
2013-10-01,34.19,34.14,34.14,34.14,240,34.14
2013-10-03,34.14,33.74,33.74,33.74,54,33.74
2013-10-07,33.74,34.07,34.07,34.07,144,34.07
2013-10-28,34.07,35.49,35.49,35.49,150,35.49
2013-11-15,35.49,35.37,35.37,35.37,281,35.37
2013-11-20,35.37,35.8,35.79,35.79,361,35.79
2013-12-12,35.79,33.91,33.88,33.91,810,33.91
2014-01-23,33.91,33.57,33.32,33.57,562,33.57
2014-02-25,33.57,32.2,32.2,32.2,614,32.2
2014-03-05,32.2,32.12,32.12,32.12,250,32.12
2014-03-13,32.12,32.35,32.35,32.35,614,32.35
2014-04-02,32.35,35.33,35.33,35.33,289,35.33
2014-04-09,35.33,35,35,35,142,35
2014-04-16,35,35.85,35.85,35.85,690,35.85
2014-05-02,35.85,35.54,35.54,35.54,142,35.54
2014-06-18,35.54,35.04,35.04,35.04,371,35.04
2014-08-05,35.04,35.14,35.14,35.14,50,35.14
2014-12-23,35.14,33.85,33.85,33.85,177,33.85
2015-01-06,33.85,33.65,33.65,33.65,211,33.65
2015-02-03,33.65,34.06,34.06,34.06,187,34.06
2015-02-24,34.06,33.87,33.87,33.87,441,33.87
2015-03-27,33.87,32.75,32.75,32.75,645,32.75
2015-04-01,32.75,32.84,32.84,32.84,90,32.84
2015-04-07,32.84,33.3,33.3,33.3,673,33.3
2015-05-06,33.3,33.51,33.51,33.51,135,33.51
2015-06-03,33.51,35.14,35,35.14,1568,35.14
2015-06-05,35.14,35.17,35.17,35.17,177,35.17
2015-07-21,35.17,34.51,34.51,34.51,330,34.51
2015-07-23,34.51,34.25,34.25,34.25,106,34.25
2016-06-29,34.25,42.38,42.38,42.38,35,42.38
2016-07-15,42.38,43.01,43.01,43.01,106,43.01
2016-07-25,43.01,42.77,42.77,42.77,345,42.77
2016-07-27,42.77,42.72,42.67,42.72,10046,42.72
2016-07-28,42.72,42.5,42.5,42.5,96,42.5
2016-08-09,42.5,42.87,42.87,42.87,6274,42.87
2016-08-18,42.87,41.43,41.43,41.43,36,41.43
2016-08-24,41.43,40.63,40.63,40.63,116,40.63
2016-08-26,40.63,41.17,41.17,41.17,187,41.17
2016-10-24,41.17,36.6,36.6,36.6,300,36.6
2016-11-03,36.6,36.65,36.65,36.65,42,36.65
2016-11-25,36.65,38.74,38.74,38.74,244,38.74
2016-11-29,38.74,39.42,39.42,39.42,250,39.42
2017-02-27,39.42,41.89,41.89,41.89,108,41.89
2017-03-03,41.89,41.93,41.93,41.93,44,41.93
2017-03-15,41.93,42.33,42.33,42.33,106,42.33
2017-03-17,42.33,42.48,42.48,42.48,319,42.48
2017-03-21,42.48,42.06,42.06,42.06,250,42.06
2017-03-29,42.06,41.7,41.7,41.7,385,41.7
2017-06-16,41.7,38.93,38.93,38.93,244,38.93
2017-07-11,38.93,36.3,36.3,36.3,441,36.3
2017-07-17,36.3,36.34,36.34,36.34,300,36.34
2017-08-02,36.34,38.4,38.4,38.4,106,38.4
2017-08-22,38.4,37.89,37.89,37.89,113,37.89
2017-10-03,37.89,39.2,39.2,39.2,48,39.2
2017-11-13,39.2,34.19,34.19,34.19,17344,34.19
2017-11-29,34.19,36.31,36.31,36.31,101,36.31
2018-05-17,36.31,32.11,32.11,32.11,32,32.11
2018-06-20,32.11,32,32,32,70,32
2018-08-06,32,32.25,32.25,32.25,70,32.25
