date,open,high,low,close,volume,adj_close
2013-12-26,61.69,61.69,61.69,61.69,150,61.69
2014-11-14,61.69,68,68,68,150,68
2015-11-25,68,73.62,73.62,73.62,495,73.62
2016-02-16,73.62,71.48,71.48,71.48,344,71.48
2016-03-09,71.48,81.05,81.05,81.05,380,81.05
2016-03-16,81.05,81.2,81.2,81.2,344,81.2
2016-03-30,81.2,83.75,83.75,83.75,495,83.75
2016-05-16,83.75,75.05,74.76,74.76,826,74.76
2016-05-23,74.76,68.62,68.62,68.62,338,68.62
2017-03-01,68.62,58,58,58,222,58
2017-03-09,58,54.71,54.71,54.71,452,54.71
2017-03-23,54.71,53.48,53.48,53.48,374,53.48
2017-04-07,53.48,52.9,52.9,52.9,338,52.9
2017-04-10,52.9,54.2,54.05,54.05,1597,54.05
2017-07-25,54.05,55.35,55.24,55.35,949,55.35
2018-01-10,55.35,70.5,70.5,70.5,222,70.5
2018-09-04,70.5,88.2,88.17,88.17,648,88.17
2019-09-27,88.17,106.15,106.15,106.15,5,106.15
2020-01-10,106.15,125.23,125.09,125.23,84,125.23
2020-01-14,125.23,125.44,123.54,125.44,1745,125.44
2020-01-15,125.44,118.06,116.04,116.17,503,116.17
2020-01-16,116.17,116.39,116.05,116.35,798,116.35
2020-01-17,116.35,116.56,116.56,116.35,55,116.35
2020-01-21,116.35,115,115,115,98,115
2020-01-22,115,114.4,114.36,114.39,103,114.39
2020-01-23,114.39,114.51,114.51,114.51,98,114.51
2020-01-24,114.51,114.88,114.46,114.69,106,114.69
2020-01-31,114.69,113.47,113.47,113.47,905,113.47
2020-02-04,113.47,114.73,114.73,113.47,34,113.47
2020-02-05,113.47,115.03,114.93,114.93,133,114.93
2020-02-12,114.93,118.35,118.35,118.35,168,118.35
2020-02-13,118.35,118.22,117.8,117.8,174,117.8
2020-02-19,117.8,117.8,117.8,117.8,16,117.8
2020-02-28,117.8,101.29,101.29,101.29,258,101.29
2020-03-03,101.29,112.06,105.8,105.89,230,105.89
2020-03-16,105.89,94.9,94.9,94.9,102,94.9
2020-03-30,94.9,97.2,96.81,96.81,1585,96.81
2020-04-02,96.81,96.8,96.8,96.81,44,96.81
2020-04-15,96.81,105.76,105.76,105.76,300,105.76
2020-04-16,105.76,109.89,109.89,105.76,18,105.76
2020-04-17,105.76,111.2,111.2,105.76,57,105.76
2020-04-20,105.76,111.3,109.99,105.76,44,105.76
2020-04-21,105.76,107.75,106.73,106.78,99,106.78
2020-04-22,106.78,107.8,107.8,107.8,138,107.8
2020-04-27,107.8,110.1,110.1,110.1,94,110.1
2020-04-30,110.1,109.95,109.95,110.1,5,110.1
2020-05-04,110.1,111.7,111.7,110.1,30,110.1
2020-05-14,110.1,120.65,120.65,120.65,126,120.65
2020-05-19,120.65,123.9,123.9,123.9,240,123.9
