date,open,high,low,close,volume,adj_close
2021-02-25,133800,133800,133800,133800,75,133800
2021-03-01,133800,134060,134060,133800,4,133800
2021-03-15,133800,131700,131700,133800,6,133800
2021-03-24,133800,137730,137730,133800,2,133800
2021-05-06,133800,149540,149540,133800,1,133800
2021-05-07,133800,148660,148660,148660,75,148660
2021-05-28,148660,166100,166100,148660,1,148660
2021-06-02,148660,164900,164900,148660,3,148660
2021-07-06,148660,183360,183360,148660,5,148660
2021-07-08,148660,187320,187320,148660,6,148660
2021-07-12,148660,187560,187560,148660,2,148660
2021-07-15,148660,191910,191910,148660,7,148660
2021-10-07,148660,188060,186890,188060,23,188060
